jointAngle,jointVelocity,activation,fiberAngle,fiberAngularVelocity,passiveTorqueAngleMultiplier,activeTorqueAngleMultiplier,torqueVelocityMultiplier,activeTorque,passiveTorque,fiberTorque,jointTorque,fiberStiffness,jointStiffness,fiberActivePower,fiberPassivePower,fiberPower,jointPower,DjointTorqueDactivation,DjointTorqueDjointAngularVelocity,DjointTorqueDjointAngle
-2.2020788850634547e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 2.2020788850634547e+00, 0.0000000000000000e+00, 6.6015214872940239e-08, 2.7521708300159115e-02, 1.0000194091796875e+00, 4.0265234559470342e-01, 9.6580724258555191e-07, 4.0265331140194599e-01, 4.0265331140194599e-01, -1.9144529499703773e+00, 1.9144529499703773e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 4.0265234559470342e-01, -4.6885454305505260e-02, 1.9144529499703773e+00
-2.1448392533437191e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 2.1448392533437191e+00, 0.0000000000000000e+00, 6.3625258028699963e-08, 3.5719825643970617e-02, 1.0000194091796875e+00, 5.2259370758956314e-01, 9.3084200564620626e-07, 5.2259463843156884e-01, 5.2259463843156884e-01, -2.2813879441396203e+00, 2.2813879441396203e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 5.2259370758956314e-01, -6.0851607128627042e-02, 2.2813879441396203e+00
-2.0875996216239838e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 2.0875996216239838e+00, 0.0000000000000000e+00, 6.1235301184459714e-08, 4.5411635211594283e-02, 1.0000194091796875e+00, 6.6438831615455174e-01, 8.9587676870686104e-07, 6.6438921203132040e-01, 6.6438921203132040e-01, -2.6779174502027483e+00, 2.6779174502027483e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 6.6438831615455174e-01, -7.7362384945183146e-02, 2.6779174502027483e+00
-2.0303599899042482e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 2.0303599899042482e+00, 0.0000000000000000e+00, 5.8845344340219458e-08, 5.6712105064792635e-02, 1.0000194091796875e+00, 8.2971819477572162e-01, 8.6091153176751571e-07, 8.2971905568725335e-01, 8.2971905568725335e-01, -3.1037404708829071e+00, 3.1037404708829071e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 8.2971819477572162e-01, -9.6613645107005444e-02, 3.1037404708829071e+00
-1.9731203581845125e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 1.9731203581845125e+00, 0.0000000000000000e+00, 5.6455387495979182e-08, 6.9736535914254841e-02, 1.0000194091796875e+00, 1.0202702337108067e+00, 8.2594629482817006e-07, 1.0202710596571016e+00, 1.0202710596571016e+00, -3.5593621126403483e+00, 3.5593621126403483e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 1.0202702337108067e+00, -1.1880181166016113e-01, 3.5593621126403483e+00
-1.9158807264647770e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 1.9158807264647770e+00, 0.0000000000000000e+00, 5.4065430651738919e-08, 8.4604077905176434e-02, 1.0000194091796875e+00, 1.2377876418085341e+00, 7.9098105788882463e-07, 1.2377884327895921e+00, 1.2377884327895921e+00, -4.0462692878439865e+00, 4.0462692878439865e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 1.2377876418085341e+00, -1.4412986647240217e-01, 4.0462692878439865e+00
-1.8586410947450416e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 1.8586410947450416e+00, 0.0000000000000000e+00, 5.1675473807498657e-08, 1.0144180861508177e-01, 1.0000194091796875e+00, 1.4841296090619318e+00, 7.5601582094947919e-07, 1.4841303650777529e+00, 1.4841303650777529e+00, -4.5670388741394392e+00, 4.5670388741394392e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 1.4841296090619318e+00, -1.7281429643086535e-01, 4.5670388741394392e+00
-1.8014014630253059e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 1.8014014630253059e+00, 0.0000000000000000e+00, 4.9285516963258388e-08, 1.2038906268732437e-01, 1.0000194091796875e+00, 1.7613346506807752e+00, 7.2105058401013376e-07, 1.7613353717313591e+00, 1.7613353717313591e+00, -5.1253521156628983e+00, 5.1253521156628983e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 1.7613346506807752e+00, -2.0509246932141470e-01, 5.1253521156628983e+00
-1.7441618313055705e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 1.7441618313055705e+00, 0.0000000000000000e+00, 4.6895560119018132e-08, 1.4160155318961140e-01, 1.0000194091796875e+00, 2.0716809040273327e+00, 6.8608534707078843e-07, 2.0716815901126799e+00, 2.0716815901126799e+00, -5.7258613262438391e+00, 5.7258613262438391e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 2.0716809040273327e+00, -2.4122965489478962e-01, 5.7258613262438391e+00
-1.6869221995858350e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 1.6869221995858350e+00, 0.0000000000000000e+00, 4.4505603274777869e-08, 1.6525452245418457e-01, 1.0000194091796875e+00, 2.4177322265248087e+00, 6.5112011013144299e-07, 2.4177328776449190e+00, 2.4177328776449190e+00, -6.3738037690549962e+00, 6.3738037690549962e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 2.4177322265248087e+00, -2.8152439257659673e-01, 6.3738037690549962e+00
