jointAngle,jointVelocity,activation,fiberAngle,fiberAngularVelocity,passiveTorqueAngleMultiplier,activeTorqueAngleMultiplier,torqueVelocityMultiplier,activeTorque,passiveTorque,fiberTorque,jointTorque,fiberStiffness,jointStiffness,fiberActivePower,fiberPassivePower,fiberPower,jointPower,DjointTorqueDactivation,DjointTorqueDjointAngularVelocity,DjointTorqueDjointAngle
-4.0799999999999997e-01, -2.3529199999999999e+01, 1.0000000000000000e+00, 4.0799999999999997e-01, -2.3529199999999999e+01, 7.5099038370963794e-02, 1.0000000000000000e+00, 1.1590000000000000e+00, 1.2950094925776906e+01, 1.0069435814376635e+00, 1.3957038507214570e+01, 1.3957038507214570e+01, 7.8646345267615292e+00, -7.8646345267615292e+00, -3.0470537352758998e+02, -2.3692576916363070e+01, -3.2839795044395305e+02, -3.2839795044395305e+02, 1.2950094925776906e+01, -7.1325812284145076e-03, -7.8646345267615292e+00
-4.0799999999999997e-01, -2.3053862626262625e+01, 1.0000000000000000e+00, 4.0799999999999997e-01, -2.3053862626262625e+01, 7.5099038370963794e-02, 1.0000000000000000e+00, 1.1590000000000000e+00, 1.2950094925776906e+01, 1.0035531990085804e+00, 1.3953648124785486e+01, 1.3953648124785486e+01, 7.8381542758296723e+00, -7.8381542758296723e+00, -2.9854970941592148e+02, -2.3135777588090210e+01, -3.2168548700401169e+02, -3.2168548700401169e+02, 1.2950094925776906e+01, -7.1325812284145076e-03, -7.8381542758296723e+00
-4.0799999999999997e-01, -2.2578525252525253e+01, 1.0000000000000000e+00, 4.0799999999999997e-01, -2.2578525252525253e+01, 7.5099038370963794e-02, 1.0000000000000000e+00, 1.1590000000000000e+00, 1.2950094925776906e+01, 1.0001628165794976e+00, 1.3950257742356403e+01, 1.3950257742356403e+01, 7.8116740248978163e+00, -7.8116740248978163e+00, -2.9239404530425298e+02, -2.2582201410776968e+01, -3.1497624671502996e+02, -3.1497624671502996e+02, 1.2950094925776906e+01, -7.1325812284145076e-03, -7.8116740248978163e+00
-4.0799999999999997e-01, -2.2103187878787878e+01, 1.0000000000000000e+00, 4.0799999999999997e-01, -2.2103187878787878e+01, 7.5099038370963794e-02, 1.0000000000000000e+00, 1.1590000000000000e+00, 1.2950094925776906e+01, 9.9677243415041450e-01, 1.3946867359927321e+01, 1.3946867359927321e+01, 7.7851937739659585e+00, -7.7851937739659585e+00, -2.8623838119258448e+02, -2.2031848384423331e+01, -3.0827022957700780e+02, -3.0827022957700785e+02, 1.2950094925776906e+01, -7.1325812284145076e-03, -7.7851937739659585e+00
-4.0799999999999997e-01, -2.1627850505050503e+01, 1.0000000000000000e+00, 4.0799999999999997e-01, -2.1627850505050503e+01, 7.5099038370963794e-02, 1.0000000000000000e+00, 1.1590000000000000e+00, 1.2950094925776906e+01, 9.9338205172133132e-01, 1.3943476977498237e+01, 1.3943476977498237e+01, 7.7587135230341016e+00, -7.7587135230341016e+00, -2.8008271708091598e+02, -2.1484718509029300e+01, -3.0156743558994526e+02, -3.0156743558994532e+02, 1.2950094925776906e+01, -7.1325812284145076e-03, -7.7587135230341016e+00
-4.0799999999999997e-01, -2.1152513131313132e+01, 1.0000000000000000e+00, 4.0799999999999997e-01, -2.1152513131313132e+01, 7.5099038370963794e-02, 1.0000000000000000e+00, 1.1590000000000000e+00, 1.2950094925776906e+01, 9.8999166929224836e-01, 1.3940086595069154e+01, 1.3940086595069154e+01, 7.7322332721022446e+00, -7.7322332721022446e+00, -2.7392705296924754e+02, -2.0940811784594892e+01, -2.9486786475384241e+02, -2.9486786475384247e+02, 1.2950094925776906e+01, -7.1325812284145076e-03, -7.7322332721022446e+00
-4.0799999999999997e-01, -2.0677175757575757e+01, 1.0000000000000000e+00, 4.0799999999999997e-01, -2.0677175757575757e+01, 7.5099038370963794e-02, 1.0000000000000000e+00, 1.1590000000000000e+00, 1.2950094925776906e+01, 9.8660128686316528e-01, 1.3936696212640070e+01, 1.3936696212640070e+01, 7.7057530211703869e+00, -7.7057530211703869e+00, -2.6777138885757904e+02, -2.0400128211120087e+01, -2.8817151706869913e+02, -2.8817151706869913e+02, 1.2950094925776906e+01, -7.1325812284145076e-03, -7.7057530211703869e+00
-4.0799999999999997e-01, -2.0201838383838382e+01, 1.0000000000000000e+00, 4.0799999999999997e-01, -2.0201838383838382e+01, 7.5099038370963794e-02, 1.0000000000000000e+00, 1.1590000000000000e+00, 1.2950094925776906e+01, 9.8321090443408221e-01, 1.3933305830210989e+01, 1.3933305830210989e+01, 7.6792727702385308e+00, -7.6792727702385308e+00, -2.6161572474591054e+02, -1.9862667788604892e+01, -2.8147839253451542e+02, -2.8147839253451548e+02, 1.2950094925776906e+01, -7.1325812284145076e-03, -7.6792727702385308e+00
-4.0799999999999997e-01, -1.9726501010101011e+01, 1.0000000000000000e+00, 4.0799999999999997e-01, -1.9726501010101011e+01, 7.5099038370963794e-02, 1.0000000000000000e+00, 1.1590000000000000e+00, 1.2950094925776906e+01, 9.7982052200499914e-01, 1.3929915447781905e+01, 1.3929915447781905e+01, 7.6527925193066739e+00, -7.6527925193066739e+00, -2.5546006063424210e+02, -1.9328430517049316e+01, -2.7478849115129140e+02, -2.7478849115129140e+02, 1.2950094925776906e+01, -7.1325812284145076e-03, -7.6527925193066739e+00
-4.0799999999999997e-01, -1.9251163636363636e+01, 1.0000000000000000e+00, 4.0799999999999997e-01, -1.9251163636363636e+01, 7.5099038370963794e-02, 1.0000000000000000e+00, 1.1590000000000000e+00, 1.2950094925776906e+01, 9.7643013957591618e-01, 1.3926525065352822e+01, 1.3926525065352822e+01, 7.6263122683748161e+00, -7.6263122683748161e+00, -2.4930439652257360e+02, -1.8797416396453347e+01, -2.6810181291902694e+02, -2.6810181291902694e+02, 1.2950094925776906e+01, -7.1325812284145076e-03, -7.6263122683748161e+00
