jointAngle,jointVelocity,activation,fiberAngle,fiberAngularVelocity,passiveTorqueAngleMultiplier,activeTorqueAngleMultiplier,torqueVelocityMultiplier,activeTorque,passiveTorque,fiberTorque,jointTorque,fiberStiffness,jointStiffness,fiberActivePower,fiberPassivePower,fiberPower,jointPower,DjointTorqueDactivation,DjointTorqueDjointAngularVelocity,DjointTorqueDjointAngle
-2.2020788850634547e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 2.2020788850634547e+00, 0.0000000000000000e+00, 9.6179025293160780e+00, 2.7046908682928989e-02, 1.0000000000000000e+00, 3.0220883079616051e-01, 1.0746570383219414e+02, 1.0776791266299030e+02, 1.0776791266299030e+02, 6.6518590895141202e+01, -6.6518590895141202e+01, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 3.0220883079616051e-01, -9.5034215323673776e-01, -6.6518590895141202e+01
-2.1448392533437191e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 2.1448392533437191e+00, 0.0000000000000000e+00, 9.2697044473235088e+00, 3.5191103707855040e-02, 1.0000000000000000e+00, 3.9320805311439377e-01, 1.0357511003169611e+02, 1.0396831808481051e+02, 1.0396831808481051e+02, 6.6238545490425295e+01, -6.6238545490425295e+01, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 3.9320805311439377e-01, -9.2837551170510646e-01, -6.6238545490425295e+01
-2.0875996216239838e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 2.0875996216239838e+00, 0.0000000000000000e+00, 8.9215063653309414e+00, 4.4828355923714737e-02, 1.0000000000000000e+00, 5.0088996080985271e-01, 9.9684516231198089e+01, 1.0018540619200795e+02, 1.0018540619200795e+02, 6.5935768938889936e+01, -6.5935768938889936e+01, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 5.0088996080985271e-01, -9.0844448746470485e-01, -6.5935768938889936e+01
-2.0303599899042482e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 2.0303599899042482e+00, 0.0000000000000000e+00, 8.5733082833383722e+00, 5.6074231303390648e-02, 1.0000000000000000e+00, 6.2654583112069007e-01, 9.5793922430700064e+01, 9.6420468261820758e+01, 9.6420468261820758e+01, 6.5610516741326549e+01, -6.5610516741326549e+01, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 6.2654583112069007e-01, -8.9070664185618698e-01, -6.5610516741326549e+01
-1.9731203581845125e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 1.9731203581845125e+00, 0.0000000000000000e+00, 8.2251102013458031e+00, 6.9044489919151492e-02, 1.0000000000000000e+00, 7.7146911005596075e-01, 9.1903328630202026e+01, 9.2674797740257986e+01, 9.2674797740257986e+01, 6.5262431064839404e+01, -6.5262431064839404e+01, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 7.7146911005596075e-01, -8.7531980085311623e-01, -6.5262431064839404e+01
-1.9158807264647770e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 1.9158807264647770e+00, 0.0000000000000000e+00, 7.8769121193532348e+00, 8.3858599219750793e-02, 1.0000000000000000e+00, 9.3699466802282483e-01, 8.8012734829704002e+01, 8.8949729497726821e+01, 8.8949729497726821e+01, 6.4890403319291750e+01, -6.4890403319291750e+01, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 9.3699466802282483e-01, -8.6244684502423330e-01, -6.4890403319291750e+01
-1.8586410947450416e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 1.8586410947450416e+00, 0.0000000000000000e+00, 7.5287140373606665e+00, 1.0064382513182904e-01, 1.0000000000000000e+00, 1.1245445117778063e+00, 8.4122141029205977e+01, 8.5246685540983790e+01, 8.5246685540983790e+01, 6.4492488276888380e+01, -6.4492488276888380e+01, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 1.1245445117778063e+00, -8.5226128729484762e-01, -6.4492488276888380e+01
-1.8014014630253059e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 1.8014014630253059e+00, 0.0000000000000000e+00, 7.1805159553680964e+00, 1.1953959232549162e-01, 1.0000000000000000e+00, 1.3356765038859266e+00, 8.0231547228707939e+01, 8.1567223732593860e+01, 8.1567223732593860e+01, 6.4065889423554566e+01, -6.4065889423554566e+01, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 1.3356765038859266e+00, -8.4495321768362319e-01, -6.4065889423554566e+01
-1.7441618313055705e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 1.7441618313055705e+00, 0.0000000000000000e+00, 6.8323178733755281e+00, 1.4070165721664854e-01, 1.0000000000000000e+00, 1.5721309897926850e+00, 7.6340953428209914e+01, 7.7913084418002597e+01, 7.7913084418002597e+01, 6.3607056069133023e+01, -6.3607056069133023e+01, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 1.5721309897926850e+00, -8.4073499272678076e-01, -6.3607056069133023e+01
-1.6869221995858350e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 1.6869221995858350e+00, 0.0000000000000000e+00, 6.4841197913829598e+00, 1.6430533914607720e-01, 1.0000000000000000e+00, 1.8358669014268059e+00, 7.2450359627711890e+01, 7.4286226529138702e+01, 7.4286226529138702e+01, 6.3111971548588073e+01, -6.3111971548588073e+01, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 1.8358669014268059e+00, -8.3984564083109592e-01, -6.3111971548588073e+01
-1.6296825678660993e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 1.6296825678660993e+00, 0.0000000000000000e+00, 6.1359217093903906e+00, 1.9054650142493323e-01, 1.0000000000000000e+00, 2.1290727189193874e+00, 6.8559765827213852e+01, 7.0688838546133240e+01, 7.0688838546133240e+01, 6.2576773303909071e+01, -6.2576773303909071e+01, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 2.1290727189193874e+00, -8.4255219982025453e-01, -6.2576773303909071e+01
-1.5724429361463639e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 1.5724429361463639e+00, 0.0000000000000000e+00, 5.7877236273978223e+00, 2.1963805181939425e-01, 1.0000000000000000e+00, 2.4541273687436260e+00, 6.4669172026715827e+01, 6.7123299395459455e+01, 6.7123299395459455e+01, 6.1998925671191763e+01, -6.1998925671191763e+01, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 2.4541273687436260e+00, -8.4914494573518806e-01, -6.1998925671191763e+01
