jointAngle,jointVelocity,activation,fiberAngle,fiberAngularVelocity,passiveTorqueAngleMultiplier,activeTorqueAngleMultiplier,torqueVelocityMultiplier,activeTorque,passiveTorque,fiberTorque,jointTorque,fiberStiffness,jointStiffness,fiberActivePower,fiberPassivePower,fiberPower,jointPower,DjointTorqueDactivation,DjointTorqueDjointAngularVelocity,DjointTorqueDjointAngle
-2.2020788850634547e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 2.2020788850634547e+00, 0.0000000000000000e+00, 1.2347310800813324e-07, 2.7172288692281634e-02, 1.0000194091796875e+00, 4.0799650141112120e-01, 1.8539335757372929e-06, 4.0799835534469692e-01, 4.0799835534469692e-01, -1.9508332760996072e+00, 1.9508332760996072e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 4.0799650141112120e-01, -4.9776608334633980e-02, 1.9508332760996072e+00
-2.1448392533437191e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 2.1448392533437191e+00, 0.0000000000000000e+00, 1.1900299592677274e-07, 3.5316513244837512e-02, 1.0000194091796875e+00, 5.3028340781710259e-01, 1.7868153909873208e-06, 5.3028519463249357e-01, 5.3028519463249357e-01, -2.3271233240718097e+00, 2.3271233240718097e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 5.3028340781710259e-01, -6.4695915886875260e-02, 2.3271233240718097e+00
-2.0875996216239838e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 2.0875996216239838e+00, 0.0000000000000000e+00, 1.1453288384541225e-07, 4.4953628258691467e-02, 1.0000194091796875e+00, 6.7498631650016372e-01, 1.7196972062373489e-06, 6.7498803619736991e-01, 6.7498803619736991e-01, -2.7339529985475157e+00, 2.7339529985475157e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 6.7498631650016372e-01, -8.2350031724655770e-02, 2.7339529985475157e+00
-2.0303599899042482e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 2.0303599899042482e+00, 0.0000000000000000e+00, 1.1006277176405176e-07, 5.6199174640955855e-02, 1.0000194091796875e+00, 8.4384009368396184e-01, 1.6525790214873769e-06, 8.4384174626298336e-01, 8.4384174626298336e-01, -3.1709796352400468e+00, 3.1709796352400468e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 8.4384009368396184e-01, -1.0295061386192977e-01, 3.1709796352400468e+00
-1.9731203581845125e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 1.9731203581845125e+00, 0.0000000000000000e+00, 1.0559265968269126e-07, 6.9168889959498714e-02, 1.0000194091796875e+00, 1.0385825584865975e+00, 1.5854608367374048e-06, 1.0385841439474344e+00, 1.0385841439474344e+00, -3.6386847401589768e+00, 3.6386847401589768e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 1.0385825584865975e+00, -1.2670968057315155e-01, 3.6386847401589768e+00
-1.9158807264647770e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 1.9158807264647770e+00, 0.0000000000000000e+00, 1.0112254760133076e-07, 8.3982221371463689e-02, 1.0000194091796875e+00, 1.2610072301353252e+00, 1.5183426519874326e-06, 1.2610087484779773e+00, 1.2610087484779773e+00, -4.1385585584277775e+00, 4.1385585584277775e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 1.2610072301353252e+00, -1.5384604568526214e-01, 4.1385585584277775e+00
-1.8586410947450416e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 1.8586410947450416e+00, 0.0000000000000000e+00, 9.6652435519970260e-08, 1.0076641599599771e-01, 1.0000194091796875e+00, 1.5130247456035157e+00, 1.4512244672374607e-06, 1.5130261968279830e+00, 1.5130261968279830e+00, -4.6732153858235455e+00, 4.6732153858235455e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 1.5130247456035157e+00, -1.8459281168285488e-01, 4.6732153858235455e+00
-1.8014014630253059e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 1.8014014630253059e+00, 0.0000000000000000e+00, 9.2182323438609745e-08, 1.1966088009150422e-01, 1.0000194091796875e+00, 1.7967283133929461e+00, 1.3841062824874884e-06, 1.7967296974992286e+00, 1.7967296974992286e+00, -5.2464131600159432e+00, 5.2464131600159432e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 1.7967283133929461e+00, -2.1920535523315426e-01, 5.2464131600159432e+00
-1.7441618313055705e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 1.7441618313055705e+00, 0.0000000000000000e+00, 8.7712211357249244e-08, 1.4082135060070600e-01, 1.0000194091796875e+00, 2.1144563499870768e+00, 1.3169880977375162e-06, 2.1144576669751745e+00, 2.1144576669751745e+00, -5.8629228603940842e+00, 5.8629228603940842e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 2.1144563499870768e+00, -2.5796896898981725e-01, 5.8629228603940842e+00
-1.6869221995858350e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 1.6869221995858350e+00, 0.0000000000000000e+00, 8.3242099275888743e-08, 1.6442312445169668e-01, 1.0000194091796875e+00, 2.4688409683514454e+00, 1.2498699129875441e-06, 2.4688422182213583e+00, 2.4688422182213583e+00, -6.5281410972347178e+00, 6.5281410972347178e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 2.4688409683514454e+00, -3.0120477731113288e-01, 6.5281410972347178e+00
