jointAngle,jointVelocity,activation,fiberAngle,fiberAngularVelocity,passiveTorqueAngleMultiplier,activeTorqueAngleMultiplier,torqueVelocityMultiplier,activeTorque,passiveTorque,fiberTorque,jointTorque,fiberStiffness,jointStiffness,fiberActivePower,fiberPassivePower,fiberPower,jointPower,DjointTorqueDactivation,DjointTorqueDjointAngularVelocity,DjointTorqueDjointAngle
-4.0799999999999997e-01, -2.3529199999999999e+01, 1.0000000000000000e+00, 4.0799999999999997e-01, -2.3529199999999999e+01, 7.5099038370963794e-02, 1.0000000000000000e+00, 1.1590000000000000e+00, 1.4926457990515248e+01, 1.1606170575036587e+00, 1.6087075048018907e+01, 1.6087075048018907e+01, 9.0648862071888772e+00, -9.0648862071888772e+00, -3.5120761535043135e+02, -2.7308390869415085e+01, -3.7851600621984642e+02, -3.7851600621984647e+02, 1.4926457990515248e+01, -8.2211114806542435e-03, -9.0648862071888772e+00
-4.0799999999999997e-01, -2.3053862626262625e+01, 1.0000000000000000e+00, 4.0799999999999997e-01, -2.3053862626262625e+01, 7.5099038370963794e-02, 1.0000000000000000e+00, 1.1590000000000000e+00, 1.4926457990515248e+01, 1.1567092559632424e+00, 1.6083167246478489e+01, 1.6083167246478489e+01, 9.0343647048077695e+00, -9.0343647048077695e+00, -3.4411251201001858e+02, -2.6666616285503039e+01, -3.7077912829552162e+02, -3.7077912829552162e+02, 1.4926457990515248e+01, -8.2211114806542435e-03, -9.0343647048077695e+00
-4.0799999999999997e-01, -2.2578525252525253e+01, 1.0000000000000000e+00, 4.0799999999999997e-01, -2.2578525252525253e+01, 7.5099038370963794e-02, 1.0000000000000000e+00, 1.1590000000000000e+00, 1.4926457990515248e+01, 1.1528014544228260e+00, 1.6079259444938074e+01, 1.6079259444938074e+01, 9.0038432024266637e+00, -9.0038432024266637e+00, -3.3701740866960586e+02, -2.6028556749833616e+01, -3.6304596541943948e+02, -3.6304596541943948e+02, 1.4926457990515248e+01, -8.2211114806542435e-03, -9.0038432024266637e+00
-4.0799999999999997e-01, -2.2103187878787878e+01, 1.0000000000000000e+00, 4.0799999999999997e-01, -2.2103187878787878e+01, 7.5099038370963794e-02, 1.0000000000000000e+00, 1.1590000000000000e+00, 1.4926457990515248e+01, 1.1488936528824096e+00, 1.6075351643397656e+01, 1.6075351643397656e+01, 8.9733217000455543e+00, -8.9733217000455543e+00, -3.2992230532919308e+02, -2.5394212262406803e+01, -3.5531651759159990e+02, -3.5531651759159990e+02, 1.4926457990515248e+01, -8.2211114806542435e-03, -8.9733217000455543e+00
-4.0799999999999997e-01, -2.1627850505050503e+01, 1.0000000000000000e+00, 4.0799999999999997e-01, -2.1627850505050503e+01, 7.5099038370963794e-02, 1.0000000000000000e+00, 1.1590000000000000e+00, 1.4926457990515248e+01, 1.1449858513419933e+00, 1.6071443841857242e+01, 1.6071443841857242e+01, 8.9428001976644484e+00, -8.9428001976644484e+00, -3.2282720198878030e+02, -2.4763582823222610e+01, -3.4759078481200294e+02, -3.4759078481200294e+02, 1.4926457990515248e+01, -8.2211114806542435e-03, -8.9428001976644484e+00
-4.0799999999999997e-01, -2.1152513131313132e+01, 1.0000000000000000e+00, 4.0799999999999997e-01, -2.1152513131313132e+01, 7.5099038370963794e-02, 1.0000000000000000e+00, 1.1590000000000000e+00, 1.4926457990515248e+01, 1.1410780498015769e+00, 1.6067536040316824e+01, 1.6067536040316824e+01, 8.9122786952833408e+00, -8.9122786952833408e+00, -3.1573209864836758e+02, -2.4136668432281034e+01, -3.3986876708064864e+02, -3.3986876708064864e+02, 1.4926457990515248e+01, -8.2211114806542435e-03, -8.9122786952833408e+00
-4.0799999999999997e-01, -2.0677175757575757e+01, 1.0000000000000000e+00, 4.0799999999999997e-01, -2.0677175757575757e+01, 7.5099038370963794e-02, 1.0000000000000000e+00, 1.1590000000000000e+00, 1.4926457990515248e+01, 1.1371702482611605e+00, 1.6063628238776410e+01, 1.6063628238776410e+01, 8.8817571929022332e+00, -8.8817571929022332e+00, -3.0863699530795481e+02, -2.3513469089582074e+01, -3.3215046439753689e+02, -3.3215046439753695e+02, 1.4926457990515248e+01, -8.2211114806542435e-03, -8.8817571929022332e+00
-4.0799999999999997e-01, -2.0201838383838382e+01, 1.0000000000000000e+00, 4.0799999999999997e-01, -2.0201838383838382e+01, 7.5099038370963794e-02, 1.0000000000000000e+00, 1.1590000000000000e+00, 1.4926457990515248e+01, 1.1332624467207442e+00, 1.6059720437235992e+01, 1.6059720437235992e+01, 8.8512356905211256e+00, -8.8512356905211256e+00, -3.0154189196754203e+02, -2.2893984795125728e+01, -3.2443587676266776e+02, -3.2443587676266776e+02, 1.4926457990515248e+01, -8.2211114806542435e-03, -8.8512356905211256e+00
-4.0799999999999997e-01, -1.9726501010101011e+01, 1.0000000000000000e+00, 4.0799999999999997e-01, -1.9726501010101011e+01, 7.5099038370963794e-02, 1.0000000000000000e+00, 1.1590000000000000e+00, 1.4926457990515248e+01, 1.1293546451803278e+00, 1.6055812635695574e+01, 1.6055812635695574e+01, 8.8207141881400197e+00, -8.8207141881400197e+00, -2.9444678862712931e+02, -2.2278215548912005e+01, -3.1672500417604130e+02, -3.1672500417604130e+02, 1.4926457990515248e+01, -8.2211114806542435e-03, -8.8207141881400197e+00
-4.0799999999999997e-01, -1.9251163636363636e+01, 1.0000000000000000e+00, 4.0799999999999997e-01, -1.9251163636363636e+01, 7.5099038370963794e-02, 1.0000000000000000e+00, 1.1590000000000000e+00, 1.4926457990515248e+01, 1.1254468436399114e+00, 1.6051904834155160e+01, 1.6051904834155160e+01, 8.7901926857589103e+00, -8.7901926857589103e+00, -2.8735168528671659e+02, -2.1666161350940893e+01, -3.0901784663765750e+02, -3.0901784663765744e+02, 1.4926457990515248e+01, -8.2211114806542435e-03, -8.7901926857589103e+00
-4.0799999999999997e-01, -1.8775826262626261e+01, 1.0000000000000000e+00, 4.0799999999999997e-01, -1.8775826262626261e+01, 7.5099038370963794e-02, 1.0000000000000000e+00, 1.1590000000000000e+00, 1.4926457990515248e+01, 1.1215390420994953e+00, 1.6047997032614742e+01, 1.6047997032614742e+01, 8.7596711833778045e+00, -8.7596711833778045e+00, -2.8025658194630381e+02, -2.1057822201212403e+01, -3.0131440414751620e+02, -3.0131440414751614e+02, 1.4926457990515248e+01, -8.2211114806542435e-03, -8.7596711833778045e+00
-4.0799999999999997e-01, -1.8300488888888889e+01, 1.0000000000000000e+00, 4.0799999999999997e-01, -1.8300488888888889e+01, 7.5099038370963794e-02, 1.0000000000000000e+00, 1.1590000000000000e+00, 1.4926457990515248e+01, 1.1176312405590787e+00, 1.6044089231074327e+01, 1.6044089231074327e+01, 8.7291496809966969e+00, -8.7291496809966969e+00, -2.7316147860589109e+02, -2.0453198099726524e+01, -2.9361467670561763e+02, -2.9361467670561763e+02, 1.4926457990515248e+01, -8.2211114806542435e-03, -8.7291496809966969e+00
-4.0799999999999997e-01, -1.7825151515151514e+01, 1.0000000000000000e+00, 4.0799999999999997e-01, -1.7825151515151514e+01, 7.5099038370963794e-02, 1.0000000000000000e+00, 1.1590000000000000e+00, 1.4926457990515248e+01, 1.1137234390186623e+00, 1.6040181429533909e+01, 1.6040181429533909e+01, 8.6986281786155892e+00, -8.6986281786155892e+00, -2.6606637526547831e+02, -1.9852289046483264e+01, -2.8591866431196161e+02, -2.8591866431196155e+02, 1.4926457990515248e+01, -8.2211114806542435e-03, -8.6986281786155892e+00
-4.0799999999999997e-01, -1.7349814141414143e+01, 1.0000000000000000e+00, 4.0799999999999997e-01, -1.7349814141414143e+01, 7.5099038370963794e-02, 1.0000000000000000e+00, 1.1590000000000000e+00, 1.4926457990515248e+01, 1.1098156374782462e+00, 1.6036273627993495e+01, 1.6036273627993495e+01, 8.6681066762344816e+00, -8.6681066762344816e+00, -2.5897127192506559e+02, -1.9255095041482626e+01, -2.7822636696654820e+02, -2.7822636696654820e+02, 1.4926457990515248e+01, -8.2211114806542435e-03, -8.6681066762344816e+00
-4.0799999999999997e-01, -1.6874476767676768e+01, 1.0000000000000000e+00, 4.0799999999999997e-01, -1.6874476767676768e+01, 7.5099038370963794e-02, 1.0000000000000000e+00, 1.1590000000000000e+00, 1.4926457990515248e+01, 1.1059078359378298e+00, 1.6032365826453077e+01, 1.6032365826453077e+01, 8.6375851738533740e+00, -8.6375851738533740e+00, -2.5187616858465279e+02, -1.8661616084724599e+01, -2.7053778466937740e+02, -2.7053778466937740e+02, 1.4926457990515248e+01, -8.2211114806542435e-03, -8.6375851738533740e+00
-4.0799999999999997e-01, -1.6399139393939393e+01, 1.0000000000000000e+00, 4.0799999999999997e-01, -1.6399139393939393e+01, 7.5099038370963794e-02, 1.0000000000000000e+00, 1.1590000000000000e+00, 1.4926457990515248e+01, 1.1020000343974132e+00, 1.6028458024912659e+01, 1.6028458024912659e+01, 8.6070636714722664e+00, -8.6070636714722664e+00, -2.4478106524424004e+02, -1.8071852176209184e+01, -2.6285291742044922e+02, -2.6285291742044916e+02, 1.4926457990515248e+01, -8.2211114806542435e-03, -8.6070636714722664e+00
-4.0799999999999997e-01, -1.5923802020202020e+01, 1.0000000000000000e+00, 4.0799999999999997e-01, -1.5923802020202020e+01, 7.5099038370963794e-02, 1.0000000000000000e+00, 1.1590000000000000e+00, 1.4926457990515248e+01, 1.0980922328569971e+00, 1.6024550223372245e+01, 1.6024550223372245e+01, 8.5765421690911587e+00, -8.5765421690911587e+00, -2.3768596190382729e+02, -1.7485803315936398e+01, -2.5517176521976370e+02, -2.5517176521976367e+02, 1.4926457990515248e+01, -8.2211114806542435e-03, -8.5765421690911587e+00
-4.0799999999999997e-01, -1.5448464646464647e+01, 1.0000000000000000e+00, 4.0799999999999997e-01, -1.5448464646464647e+01, 7.5099038370963794e-02, 1.0000000000000000e+00, 1.1590000000000000e+00, 1.4926457990515248e+01, 1.0941844313165807e+00, 1.6020642421831827e+01, 1.6020642421831827e+01, 8.5460206667100529e+00, -8.5460206667100529e+00, -2.3059085856341454e+02, -1.6903469503906223e+01, -2.4749432806732077e+02, -2.4749432806732074e+02, 1.4926457990515248e+01, -8.2211114806542435e-03, -8.5460206667100529e+00
-4.0799999999999997e-01, -1.4973127272727272e+01, 1.0000000000000000e+00, 4.0799999999999997e-01, -1.4973127272727272e+01, 7.5099038370963794e-02, 1.0000000000000000e+00, 1.1590000000000000e+00, 1.4926457990515248e+01, 1.0902766297761644e+00, 1.6016734620291412e+01, 1.6016734620291412e+01, 8.5154991643289453e+00, -8.5154991643289453e+00, -2.2349575522300177e+02, -1.6324850740118659e+01, -2.3982060596312041e+02, -2.3982060596312044e+02, 1.4926457990515248e+01, -8.2211114806542435e-03, -8.5154991643289453e+00
-4.0799999999999997e-01, -1.4497789898989899e+01, 1.0000000000000000e+00, 4.0799999999999997e-01, -1.4497789898989899e+01, 7.5099038370963794e-02, 1.0000000000000000e+00, 1.1590000000000000e+00, 1.4926457990515248e+01, 1.0863688282357478e+00, 1.6012826818750995e+01, 1.6012826818750995e+01, 8.4849776619478376e+00, -8.4849776619478376e+00, -2.1640065188258902e+02, -1.5749947024573716e+01, -2.3215059890716273e+02, -2.3215059890716273e+02, 1.4926457990515248e+01, -8.2211114806542435e-03, -8.4849776619478376e+00
-4.0799999999999997e-01, -1.4022452525252525e+01, 1.0000000000000000e+00, 4.0799999999999997e-01, -1.4022452525252525e+01, 7.5099038370963794e-02, 1.0000000000000000e+00, 1.1590000000000000e+00, 1.4926457990515248e+01, 1.0824610266953316e+00, 1.6008919017210580e+01, 1.6008919017210580e+01, 8.4544561595667300e+00, -8.4544561595667300e+00, -2.0930554854217627e+02, -1.5178758357271395e+01, -2.2448430689944766e+02, -2.2448430689944769e+02, 1.4926457990515248e+01, -8.2211114806542435e-03, -8.4544561595667300e+00
-4.0799999999999997e-01, -1.3547115151515150e+01, 1.0000000000000000e+00, 4.0799999999999997e-01, -1.3547115151515150e+01, 7.5099038370963794e-02, 1.0000000000000000e+00, 1.1590000000000000e+00, 1.4926457990515248e+01, 1.0785532251549153e+00, 1.6005011215670162e+01, 1.6005011215670162e+01, 8.4239346571856242e+00, -8.4239346571856242e+00, -2.0221044520176349e+02, -1.4611284738211683e+01, -2.1682172993997517e+02, -2.1682172993997517e+02, 1.4926457990515248e+01, -8.2211114806542435e-03, -8.4239346571856242e+00
-4.0799999999999997e-01, -1.3071777777777777e+01, 1.0000000000000000e+00, 4.0799999999999997e-01, -1.3071777777777777e+01, 7.5099038370963794e-02, 1.0000000000000000e+00, 1.1590000000000000e+00, 1.4926457990515248e+01, 1.0746454236144987e+00, 1.6001103414129748e+01, 1.6001103414129748e+01, 8.3934131548045148e+00, -8.3934131548045148e+00, -1.9511534186135074e+02, -1.4047526167394590e+01, -2.0916286802874532e+02, -2.0916286802874535e+02, 1.4926457990515248e+01, -8.2211114806542435e-03, -8.3934131548045148e+00
-4.0799999999999997e-01, -1.2596440404040404e+01, 1.0000000000000000e+00, 4.0799999999999997e-01, -1.2596440404040404e+01, 7.5099038370963794e-02, 1.0000000000000000e+00, 1.1590000000000000e+00, 1.4926457990515248e+01, 1.0707376220740825e+00, 1.5997195612589330e+01, 1.5997195612589330e+01, 8.3628916524234089e+00, -8.3628916524234089e+00, -1.8802023852093799e+02, -1.3487482644820117e+01, -2.0150772116575811e+02, -2.0150772116575811e+02, 1.4926457990515248e+01, -8.2211114806542435e-03, -8.3628916524234089e+00
-4.0799999999999997e-01, -1.2121103030303029e+01, 1.0000000000000000e+00, 4.0799999999999997e-01, -1.2121103030303029e+01, 7.5099038370963794e-02, 1.0000000000000000e+00, 1.1590000000000000e+00, 1.4926457990515248e+01, 1.0668298205336662e+00, 1.5993287811048914e+01, 1.5993287811048914e+01, 8.3323701500423013e+00, -8.3323701500423013e+00, -1.8092513518052525e+02, -1.2931154170488258e+01, -1.9385628935101352e+02, -1.9385628935101349e+02, 1.4926457990515248e+01, -8.2211114806542435e-03, -8.3323701500423013e+00
-4.0799999999999997e-01, -1.1645765656565656e+01, 1.0000000000000000e+00, 4.0799999999999997e-01, -1.1645765656565656e+01, 7.5099038370963794e-02, 1.0000000000000000e+00, 1.1589999999999996e+00, 1.4926457990515242e+01, 1.0629220189932498e+00, 1.5989380009508492e+01, 1.5989380009508492e+01, 8.3018486476611955e+00, -8.3018486476611955e+00, -1.7383003184011241e+02, -1.2378540744399016e+01, -1.8620857258451142e+02, -1.8620857258451144e+02, 1.4926457990515242e+01, -8.2211114806574476e-03, -8.3018486476611955e+00
