jointAngle,jointVelocity,activation,fiberAngle,fiberAngularVelocity,passiveTorqueAngleMultiplier,activeTorqueAngleMultiplier,torqueVelocityMultiplier,activeTorque,passiveTorque,fiberTorque,jointTorque,fiberStiffness,jointStiffness,fiberActivePower,fiberPassivePower,fiberPower,jointPower,DjointTorqueDactivation,DjointTorqueDjointAngularVelocity,DjointTorqueDjointAngle
-2.2020788850634547e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 2.2020788850634547e+00, 0.0000000000000000e+00, 9.6179025293160780e+00, 2.7046908682928989e-02, 1.0000000000000000e+00, 3.4833006577139053e-01, 1.2386645216626988e+02, 1.2421478223204127e+02, 1.2421478223204127e+02, 7.6670245143012309e+01, -7.6670245143012309e+01, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 3.4833006577139053e-01, -1.0953774708375712e+00, -7.6670245143012309e+01
-2.1448392533437191e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 2.1448392533437191e+00, 0.0000000000000000e+00, 9.2697044473235088e+00, 3.5191103707855040e-02, 1.0000000000000000e+00, 4.5321702427537847e-01, 1.1938210010135178e+02, 1.1983531712562716e+02, 1.1983531712562716e+02, 7.6347460947769974e+01, -7.6347460947769974e+01, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 4.5321702427537847e-01, -1.0700584168928811e+00, -7.6347460947769974e+01
-2.0875996216239838e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 2.0875996216239838e+00, 0.0000000000000000e+00, 8.9215063653309414e+00, 4.4828355923714737e-02, 1.0000000000000000e+00, 5.7733267599585281e-01, 1.1489774803643371e+02, 1.1547508071242956e+02, 1.1547508071242956e+02, 7.5998476519245841e+01, -7.5998476519245841e+01, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 5.7733267599585281e-01, -1.0470856435087936e+00, -7.5998476519245841e+01
-2.0303599899042482e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 2.0303599899042482e+00, 0.0000000000000000e+00, 8.5733082833383722e+00, 5.6074231303390648e-02, 1.0000000000000000e+00, 7.2216536488394789e-01, 1.1041339597151563e+02, 1.1113556133639958e+02, 1.1113556133639958e+02, 7.5623586351175391e+01, -7.5623586351175391e+01, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 7.2216536488394789e-01, -1.0266407580592836e+00, -7.5623586351175391e+01
-1.9731203581845125e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 1.9731203581845125e+00, 0.0000000000000000e+00, 8.2251102013458031e+00, 6.9044489919151492e-02, 1.0000000000000000e+00, 8.8920593464604680e-01, 1.0592904390659753e+02, 1.0681824984124357e+02, 1.0681824984124357e+02, 7.5222378000428591e+01, -7.5222378000428591e+01, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 8.8920593464604680e-01, -1.0089056729378674e+00, -7.5222378000428591e+01
-1.9158807264647770e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 1.9158807264647770e+00, 0.0000000000000000e+00, 7.8769121193532348e+00, 8.3858599219750793e-02, 1.0000000000000000e+00, 1.0799929753210225e+00, 1.0144469184167946e+02, 1.0252468481700048e+02, 1.0252468481700048e+02, 7.4793573690726589e+01, -7.4793573690726589e+01, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 1.0799929753210225e+00, -9.9406812653416410e-01, -7.4793573690726589e+01
-1.8586410947450416e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 1.8586410947450416e+00, 0.0000000000000000e+00, 7.5287140373606665e+00, 1.0064382513182904e-01, 1.0000000000000000e+00, 1.2961655115056159e+00, 9.6960339776761373e+01, 9.8256505288266993e+01, 9.8256505288266993e+01, 7.4334931325688359e+01, -7.4334931325688359e+01, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 1.2961655115056159e+00, -9.8232811223859151e-01, -7.4334931325688359e+01
-1.8014014630253059e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 1.8014014630253059e+00, 0.0000000000000000e+00, 7.1805159553680964e+00, 1.1953959232549162e-01, 1.0000000000000000e+00, 1.5395191570748659e+00, 9.2475987711843274e+01, 9.4015506868918138e+01, 9.4015506868918138e+01, 7.3843227604628012e+01, -7.3843227604628012e+01, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 1.5395191570748659e+00, -9.7390473042796288e-01, -7.3843227604628012e+01
-1.7441618313055705e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 1.7441618313055705e+00, 0.0000000000000000e+00, 6.8323178733755281e+00, 1.4070165721664854e-01, 1.0000000000000000e+00, 1.8120598581882494e+00, 8.7991635646925189e+01, 8.9803695505113438e+01, 8.9803695505113438e+01, 7.3314369953107018e+01, -7.3314369953107018e+01, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 1.8120598581882494e+00, -9.6904274617427810e-01, -7.3314369953107018e+01
-1.6869221995858350e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 1.6869221995858350e+00, 0.0000000000000000e+00, 6.4841197913829598e+00, 1.6430533914607720e-01, 1.0000000000000000e+00, 2.1160455068000705e+00, 8.3507283582007119e+01, 8.5623329088807196e+01, 8.5623329088807196e+01, 7.2743728707616285e+01, -7.2743728707616285e+01, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 2.1160455068000705e+00, -9.6801766691533753e-01, -7.2743728707616285e+01
