jointAngle,jointVelocity,activation,fiberAngle,fiberAngularVelocity,passiveTorqueAngleMultiplier,activeTorqueAngleMultiplier,torqueVelocityMultiplier,activeTorque,passiveTorque,fiberTorque,jointTorque,fiberStiffness,jointStiffness,fiberActivePower,fiberPassivePower,fiberPower,jointPower,DjointTorqueDactivation,DjointTorqueDjointAngularVelocity,DjointTorqueDjointAngle
-1.0646500000000001e+00, -2.3394070400007152e+01, 1.0000000000000000e+00, 1.0646500000000001e+00, -2.3394070400007152e+01, 7.7555854906572269e-09, 1.0000000000000000e+00, 1.1000000000000001e+00, 3.8807930637531484e+01, 3.2833988048167765e-07, 3.8807930965871364e+01, 3.8807930965871364e+01, 2.8774974219667020e-06, -2.8774974219667020e-06, -9.0787546141300595e+02, -7.6812062791183015e-06, -9.0787546909421224e+02, -9.0787546909421224e+02, 3.8807930637531484e+01, -2.3391958935712287e-09, -2.8774974219667020e-06
-1.0646500000000001e+00, -2.2921462917178726e+01, 1.0000000000000000e+00, 1.0646500000000001e+00, -2.2921462917178726e+01, 7.7555854906572269e-09, 1.0000000000000000e+00, 1.1000000000000001e+00, 3.8807930637531484e+01, 3.2723435899857443e-07, 3.8807930964765845e+01, 3.8807930964765845e+01, 2.8678088784583970e-06, -2.8678088784583970e-06, -8.8953454300062208e+02, -7.5006902250125738e-06, -8.8953455050131231e+02, -8.8953455050131231e+02, 3.8807930637531484e+01, -2.3391958935712287e-09, -2.8678088784583970e-06
-1.0646500000000001e+00, -2.2448855434350296e+01, 1.0000000000000000e+00, 1.0646500000000001e+00, -2.2448855434350296e+01, 7.7555854906572269e-09, 1.0000000000000000e+00, 1.1000000000000001e+00, 3.8807930637531484e+01, 3.2612883751547115e-07, 3.8807930963660318e+01, 3.8807930963660318e+01, 2.8581203349500915e-06, -2.8581203349500915e-06, -8.7119362458823798e+02, -7.3212191263575297e-06, -8.7119363190945705e+02, -8.7119363190945705e+02, 3.8807930637531484e+01, -2.3391958935712287e-09, -2.8581203349500915e-06
-1.0646500000000001e+00, -2.1976247951521870e+01, 1.0000000000000000e+00, 1.0646500000000001e+00, -2.1976247951521870e+01, 7.7555854906572269e-09, 1.0000000000000000e+00, 1.1000000000000001e+00, 3.8807930637531484e+01, 3.2502331603236782e-07, 3.8807930962554799e+01, 3.8807930962554799e+01, 2.8484317914417861e-06, -2.8484317914417861e-06, -8.5285270617585411e+02, -7.1427929831531691e-06, -8.5285271331864715e+02, -8.5285271331864703e+02, 3.8807930637531484e+01, -2.3391958935712287e-09, -2.8484317914417861e-06
-1.0646500000000001e+00, -2.1503640468693444e+01, 1.0000000000000000e+00, 1.0646500000000001e+00, -2.1503640468693444e+01, 7.7555854906572269e-09, 1.0000000000000000e+00, 1.1000000000000001e+00, 3.8807930637531484e+01, 3.2391779454926455e-07, 3.8807930961449280e+01, 3.8807930961449280e+01, 2.8387432479334802e-06, -2.8387432479334802e-06, -8.3451178776347024e+02, -6.9654117953994937e-06, -8.3451179472888202e+02, -8.3451179472888202e+02, 3.8807930637531484e+01, -2.3391958935712287e-09, -2.8387432479334802e-06
-1.0646500000000001e+00, -2.1031032985865014e+01, 1.0000000000000000e+00, 1.0646500000000001e+00, -2.1031032985865014e+01, 7.7555854906572269e-09, 1.0000000000000000e+00, 1.1000000000000001e+00, 3.8807930637531484e+01, 3.2281227306616122e-07, 3.8807930960343761e+01, 3.8807930960343761e+01, 2.8290547044251751e-06, -2.8290547044251751e-06, -8.1617086935108614e+02, -6.7890755630965011e-06, -8.1617087614016168e+02, -8.1617087614016179e+02, 3.8807930637531484e+01, -2.3391958935712287e-09, -2.8290547044251751e-06
-1.0646500000000001e+00, -2.0558425503036588e+01, 1.0000000000000000e+00, 1.0646500000000001e+00, -2.0558425503036588e+01, 7.7555854906572269e-09, 1.0000000000000000e+00, 1.1000000000000001e+00, 3.8807930637531484e+01, 3.2170675158305794e-07, 3.8807930959238234e+01, 3.8807930959238234e+01, 2.8193661609168697e-06, -2.8193661609168697e-06, -7.9782995093870227e+02, -6.6137842862441946e-06, -7.9782995755248658e+02, -7.9782995755248646e+02, 3.8807930637531484e+01, -2.3391958935712287e-09, -2.8193661609168697e-06
-1.0646500000000001e+00, -2.0085818020208162e+01, 1.0000000000000000e+00, 1.0646500000000001e+00, -2.0085818020208162e+01, 7.7555854906572269e-09, 1.0000000000000000e+00, 1.1000000000000001e+00, 3.8807930637531484e+01, 3.2060123009995461e-07, 3.8807930958132715e+01, 3.8807930958132715e+01, 2.8096776174085642e-06, -2.8096776174085642e-06, -7.7948903252631828e+02, -6.4395379648425716e-06, -7.7948903896585625e+02, -7.7948903896585625e+02, 3.8807930637531484e+01, -2.3391958935712287e-09, -2.8096776174085642e-06
-1.0646500000000001e+00, -1.9613210537379732e+01, 1.0000000000000000e+00, 1.0646500000000001e+00, -1.9613210537379732e+01, 7.7555854906572269e-09, 1.0000000000000000e+00, 1.1000000000000001e+00, 3.8807930637531484e+01, 3.1949570861685139e-07, 3.8807930957027196e+01, 3.8807930957027196e+01, 2.7999890739002587e-06, -2.7999890739002587e-06, -7.6114811411393430e+02, -6.2663365988916339e-06, -7.6114812038027094e+02, -7.6114812038027094e+02, 3.8807930637531484e+01, -2.3391958935712287e-09, -2.7999890739002587e-06
-1.0646500000000001e+00, -1.9140603054551306e+01, 1.0000000000000000e+00, 1.0646500000000001e+00, -1.9140603054551306e+01, 7.7555854906572269e-09, 1.0000000000000000e+00, 1.1000000000000001e+00, 3.8807930637531484e+01, 3.1839018713374806e-07, 3.8807930955921670e+01, 3.8807930955921670e+01, 2.7903005303919537e-06, -2.7903005303919537e-06, -7.4280719570155031e+02, -6.0941801883913798e-06, -7.4280720179573052e+02, -7.4280720179573052e+02, 3.8807930637531484e+01, -2.3391958935712287e-09, -2.7903005303919537e-06
