jointAngle,jointVelocity,activation,fiberAngle,fiberAngularVelocity,passiveTorqueAngleMultiplier,activeTorqueAngleMultiplier,torqueVelocityMultiplier,activeTorque,passiveTorque,fiberTorque,jointTorque,fiberStiffness,jointStiffness,fiberActivePower,fiberPassivePower,fiberPower,jointPower,DjointTorqueDactivation,DjointTorqueDjointAngularVelocity,DjointTorqueDjointAngle
-1.0646500000000001e+00, -1.8046700000000001e+01, 1.0000000000000000e+00, 1.0646500000000001e+00, -1.8046700000000001e+01, 2.8801122102971883e-02, 1.0000000000000000e+00, 1.1000000000000001e+00, 2.1417960019424431e+01, 6.7293958005383236e-01, 2.2090899599478263e+01, 2.2090899599478263e+01, 5.8973927159764834e+00, -5.8973927159764834e+00, -3.8652349908254689e+02, -1.2144338719357497e+01, -3.9866783780190440e+02, -3.9866783780190440e+02, 2.1417960019424431e+01, -6.2147980891597209e-03, -5.8973927159764834e+00
-1.0646500000000001e+00, -1.7682120202020204e+01, 1.0000000000000000e+00, 1.0646500000000001e+00, -1.7682120202020204e+01, 2.8801122102971883e-02, 1.0000000000000000e+00, 1.1000000000000001e+00, 2.1417960019424431e+01, 6.7067379022200124e-01, 2.2088633809646431e+01, 2.2088633809646431e+01, 5.8775361748452504e+00, -5.8775361748452504e+00, -3.7871494354552578e+02, -1.1858934575049910e+01, -3.9057387812057567e+02, -3.9057387812057567e+02, 2.1417960019424431e+01, -6.2147980891597209e-03, -5.8775361748452504e+00
-1.0646500000000001e+00, -1.7317540404040404e+01, 1.0000000000000000e+00, 1.0646500000000001e+00, -1.7317540404040404e+01, 2.8801122102971883e-02, 1.0000000000000000e+00, 1.1000000000000001e+00, 2.1417960019424431e+01, 6.6840800039017023e-01, 2.2086368019814600e+01, 2.2086368019814600e+01, 5.8576796337140156e+00, -5.8576796337140156e+00, -3.7090638800850456e+02, -1.1575182553140626e+01, -3.8248157056164519e+02, -3.8248157056164519e+02, 2.1417960019424431e+01, -6.2147980891597209e-03, -5.8576796337140156e+00
-1.0646500000000001e+00, -1.6952960606060607e+01, 1.0000000000000000e+00, 1.0646500000000001e+00, -1.6952960606060607e+01, 2.8801122102971883e-02, 1.0000000000000000e+00, 1.1000000000000001e+00, 2.1417960019424431e+01, 6.6614221055833911e-01, 2.2084102229982769e+01, 2.2084102229982769e+01, 5.8378230925827816e+00, -5.8378230925827816e+00, -3.6309783247148346e+02, -1.1293082653629654e+01, -3.7439091512511311e+02, -3.7439091512511305e+02, 2.1417960019424431e+01, -6.2147980891597209e-03, -5.8378230925827816e+00
-1.0646500000000001e+00, -1.6588380808080810e+01, 1.0000000000000000e+00, 1.0646500000000001e+00, -1.6588380808080810e+01, 2.8801122102971883e-02, 1.0000000000000000e+00, 1.1000000000000001e+00, 2.1417960019424431e+01, 6.6387642072650799e-01, 2.2081836440150937e+01, 2.2081836440150937e+01, 5.8179665514515477e+00, -5.8179665514515477e+00, -3.5528927693446235e+02, -1.1012634876516987e+01, -3.6630191181097933e+02, -3.6630191181097928e+02, 2.1417960019424431e+01, -6.2147980891597209e-03, -5.8179665514515477e+00
-1.0646500000000001e+00, -1.6223801010101010e+01, 1.0000000000000000e+00, 1.0646500000000001e+00, -1.6223801010101010e+01, 2.8801122102971883e-02, 1.0000000000000000e+00, 1.1000000000000001e+00, 2.1417960019424431e+01, 6.6161063089467687e-01, 2.2079570650319109e+01, 2.2079570650319109e+01, 5.7981100103203138e+00, -5.7981100103203138e+00, -3.4748072139744113e+02, -1.0733839221802624e+01, -3.5821456061924374e+02, -3.5821456061924380e+02, 2.1417960019424431e+01, -6.2147980891597209e-03, -5.7981100103203138e+00
-1.0646500000000001e+00, -1.5859221212121213e+01, 1.0000000000000000e+00, 1.0646500000000001e+00, -1.5859221212121213e+01, 2.8801122102971883e-02, 1.0000000000000000e+00, 1.1000000000000001e+00, 2.1417960019424431e+01, 6.5934484106284597e-01, 2.2077304860487278e+01, 2.2077304860487278e+01, 5.7782534691890808e+00, -5.7782534691890808e+00, -3.3967216586042002e+02, -1.0456695689486576e+01, -3.5012886154990662e+02, -3.5012886154990656e+02, 2.1417960019424431e+01, -6.2147980891597209e-03, -5.7782534691890808e+00
-1.0646500000000001e+00, -1.5494641414141416e+01, 1.0000000000000000e+00, 1.0646500000000001e+00, -1.5494641414141416e+01, 2.8801122102971883e-02, 1.0000000000000000e+00, 1.1000000000000001e+00, 2.1417960019424431e+01, 6.5707905123101484e-01, 2.2075039070655446e+01, 2.2075039070655446e+01, 5.7583969280578460e+00, -5.7583969280578460e+00, -3.3186361032339886e+02, -1.0181204279568831e+01, -3.4204481460296768e+02, -3.4204481460296773e+02, 2.1417960019424431e+01, -6.2147980891597209e-03, -5.7583969280578460e+00
-1.0646500000000001e+00, -1.5130061616161617e+01, 1.0000000000000000e+00, 1.0646500000000001e+00, -1.5130061616161617e+01, 2.8801122102971883e-02, 1.0000000000000000e+00, 1.1000000000000001e+00, 2.1417960019424431e+01, 6.5481326139918372e-01, 2.2072773280823615e+01, 2.2072773280823615e+01, 5.7385403869266121e+00, -5.7385403869266121e+00, -3.2405505478637770e+02, -9.9073649920493931e+00, -3.3396241977842709e+02, -3.3396241977842709e+02, 2.1417960019424431e+01, -6.2147980891597209e-03, -5.7385403869266121e+00
-1.0646500000000001e+00, -1.4765481818181819e+01, 1.0000000000000000e+00, 1.0646500000000001e+00, -1.4765481818181819e+01, 2.8801122102971883e-02, 1.0000000000000000e+00, 1.1000000000000001e+00, 2.1417960019424431e+01, 6.5254747156735260e-01, 2.2070507490991783e+01, 2.2070507490991783e+01, 5.7186838457953781e+00, -5.7186838457953781e+00, -3.1624649924935653e+02, -9.6351778269282615e+00, -3.2588167707628480e+02, -3.2588167707628480e+02, 2.1417960019424431e+01, -6.2147980891597209e-03, -5.7186838457953781e+00
-1.0646500000000001e+00, -1.4400902020202022e+01, 1.0000000000000000e+00, 1.0646500000000001e+00, -1.4400902020202022e+01, 2.8801122102971883e-02, 1.0000000000000000e+00, 1.1000000000000001e+00, 2.1417960019424431e+01, 6.5028168173552159e-01, 2.2068241701159952e+01, 2.2068241701159952e+01, 5.6988273046641442e+00, -5.6988273046641442e+00, -3.0843794371233543e+02, -9.3646427842054418e+00, -3.1780258649654087e+02, -3.1780258649654087e+02, 2.1417960019424431e+01, -6.2147980891597209e-03, -5.6988273046641442e+00
-1.0646500000000001e+00, -1.4036322222222223e+01, 1.0000000000000000e+00, 1.0646500000000001e+00, -1.4036322222222223e+01, 2.8801122102971883e-02, 1.0000000000000000e+00, 1.1000000000000001e+00, 2.1417960019424431e+01, 6.4801589190369047e-01, 2.2065975911328120e+01, 2.2065975911328120e+01, 5.6789707635329103e+00, -5.6789707635329103e+00, -3.0062938817531426e+02, -9.0957598638809252e+00, -3.0972514803919518e+02, -3.0972514803919518e+02, 2.1417960019424431e+01, -6.2147980891597209e-03, -5.6789707635329103e+00
-1.0646500000000001e+00, -1.3671742424242424e+01, 1.0000000000000000e+00, 1.0646500000000001e+00, -1.3671742424242424e+01, 2.8801122102971883e-02, 1.0000000000000000e+00, 1.1000000000000001e+00, 2.1417960019424431e+01, 6.4575010207185934e-01, 2.2063710121496289e+01, 2.2063710121496289e+01, 5.6591142224016764e+00, -5.6591142224016764e+00, -2.9282083263829310e+02, -8.8285290659547151e+00, -3.0164936170424784e+02, -3.0164936170424778e+02, 2.1417960019424431e+01, -6.2147980891597209e-03, -5.6591142224016764e+00
-1.0646500000000001e+00, -1.3307162626262627e+01, 1.0000000000000000e+00, 1.0646500000000001e+00, -1.3307162626262627e+01, 2.8801122102971883e-02, 1.0000000000000000e+00, 1.1000000000000001e+00, 2.1417960019424431e+01, 6.4348431224002833e-01, 2.2061444331664458e+01, 2.2061444331664458e+01, 5.6392576812704425e+00, -5.6392576812704425e+00, -2.8501227710127199e+02, -8.5629503904268152e+00, -2.9357522749169880e+02, -2.9357522749169874e+02, 2.1417960019424431e+01, -6.2147980891597209e-03, -5.6392576812704425e+00
-1.0646500000000001e+00, -1.2942582828282829e+01, 1.0000000000000000e+00, 1.0646500000000001e+00, -1.2942582828282829e+01, 2.8801122102971883e-02, 1.0000000000000000e+00, 1.1000000000000001e+00, 2.1417960019424431e+01, 6.4121852240819721e-01, 2.2059178541832630e+01, 2.2059178541832630e+01, 5.6194011401392086e+00, -5.6194011401392086e+00, -2.7720372156425083e+02, -8.2990238372972218e+00, -2.8550274540154805e+02, -2.8550274540154805e+02, 2.1417960019424431e+01, -6.2147980891597209e-03, -5.6194011401392086e+00
-1.0646500000000001e+00, -1.2578003030303030e+01, 1.0000000000000000e+00, 1.0646500000000001e+00, -1.2578003030303030e+01, 2.8801122102971883e-02, 1.0000000000000000e+00, 1.1000000000000001e+00, 2.1417960019424431e+01, 6.3895273257636609e-01, 2.2056912752000798e+01, 2.2056912752000798e+01, 5.5995445990079737e+00, -5.5995445990079737e+00, -2.6939516602722966e+02, -8.0367494065659351e+00, -2.7743191543379561e+02, -2.7743191543379561e+02, 2.1417960019424431e+01, -6.2147980891597209e-03, -5.5995445990079737e+00
-1.0646500000000001e+00, -1.2213423232323233e+01, 1.0000000000000000e+00, 1.0646500000000001e+00, -1.2213423232323233e+01, 2.8801122102971883e-02, 1.0000000000000000e+00, 1.1000000000000001e+00, 2.1417960019424431e+01, 6.3668694274453497e-01, 2.2054646962168967e+01, 2.2054646962168967e+01, 5.5796880578767398e+00, -5.5796880578767398e+00, -2.6158661049020850e+02, -7.7761270982329558e+00, -2.6936273758844146e+02, -2.6936273758844146e+02, 2.1417960019424431e+01, -6.2147980891597209e-03, -5.5796880578767398e+00
-1.0646500000000001e+00, -1.1848843434343436e+01, 1.0000000000000000e+00, 1.0646500000000001e+00, -1.1848843434343436e+01, 2.8801122102971883e-02, 1.0000000000000000e+00, 1.1000000000000001e+00, 2.1417960019424431e+01, 6.3442115291270385e-01, 2.2052381172337135e+01, 2.2052381172337135e+01, 5.5598315167455068e+00, -5.5598315167455068e+00, -2.5377805495318739e+02, -7.5171569122982840e+00, -2.6129521186548567e+02, -2.6129521186548567e+02, 2.1417960019424431e+01, -6.2147980891597209e-03, -5.5598315167455068e+00
-1.0646500000000001e+00, -1.1484263636363638e+01, 1.0000000000000000e+00, 1.0646500000000001e+00, -1.1484263636363638e+01, 2.8801122102971883e-02, 1.0000000000000000e+00, 1.1000000000000001e+00, 2.1417960019424431e+01, 6.3215536308087283e-01, 2.2050115382505304e+01, 2.2050115382505304e+01, 5.5399749756142729e+00, -5.5399749756142729e+00, -2.4596949941616623e+02, -7.2598388487619205e+00, -2.5322933826492815e+02, -2.5322933826492815e+02, 2.1417960019424431e+01, -6.2147980891597209e-03, -5.5399749756142729e+00
-1.0646500000000001e+00, -1.1119683838383839e+01, 1.0000000000000000e+00, 1.0646500000000001e+00, -1.1119683838383839e+01, 2.8801122102971883e-02, 1.0000000000000000e+00, 1.1000000000000001e+00, 2.1417960019424431e+01, 6.2988957324904171e-01, 2.2047849592673472e+01, 2.2047849592673472e+01, 5.5201184344830390e+00, -5.5201184344830390e+00, -2.3816094387914507e+02, -7.0041729076238628e+00, -2.4516511678676892e+02, -2.4516511678676892e+02, 2.1417960019424431e+01, -6.2147980891597209e-03, -5.5201184344830390e+00
-1.0646500000000001e+00, -1.0755104040404042e+01, 1.0000000000000000e+00, 1.0646500000000001e+00, -1.0755104040404042e+01, 2.8801122102971883e-02, 1.0000000000000000e+00, 1.1000000000000001e+00, 2.1417960019424431e+01, 6.2762378341721059e-01, 2.2045583802841641e+01, 2.2045583802841641e+01, 5.5002618933518042e+00, -5.5002618933518042e+00, -2.3035238834212393e+02, -6.7501590888841134e+00, -2.3710254743100805e+02, -2.3710254743100805e+02, 2.1417960019424431e+01, -6.2147980891597209e-03, -5.5002618933518042e+00
-1.0646500000000001e+00, -1.0390524242424243e+01, 1.0000000000000000e+00, 1.0646500000000001e+00, -1.0390524242424243e+01, 2.8801122102971883e-02, 1.0000000000000000e+00, 1.1000000000000001e+00, 2.1417960019424431e+01, 6.2535799358537969e-01, 2.2043318013009809e+01, 2.2043318013009809e+01, 5.4804053522205702e+00, -5.4804053522205702e+00, -2.2254383280510277e+02, -6.4977973925426724e+00, -2.2904163019764545e+02, -2.2904163019764542e+02, 2.1417960019424431e+01, -6.2147980891597209e-03, -5.4804053522205702e+00
-1.0646500000000001e+00, -1.0025944444444445e+01, 1.0000000000000000e+00, 1.0646500000000001e+00, -1.0025944444444445e+01, 2.8801122102971883e-02, 1.0000000000000000e+00, 1.1000000000000001e+00, 2.1417960019424431e+01, 6.2309220375354857e-01, 2.2041052223177978e+01, 2.2041052223177978e+01, 5.4605488110893363e+00, -5.4605488110893363e+00, -2.1473527726808160e+02, -6.2470878185995362e+00, -2.2098236508668114e+02, -2.2098236508668111e+02, 2.1417960019424431e+01, -6.2147980891597209e-03, -5.4605488110893363e+00
