jointAngle,jointVelocity,activation,fiberAngle,fiberAngularVelocity,passiveTorqueAngleMultiplier,activeTorqueAngleMultiplier,torqueVelocityMultiplier,activeTorque,passiveTorque,fiberTorque,jointTorque,fiberStiffness,jointStiffness,fiberActivePower,fiberPassivePower,fiberPower,jointPower,DjointTorqueDactivation,DjointTorqueDjointAngularVelocity,DjointTorqueDjointAngle
-3.7927472680447032e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 3.7927472680447032e+00, 0.0000000000000000e+00, 1.4115933293984300e+01, 1.2065869387230244e-01, 1.0000122070312500e+00, 2.8875655289456996e+00, 3.3781390730861096e+02, 3.4070147283755665e+02, 3.4070147283755665e+02, 1.3697910719397979e+02, -1.3697910719397979e+02, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 2.8875655289456996e+00, -3.5575832154278482e+00, -1.3697910719397979e+02
-3.7029716208509780e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 3.7029716208509780e+00, 0.0000000000000000e+00, 1.3585993804128519e+01, 1.3747852110487876e-01, 1.0000122070312500e+00, 3.2900922906808407e+00, 3.2513171860900826e+02, 3.2842181089968909e+02, 3.2842181089968909e+02, 1.3658025812840796e+02, -1.3658025812840796e+02, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 3.2900922906808407e+00, -3.6151959757336423e+00, -1.3658025812840796e+02
-3.6131959736572523e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 3.6131959736572523e+00, 0.0000000000000000e+00, 1.3056054314272732e+01, 1.5584047432053705e-01, 1.0000122070312500e+00, 3.7295247215155634e+00, 3.1244952990940538e+02, 3.1617905463092097e+02, 3.1617905463092097e+02, 1.3615654895300847e+02, -1.3615654895300847e+02, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 3.7295247215155634e+00, -3.6866174459131957e+00, -1.3615654895300847e+02
-3.5234203264635271e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 3.5234203264635271e+00, 0.0000000000000000e+00, 1.2526114824416945e+01, 1.7584207171517960e-01, 1.0000122070312500e+00, 4.2081965959330434e+00, 2.9976734120980257e+02, 3.0397553780573560e+02, 3.0397553780573560e+02, 1.3570573278831628e+02, -1.3570573278831628e+02, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 4.2081965959330434e+00, -3.7727208363847242e+00, -1.3570573278831628e+02
-3.4336446792698014e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 3.4336446792698014e+00, 0.0000000000000000e+00, 1.1996175334561160e+01, 1.9758873701792862e-01, 1.0000122070312500e+00, 4.7286308811259179e+00, 2.8708515251019975e+02, 2.9181378339132567e+02, 2.9181378339132567e+02, 1.3522591565293692e+02, -1.3522591565293692e+02, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 4.7286308811259179e+00, -3.8744501463449414e+00, -1.3522591565293692e+02
-3.3438690320760762e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 3.3438690320760762e+00, 0.0000000000000000e+00, 1.1466235844705375e+01, 2.2119150026407852e-01, 1.0000122070312500e+00, 5.2934847126250339e+00, 2.7440296381059693e+02, 2.7969644852322199e+02, 2.7969644852322199e+02, 1.3471611708448816e+02, -1.3471611708448816e+02, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 5.2934847126250339e+00, -3.9927995757239905e+00, -1.3471611708448816e+02
-3.2540933848823510e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 3.2540933848823510e+00, 0.0000000000000000e+00, 1.0936296354849592e+01, 2.4676209717383912e-01, 1.0000122070312500e+00, 5.9054321141884420e+00, 2.6172077511099417e+02, 2.6762620722518261e+02, 2.6762620722518261e+02, 1.3417710659111339e+02, -1.3417710659111339e+02, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 5.9054321141884420e+00, -4.1287696433898766e+00, -1.3417710659111339e+02
-3.1643177376886253e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 3.1643177376886253e+00, 0.0000000000000000e+00, 1.0406356864993805e+01, 2.7440434657186724e-01, 1.0000122070312500e+00, 6.5669576449449840e+00, 2.4903858641139132e+02, 2.5560554405633630e+02, 2.5560554405633630e+02, 1.3361255168189490e+02, -1.3361255168189490e+02, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 6.5669576449449840e+00, -4.2832899776899893e+00, -1.3361255168189490e+02
-3.0745420904949001e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 3.0745420904949001e+00, 0.0000000000000000e+00, 9.8764173751380220e+00, 3.0420071879904170e-01, 1.0000122070312500e+00, 7.2800349588920605e+00, 2.3635639771178856e+02, 2.4363643267068062e+02, 2.4363643267068062e+02, 1.3303040760631899e+02, -1.3303040760631899e+02, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 7.2800349588920605e+00, -4.4570990455348660e+00, -1.3303040760631899e+02
-2.9847664433011745e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 2.9847664433011745e+00, 0.0000000000000000e+00, 9.3464778852822352e+00, 3.3619364602885798e-01, 1.0000122070312500e+00, 8.0456795293252252e+00, 2.2367420901218568e+02, 2.3171988854151090e+02, 2.3171988854151090e+02, 1.3244425699708370e+02, -1.3244425699708370e+02, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 8.0456795293252252e+00, -4.6505767987439706e+00, -1.3244425699708370e+02
-2.8949907961074492e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 2.8949907961074492e+00, 0.0000000000000000e+00, 8.8165383954264520e+00, 3.7036281739785387e-01, 1.0000122070312500e+00, 8.8634052831127850e+00, 2.1099202031258292e+02, 2.1985542559569572e+02, 2.1985542559569572e+02, 1.3187397842510018e+02, -1.3187397842510018e+02, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 8.8634052831127850e+00, -4.8635413670784793e+00, -1.3187397842510018e+02
