jointAngle,jointVelocity,activation,fiberAngle,fiberAngularVelocity,passiveTorqueAngleMultiplier,activeTorqueAngleMultiplier,torqueVelocityMultiplier,activeTorque,passiveTorque,fiberTorque,jointTorque,fiberStiffness,jointStiffness,fiberActivePower,fiberPassivePower,fiberPower,jointPower,DjointTorqueDactivation,DjointTorqueDjointAngularVelocity,DjointTorqueDjointAngle
-1.0646500000000001e+00, -1.8046700000000001e+01, 1.0000000000000000e+00, 1.0646500000000001e+00, -1.8046700000000001e+01, 2.8801122102971883e-02, 1.0000000000000000e+00, 1.1000000000000001e+00, 1.4575812111742362e+01, 4.5796335750574713e-01, 1.5033775469248109e+01, 1.5033775469248109e+01, 4.0134208906577840e+00, -4.0134208906577840e+00, -2.6304530843698092e+02, -8.2647273238989669e+00, -2.7131003576087988e+02, -2.7131003576087988e+02, 1.4575812111742362e+01, -4.2294284412639346e-03, -4.0134208906577840e+00
-1.0646500000000001e+00, -1.7682120202020204e+01, 1.0000000000000000e+00, 1.0646500000000001e+00, -1.7682120202020204e+01, 2.8801122102971883e-02, 1.0000000000000000e+00, 1.1000000000000001e+00, 1.4575812111742362e+01, 4.5642139333906107e-01, 1.5032233505081424e+01, 1.5032233505081424e+01, 3.9999076890057381e+00, -3.9999076890057381e+00, -2.5773126180189041e+02, -8.0704979397948211e+00, -2.6580175974168526e+02, -2.6580175974168520e+02, 1.4575812111742362e+01, -4.2294284412639346e-03, -3.9999076890057381e+00
-1.0646500000000001e+00, -1.7317540404040404e+01, 1.0000000000000000e+00, 1.0646500000000001e+00, -1.7317540404040404e+01, 2.8801122102971883e-02, 1.0000000000000000e+00, 1.1000000000000001e+00, 1.4575812111742362e+01, 4.5487942917237512e-01, 1.5030691540914738e+01, 1.5030691540914738e+01, 3.9863944873536918e+00, -3.9863944873536918e+00, -2.5241721516679985e+02, -7.8773928936594411e+00, -2.6029460806045927e+02, -2.6029460806045927e+02, 1.4575812111742362e+01, -4.2294284412639346e-03, -3.9863944873536918e+00
-1.0646500000000001e+00, -1.6952960606060607e+01, 1.0000000000000000e+00, 1.0646500000000001e+00, -1.6952960606060607e+01, 2.8801122102971883e-02, 1.0000000000000000e+00, 1.1000000000000001e+00, 1.4575812111742362e+01, 4.5333746500568906e-01, 1.5029149576748051e+01, 1.5029149576748051e+01, 3.9728812857016451e+00, -3.9728812857016451e+00, -2.4710316853170934e+02, -7.6854121854928259e+00, -2.5478858071720217e+02, -2.5478858071720214e+02, 1.4575812111742362e+01, -4.2294284412639346e-03, -3.9728812857016451e+00
-1.0646500000000001e+00, -1.6588380808080810e+01, 1.0000000000000000e+00, 1.0646500000000001e+00, -1.6588380808080810e+01, 2.8801122102971883e-02, 1.0000000000000000e+00, 1.1000000000000001e+00, 1.4575812111742362e+01, 4.5179550083900305e-01, 1.5027607612581365e+01, 1.5027607612581365e+01, 3.9593680840495984e+00, -3.9593680840495984e+00, -2.4178912189661884e+02, -7.4945558152949756e+00, -2.4928367771191381e+02, -2.4928367771191381e+02, 1.4575812111742362e+01, -4.2294284412639346e-03, -3.9593680840495984e+00
-1.0646500000000001e+00, -1.6223801010101010e+01, 1.0000000000000000e+00, 1.0646500000000001e+00, -1.6223801010101010e+01, 2.8801122102971883e-02, 1.0000000000000000e+00, 1.1000000000000001e+00, 1.4575812111742362e+01, 4.5025353667231699e-01, 1.5026065648414679e+01, 1.5026065648414679e+01, 3.9458548823975521e+00, -3.9458548823975521e+00, -2.3647507526152827e+02, -7.3048237830658884e+00, -2.4377989904459417e+02, -2.4377989904459415e+02, 1.4575812111742362e+01, -4.2294284412639346e-03, -3.9458548823975521e+00
-1.0646500000000001e+00, -1.5859221212121213e+01, 1.0000000000000000e+00, 1.0646500000000001e+00, -1.5859221212121213e+01, 2.8801122102971883e-02, 1.0000000000000000e+00, 1.1000000000000001e+00, 1.4575812111742362e+01, 4.4871157250563104e-01, 1.5024523684247994e+01, 1.5024523684247994e+01, 3.9323416807455063e+00, -3.9323416807455063e+00, -2.3116102862643777e+02, -7.1162160888055697e+00, -2.3827724471524334e+02, -2.3827724471524334e+02, 1.4575812111742362e+01, -4.2294284412639346e-03, -3.9323416807455063e+00
-1.0646500000000001e+00, -1.5494641414141416e+01, 1.0000000000000000e+00, 1.0646500000000001e+00, -1.5494641414141416e+01, 2.8801122102971883e-02, 1.0000000000000000e+00, 1.1000000000000001e+00, 1.4575812111742362e+01, 4.4716960833894503e-01, 1.5022981720081306e+01, 1.5022981720081306e+01, 3.9188284790934595e+00, -3.9188284790934595e+00, -2.2584698199134726e+02, -6.9287327325140140e+00, -2.3277571472386128e+02, -2.3277571472386126e+02, 1.4575812111742362e+01, -4.2294284412639346e-03, -3.9188284790934595e+00
-1.0646500000000001e+00, -1.5130061616161617e+01, 1.0000000000000000e+00, 1.0646500000000001e+00, -1.5130061616161617e+01, 2.8801122102971883e-02, 1.0000000000000000e+00, 1.1000000000000001e+00, 1.4575812111742362e+01, 4.4562764417225897e-01, 1.5021439755914621e+01, 1.5021439755914621e+01, 3.9053152774414133e+00, -3.9053152774414133e+00, -2.2053293535625673e+02, -6.7423737141912223e+00, -2.2727530907044795e+02, -2.2727530907044795e+02, 1.4575812111742362e+01, -4.2294284412639346e-03, -3.9053152774414133e+00
-1.0646500000000001e+00, -1.4765481818181819e+01, 1.0000000000000000e+00, 1.0646500000000001e+00, -1.4765481818181819e+01, 2.8801122102971883e-02, 1.0000000000000000e+00, 1.1000000000000001e+00, 1.4575812111742362e+01, 4.4408568000557291e-01, 1.5019897791747935e+01, 1.5019897791747935e+01, 3.8918020757893665e+00, -3.8918020757893665e+00, -2.1521888872116619e+02, -6.5571390338371964e+00, -2.2177602775500338e+02, -2.2177602775500338e+02, 1.4575812111742362e+01, -4.2294284412639346e-03, -3.8918020757893665e+00
