jointAngle,jointVelocity,activation,fiberAngle,fiberAngularVelocity,passiveTorqueAngleMultiplier,activeTorqueAngleMultiplier,torqueVelocityMultiplier,activeTorque,passiveTorque,fiberTorque,jointTorque,fiberStiffness,jointStiffness,fiberActivePower,fiberPassivePower,fiberPower,jointPower,DjointTorqueDactivation,DjointTorqueDjointAngularVelocity,DjointTorqueDjointAngle
-3.7927472680447032e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 3.7927472680447032e+00, 0.0000000000000000e+00, 1.4116908489265718e+01, 4.0955772688337874e-02, 1.0000000000000000e+00, 5.4269422508767473e-01, 1.8705945976199800e+02, 1.8760215398708567e+02, 1.8760215398708567e+02, 7.6806466766879169e+01, -7.6806466766879169e+01, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 5.4269422508767473e-01, -2.3799822118291494e+00, -7.6806466766879169e+01
-3.7029716208509780e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 3.7029716208509780e+00, 0.0000000000000000e+00, 1.3586932388689329e+01, 5.1323611629861696e-02, 1.0000000000000000e+00, 6.8007574546627203e-01, 1.8003688515680227e+02, 1.8071696090226854e+02, 1.8071696090226854e+02, 7.6577540064791435e+01, -7.6577540064791435e+01, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 6.8007574546627203e-01, -2.3798520181765537e+00, -7.6577540064791435e+01
-3.6131959736572523e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 3.6131959736572523e+00, 0.0000000000000000e+00, 1.3056956288112934e+01, 6.3296491939636795e-02, 1.0000000000000000e+00, 8.3872524894960065e-01, 1.7301431055160643e+02, 1.7385303580055603e+02, 1.7385303580055603e+02, 7.6332615809951037e+01, -7.6332615809951037e+01, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 8.3872524894960065e-01, -2.3917499907628716e+00, -7.6332615809951037e+01
-3.5234203264635271e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 3.5234203264635271e+00, 0.0000000000000000e+00, 1.2526980187536541e+01, 7.6984342477346063e-02, 1.0000000000000000e+00, 1.0200993740871116e+00, 1.6599173594641064e+02, 1.6701183532049777e+02, 1.6701183532049777e+02, 7.6071152289131277e+01, -7.6071152289131277e+01, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 1.0200993740871116e+00, -2.4164999355191381e+00, -7.6071152289131277e+01
-3.4336446792698014e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 3.4336446792698014e+00, 0.0000000000000000e+00, 1.1997004086960148e+01, 9.2502584500884541e-02, 1.0000000000000000e+00, 1.2257275377595127e+00, 1.5896916134121486e+02, 1.6019488887897438e+02, 1.6019488887897438e+02, 7.5792060744541018e+01, -7.5792060744541018e+01, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 1.2257275377595127e+00, -2.4549668183614517e+00, -7.5792060744541018e+01
-3.3438690320760762e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 3.3438690320760762e+00, 0.0000000000000000e+00, 1.1467027986383755e+01, 1.0997597515758403e-01, 1.0000000000000000e+00, 1.4572628642750822e+00, 1.5194658673601904e+02, 1.5340384960029414e+02, 1.5340384960029414e+02, 7.5493672610883323e+01, -7.5493672610883323e+01, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 1.4572628642750822e+00, -2.5080855682812273e+00, -7.5493672610883323e+01
-3.2540933848823510e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 3.2540933848823510e+00, 0.0000000000000000e+00, 1.0937051885807364e+01, 1.2954249064682224e-01, 1.0000000000000000e+00, 1.7165336401411120e+00, 1.4492401213082329e+02, 1.4664054577096439e+02, 1.4664054577096439e+02, 7.5173764878760053e+01, -7.5173764878760053e+01, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 1.7165336401411120e+00, -2.5768901777324662e+00, -7.5173764878760053e+01
-3.1643177376886253e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 3.1643177376886253e+00, 0.0000000000000000e+00, 1.0407075785230969e+01, 1.5135674300157531e-01, 1.0000000000000000e+00, 2.0055885889420337e+00, 1.3790143752562744e+02, 1.3990702611456948e+02, 1.3990702611456948e+02, 7.4829680776478540e+01, -7.4829680776478540e+01, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 2.0055885889420337e+00, -2.6625393079633812e+00, -7.4829680776478540e+01
-3.0745420904949001e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 3.0745420904949001e+00, 0.0000000000000000e+00, 9.8770996846545778e+00, 1.7559207448714956e-01, 1.0000000000000000e+00, 2.3267246236688739e+00, 1.3087886292043169e+02, 1.3320558754410055e+02, 1.3320558754410055e+02, 7.4458614232207665e+01, -7.4458614232207665e+01, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 2.3267246236688739e+00, -2.7663319844225227e+00, -7.4458614232207665e+01
-2.9847664433011745e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 2.9847664433011745e+00, 0.0000000000000000e+00, 9.3471235840781830e+00, 2.0243986384544035e-01, 1.0000000000000000e+00, 2.6824776539434945e+00, 1.2385628831523586e+02, 1.2653876596917935e+02, 1.2653876596917935e+02, 7.4058171735746896e+01, -7.4058171735746896e+01, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 2.6824776539434945e+00, -2.8897023977592076e+00, -7.4058171735746896e+01
-2.8949907961074492e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 2.8949907961074492e+00, 0.0000000000000000e+00, 8.8171474835017918e+00, 2.3210363618584720e-01, 1.0000000000000000e+00, 3.0755445377246491e+00, 1.1683371371004009e+02, 1.1990925824776474e+02, 1.1990925824776474e+02, 7.3627374998480761e+01, -7.3627374998480761e+01, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 3.0755445377246491e+00, -3.0341757633965853e+00, -7.3627374998480761e+01
-2.8052151489137236e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 2.8052151489137236e+00, 0.0000000000000000e+00, 8.2871713829253970e+00, 2.6478437262253951e-01, 1.0000000000000000e+00, 3.5085884231561035e+00, 1.0981113910484427e+02, 1.1331972752800037e+02, 1.1331972752800037e+02, 7.3168281730640828e+01, -7.3168281730640828e+01, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 3.5085884231561035e+00, -3.2012582320793843e+00, -7.3168281730640828e+01
-2.7154395017199984e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 2.7154395017199984e+00, 0.0000000000000000e+00, 7.7571952823490058e+00, 3.0065252307607332e-01, 1.0000000000000000e+00, 3.9838678975255721e+00, 1.0278856449964849e+02, 1.0677243239717406e+02, 1.0677243239717406e+02, 7.2688273390645591e+01, -7.2688273390645591e+01, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 3.9838678975255721e+00, -3.3922271540494195e+00, -7.2688273390645591e+01
-2.6256638545262732e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 2.6256638545262732e+00, 0.0000000000000000e+00, 7.2272191817726137e+00, 3.3980320000607217e-01, 1.0000000000000000e+00, 4.5026432711430173e+00, 9.5765989894452701e+01, 1.0026863316559572e+02, 1.0026863316559572e+02, 7.2202601534811109e+01, -7.2202601534811109e+01, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 4.5026432711430173e+00, -3.6077953012628372e+00, -7.2202601534811109e+01
-2.5358882073325475e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 2.5358882073325475e+00, 0.0000000000000000e+00, 6.6972430811962198e+00, 3.8219664809721277e-01, 1.0000000000000000e+00, 5.0643877567297153e+00, 8.8743415289256902e+01, 9.3807803045986617e+01, 9.3807803045986617e+01, 7.1735876112769958e+01, -7.1735876112769958e+01, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 5.0643877567297153e+00, -3.8476647477277903e+00, -7.1735876112769958e+01
