jointAngle,jointVelocity,activation,fiberAngle,fiberAngularVelocity,passiveTorqueAngleMultiplier,activeTorqueAngleMultiplier,torqueVelocityMultiplier,activeTorque,passiveTorque,fiberTorque,jointTorque,fiberStiffness,jointStiffness,fiberActivePower,fiberPassivePower,fiberPower,jointPower,DjointTorqueDactivation,DjointTorqueDjointAngularVelocity,DjointTorqueDjointAngle
-7.3303799999999997e-01, 2.0889050403651673e+01, 1.0000000000000000e+00, 7.3303799999999997e-01, -2.0889050403651673e+01, 0.0000000000000000e+00, 1.0000000000000000e+00, 1.1190500000000001e+00, 3.0660073458058417e+01, 0.0000000000000000e+00, 3.0660073458058417e+01, -3.0660073458058417e+01, 0.0000000000000000e+00, 0.0000000000000000e+00, -6.4045981984504510e+02, -0.0000000000000000e+00, -6.4045981984504510e+02, -6.4045981984504510e+02, -3.0660073458058417e+01, -0.0000000000000000e+00, 0.0000000000000000e+00
-7.3303799999999997e-01, 2.0467049385396084e+01, 1.0000000000000000e+00, 7.3303799999999997e-01, -2.0467049385396084e+01, 0.0000000000000000e+00, 1.0000000000000000e+00, 1.1190500000000001e+00, 3.0660073458058417e+01, 0.0000000000000000e+00, 3.0660073458058417e+01, -3.0660073458058417e+01, 0.0000000000000000e+00, 0.0000000000000000e+00, -6.2752123762595329e+02, -0.0000000000000000e+00, -6.2752123762595329e+02, -6.2752123762595329e+02, -3.0660073458058417e+01, -0.0000000000000000e+00, 0.0000000000000000e+00
-7.3303799999999997e-01, 2.0045048367140495e+01, 1.0000000000000000e+00, 7.3303799999999997e-01, -2.0045048367140495e+01, 0.0000000000000000e+00, 1.0000000000000000e+00, 1.1190500000000001e+00, 3.0660073458058417e+01, 0.0000000000000000e+00, 3.0660073458058417e+01, -3.0660073458058417e+01, 0.0000000000000000e+00, 0.0000000000000000e+00, -6.1458265540686148e+02, -0.0000000000000000e+00, -6.1458265540686148e+02, -6.1458265540686148e+02, -3.0660073458058417e+01, -0.0000000000000000e+00, 0.0000000000000000e+00
-7.3303799999999997e-01, 1.9623047348884906e+01, 1.0000000000000000e+00, 7.3303799999999997e-01, -1.9623047348884906e+01, 0.0000000000000000e+00, 1.0000000000000000e+00, 1.1190500000000001e+00, 3.0660073458058417e+01, 0.0000000000000000e+00, 3.0660073458058417e+01, -3.0660073458058417e+01, 0.0000000000000000e+00, 0.0000000000000000e+00, -6.0164407318776966e+02, -0.0000000000000000e+00, -6.0164407318776966e+02, -6.0164407318776966e+02, -3.0660073458058417e+01, -0.0000000000000000e+00, 0.0000000000000000e+00
-7.3303799999999997e-01, 1.9201046330629318e+01, 1.0000000000000000e+00, 7.3303799999999997e-01, -1.9201046330629318e+01, 0.0000000000000000e+00, 1.0000000000000000e+00, 1.1190500000000001e+00, 3.0660073458058417e+01, 0.0000000000000000e+00, 3.0660073458058417e+01, -3.0660073458058417e+01, 0.0000000000000000e+00, 0.0000000000000000e+00, -5.8870549096867785e+02, -0.0000000000000000e+00, -5.8870549096867785e+02, -5.8870549096867785e+02, -3.0660073458058417e+01, -0.0000000000000000e+00, 0.0000000000000000e+00
-7.3303799999999997e-01, 1.8779045312373725e+01, 1.0000000000000000e+00, 7.3303799999999997e-01, -1.8779045312373725e+01, 0.0000000000000000e+00, 1.0000000000000000e+00, 1.1190500000000001e+00, 3.0660073458058417e+01, 0.0000000000000000e+00, 3.0660073458058417e+01, -3.0660073458058417e+01, 0.0000000000000000e+00, 0.0000000000000000e+00, -5.7576690874958592e+02, -0.0000000000000000e+00, -5.7576690874958592e+02, -5.7576690874958592e+02, -3.0660073458058417e+01, -0.0000000000000000e+00, 0.0000000000000000e+00
-7.3303799999999997e-01, 1.8357044294118136e+01, 1.0000000000000000e+00, 7.3303799999999997e-01, -1.8357044294118136e+01, 0.0000000000000000e+00, 1.0000000000000000e+00, 1.1190500000000001e+00, 3.0660073458058417e+01, 0.0000000000000000e+00, 3.0660073458058417e+01, -3.0660073458058417e+01, 0.0000000000000000e+00, 0.0000000000000000e+00, -5.6282832653049422e+02, -0.0000000000000000e+00, -5.6282832653049422e+02, -5.6282832653049422e+02, -3.0660073458058417e+01, -0.0000000000000000e+00, 0.0000000000000000e+00
-7.3303799999999997e-01, 1.7935043275862547e+01, 1.0000000000000000e+00, 7.3303799999999997e-01, -1.7935043275862547e+01, 0.0000000000000000e+00, 1.0000000000000000e+00, 1.1190500000000001e+00, 3.0660073458058417e+01, 0.0000000000000000e+00, 3.0660073458058417e+01, -3.0660073458058417e+01, 0.0000000000000000e+00, 0.0000000000000000e+00, -5.4988974431140241e+02, -0.0000000000000000e+00, -5.4988974431140241e+02, -5.4988974431140241e+02, -3.0660073458058417e+01, -0.0000000000000000e+00, 0.0000000000000000e+00
-7.3303799999999997e-01, 1.7513042257606958e+01, 1.0000000000000000e+00, 7.3303799999999997e-01, -1.7513042257606958e+01, 0.0000000000000000e+00, 1.0000000000000000e+00, 1.1190500000000001e+00, 3.0660073458058417e+01, 0.0000000000000000e+00, 3.0660073458058417e+01, -3.0660073458058417e+01, 0.0000000000000000e+00, 0.0000000000000000e+00, -5.3695116209231060e+02, -0.0000000000000000e+00, -5.3695116209231060e+02, -5.3695116209231060e+02, -3.0660073458058417e+01, -0.0000000000000000e+00, 0.0000000000000000e+00
-7.3303799999999997e-01, 1.7091041239351370e+01, 1.0000000000000000e+00, 7.3303799999999997e-01, -1.7091041239351370e+01, 0.0000000000000000e+00, 1.0000000000000000e+00, 1.1190500000000001e+00, 3.0660073458058417e+01, 0.0000000000000000e+00, 3.0660073458058417e+01, -3.0660073458058417e+01, 0.0000000000000000e+00, 0.0000000000000000e+00, -5.2401257987321878e+02, -0.0000000000000000e+00, -5.2401257987321878e+02, -5.2401257987321878e+02, -3.0660073458058417e+01, -0.0000000000000000e+00, 0.0000000000000000e+00
