jointAngle,jointVelocity,activation,fiberAngle,fiberAngularVelocity,passiveTorqueAngleMultiplier,activeTorqueAngleMultiplier,torqueVelocityMultiplier,activeTorque,passiveTorque,fiberTorque,jointTorque,fiberStiffness,jointStiffness,fiberActivePower,fiberPassivePower,fiberPower,jointPower,DjointTorqueDactivation,DjointTorqueDjointAngularVelocity,DjointTorqueDjointAngle
-7.3303799999999997e-01, 1.8360859999999999e+01, 1.0000000000000000e+00, 7.3303799999999997e-01, -1.8360859999999999e+01, 0.0000000000000000e+00, 1.0000000000000000e+00, 1.1190500000000001e+00, 2.7709574488446279e+01, 0.0000000000000000e+00, 2.7709574488446279e+01, -2.7709574488446279e+01, 0.0000000000000000e+00, 0.0000000000000000e+00, -5.0877161784193373e+02, -0.0000000000000000e+00, -5.0877161784193373e+02, -5.0877161784193373e+02, -2.7709574488446279e+01, -0.0000000000000000e+00, 0.0000000000000000e+00
-7.3303799999999997e-01, 1.7989933535353533e+01, 1.0000000000000000e+00, 7.3303799999999997e-01, -1.7989933535353533e+01, 0.0000000000000000e+00, 1.0000000000000000e+00, 1.1190500000000001e+00, 2.7709574488446279e+01, 0.0000000000000000e+00, 2.7709574488446279e+01, -2.7709574488446279e+01, 0.0000000000000000e+00, 0.0000000000000000e+00, -4.9849340334007644e+02, -0.0000000000000000e+00, -4.9849340334007644e+02, -4.9849340334007644e+02, -2.7709574488446279e+01, -0.0000000000000000e+00, 0.0000000000000000e+00
-7.3303799999999997e-01, 1.7619007070707070e+01, 1.0000000000000000e+00, 7.3303799999999997e-01, -1.7619007070707070e+01, 0.0000000000000000e+00, 1.0000000000000000e+00, 1.1190500000000001e+00, 2.7709574488446279e+01, 0.0000000000000000e+00, 2.7709574488446279e+01, -2.7709574488446279e+01, 0.0000000000000000e+00, 0.0000000000000000e+00, -4.8821518883821926e+02, -0.0000000000000000e+00, -4.8821518883821926e+02, -4.8821518883821926e+02, -2.7709574488446279e+01, -0.0000000000000000e+00, 0.0000000000000000e+00
-7.3303799999999997e-01, 1.7248080606060604e+01, 1.0000000000000000e+00, 7.3303799999999997e-01, -1.7248080606060604e+01, 0.0000000000000000e+00, 1.0000000000000000e+00, 1.1190500000000001e+00, 2.7709574488446279e+01, 0.0000000000000000e+00, 2.7709574488446279e+01, -2.7709574488446279e+01, 0.0000000000000000e+00, 0.0000000000000000e+00, -4.7793697433636197e+02, -0.0000000000000000e+00, -4.7793697433636197e+02, -4.7793697433636197e+02, -2.7709574488446279e+01, -0.0000000000000000e+00, 0.0000000000000000e+00
-7.3303799999999997e-01, 1.6877154141414142e+01, 1.0000000000000000e+00, 7.3303799999999997e-01, -1.6877154141414142e+01, 0.0000000000000000e+00, 1.0000000000000000e+00, 1.1190500000000001e+00, 2.7709574488446279e+01, 0.0000000000000000e+00, 2.7709574488446279e+01, -2.7709574488446279e+01, 0.0000000000000000e+00, 0.0000000000000000e+00, -4.6765875983450474e+02, -0.0000000000000000e+00, -4.6765875983450474e+02, -4.6765875983450474e+02, -2.7709574488446279e+01, -0.0000000000000000e+00, 0.0000000000000000e+00
-7.3303799999999997e-01, 1.6506227676767676e+01, 1.0000000000000000e+00, 7.3303799999999997e-01, -1.6506227676767676e+01, 0.0000000000000000e+00, 1.0000000000000000e+00, 1.1190500000000001e+00, 2.7709574488446279e+01, 0.0000000000000000e+00, 2.7709574488446279e+01, -2.7709574488446279e+01, 0.0000000000000000e+00, 0.0000000000000000e+00, -4.5738054533264750e+02, -0.0000000000000000e+00, -4.5738054533264750e+02, -4.5738054533264750e+02, -2.7709574488446279e+01, -0.0000000000000000e+00, 0.0000000000000000e+00
-7.3303799999999997e-01, 1.6135301212121213e+01, 1.0000000000000000e+00, 7.3303799999999997e-01, -1.6135301212121213e+01, 0.0000000000000000e+00, 1.0000000000000000e+00, 1.1190500000000001e+00, 2.7709574488446279e+01, 0.0000000000000000e+00, 2.7709574488446279e+01, -2.7709574488446279e+01, 0.0000000000000000e+00, 0.0000000000000000e+00, -4.4710233083079027e+02, -0.0000000000000000e+00, -4.4710233083079027e+02, -4.4710233083079027e+02, -2.7709574488446279e+01, -0.0000000000000000e+00, 0.0000000000000000e+00
-7.3303799999999997e-01, 1.5764374747474747e+01, 1.0000000000000000e+00, 7.3303799999999997e-01, -1.5764374747474747e+01, 0.0000000000000000e+00, 1.0000000000000000e+00, 1.1190500000000001e+00, 2.7709574488446279e+01, 0.0000000000000000e+00, 2.7709574488446279e+01, -2.7709574488446279e+01, 0.0000000000000000e+00, 0.0000000000000000e+00, -4.3682411632893303e+02, -0.0000000000000000e+00, -4.3682411632893303e+02, -4.3682411632893303e+02, -2.7709574488446279e+01, -0.0000000000000000e+00, 0.0000000000000000e+00
-7.3303799999999997e-01, 1.5393448282828281e+01, 1.0000000000000000e+00, 7.3303799999999997e-01, -1.5393448282828281e+01, 0.0000000000000000e+00, 1.0000000000000000e+00, 1.1190500000000001e+00, 2.7709574488446279e+01, 0.0000000000000000e+00, 2.7709574488446279e+01, -2.7709574488446279e+01, 0.0000000000000000e+00, 0.0000000000000000e+00, -4.2654590182707574e+02, -0.0000000000000000e+00, -4.2654590182707574e+02, -4.2654590182707574e+02, -2.7709574488446279e+01, -0.0000000000000000e+00, 0.0000000000000000e+00
-7.3303799999999997e-01, 1.5022521818181817e+01, 1.0000000000000000e+00, 7.3303799999999997e-01, -1.5022521818181817e+01, 0.0000000000000000e+00, 1.0000000000000000e+00, 1.1190500000000001e+00, 2.7709574488446279e+01, 0.0000000000000000e+00, 2.7709574488446279e+01, -2.7709574488446279e+01, 0.0000000000000000e+00, 0.0000000000000000e+00, -4.1626768732521850e+02, -0.0000000000000000e+00, -4.1626768732521850e+02, -4.1626768732521850e+02, -2.7709574488446279e+01, -0.0000000000000000e+00, 0.0000000000000000e+00
