jointAngle,jointVelocity,activation,fiberAngle,fiberAngularVelocity,passiveTorqueAngleMultiplier,activeTorqueAngleMultiplier,torqueVelocityMultiplier,activeTorque,passiveTorque,fiberTorque,jointTorque,fiberStiffness,jointStiffness,fiberActivePower,fiberPassivePower,fiberPower,jointPower,DjointTorqueDactivation,DjointTorqueDjointAngularVelocity,DjointTorqueDjointAngle
9.4247800000000004e-01, 3.8432200000000002e+01, 1.0000000000000000e+00, 9.4247800000000004e-01, -3.8432200000000002e+01, 0.0000000000000000e+00, 1.0000000000000000e+00, 1.1329199999999999e+00, 1.3213427397398316e+01, 0.0000000000000000e+00, 1.3213427397398316e+01, -1.3213427397398316e+01, 0.0000000000000000e+00, -0.0000000000000000e+00, -5.0782108442229162e+02, -0.0000000000000000e+00, -5.0782108442229162e+02, -5.0782108442229162e+02, -1.3213427397398316e+01, -0.0000000000000000e+00, -0.0000000000000000e+00
9.4247800000000004e-01, 3.7655791919191920e+01, 1.0000000000000000e+00, 9.4247800000000004e-01, -3.7655791919191920e+01, 0.0000000000000000e+00, 1.0000000000000000e+00, 1.1329199999999999e+00, 1.3213427397398316e+01, 0.0000000000000000e+00, 1.3213427397398316e+01, -1.3213427397398316e+01, 0.0000000000000000e+00, -0.0000000000000000e+00, -4.9756207261578066e+02, -0.0000000000000000e+00, -4.9756207261578066e+02, -4.9756207261578066e+02, -1.3213427397398316e+01, -0.0000000000000000e+00, -0.0000000000000000e+00
9.4247800000000004e-01, 3.6879383838383838e+01, 1.0000000000000000e+00, 9.4247800000000004e-01, -3.6879383838383838e+01, 0.0000000000000000e+00, 1.0000000000000000e+00, 1.1329199999999999e+00, 1.3213427397398316e+01, 0.0000000000000000e+00, 1.3213427397398316e+01, -1.3213427397398316e+01, 0.0000000000000000e+00, -0.0000000000000000e+00, -4.8730306080926965e+02, -0.0000000000000000e+00, -4.8730306080926965e+02, -4.8730306080926965e+02, -1.3213427397398316e+01, -0.0000000000000000e+00, -0.0000000000000000e+00
9.4247800000000004e-01, 3.6102975757575763e+01, 1.0000000000000000e+00, 9.4247800000000004e-01, -3.6102975757575763e+01, 0.0000000000000000e+00, 1.0000000000000000e+00, 1.1329199999999999e+00, 1.3213427397398316e+01, 0.0000000000000000e+00, 1.3213427397398316e+01, -1.3213427397398316e+01, 0.0000000000000000e+00, -0.0000000000000000e+00, -4.7704404900275881e+02, -0.0000000000000000e+00, -4.7704404900275881e+02, -4.7704404900275881e+02, -1.3213427397398316e+01, -0.0000000000000000e+00, -0.0000000000000000e+00
9.4247800000000004e-01, 3.5326567676767681e+01, 1.0000000000000000e+00, 9.4247800000000004e-01, -3.5326567676767681e+01, 0.0000000000000000e+00, 1.0000000000000000e+00, 1.1329199999999999e+00, 1.3213427397398316e+01, 0.0000000000000000e+00, 1.3213427397398316e+01, -1.3213427397398316e+01, 0.0000000000000000e+00, -0.0000000000000000e+00, -4.6678503719624786e+02, -0.0000000000000000e+00, -4.6678503719624786e+02, -4.6678503719624786e+02, -1.3213427397398316e+01, -0.0000000000000000e+00, -0.0000000000000000e+00
9.4247800000000004e-01, 3.4550159595959599e+01, 1.0000000000000000e+00, 9.4247800000000004e-01, -3.4550159595959599e+01, 0.0000000000000000e+00, 1.0000000000000000e+00, 1.1329199999999999e+00, 1.3213427397398316e+01, 0.0000000000000000e+00, 1.3213427397398316e+01, -1.3213427397398316e+01, 0.0000000000000000e+00, -0.0000000000000000e+00, -4.5652602538973690e+02, -0.0000000000000000e+00, -4.5652602538973690e+02, -4.5652602538973690e+02, -1.3213427397398316e+01, -0.0000000000000000e+00, -0.0000000000000000e+00
9.4247800000000004e-01, 3.3773751515151517e+01, 1.0000000000000000e+00, 9.4247800000000004e-01, -3.3773751515151517e+01, 0.0000000000000000e+00, 1.0000000000000000e+00, 1.1329199999999999e+00, 1.3213427397398316e+01, 0.0000000000000000e+00, 1.3213427397398316e+01, -1.3213427397398316e+01, 0.0000000000000000e+00, -0.0000000000000000e+00, -4.4626701358322595e+02, -0.0000000000000000e+00, -4.4626701358322595e+02, -4.4626701358322595e+02, -1.3213427397398316e+01, -0.0000000000000000e+00, -0.0000000000000000e+00
9.4247800000000004e-01, 3.2997343434343435e+01, 1.0000000000000000e+00, 9.4247800000000004e-01, -3.2997343434343435e+01, 0.0000000000000000e+00, 1.0000000000000000e+00, 1.1329199999999999e+00, 1.3213427397398316e+01, 0.0000000000000000e+00, 1.3213427397398316e+01, -1.3213427397398316e+01, 0.0000000000000000e+00, -0.0000000000000000e+00, -4.3600800177671499e+02, -0.0000000000000000e+00, -4.3600800177671499e+02, -4.3600800177671499e+02, -1.3213427397398316e+01, -0.0000000000000000e+00, -0.0000000000000000e+00
9.4247800000000004e-01, 3.2220935353535353e+01, 1.0000000000000000e+00, 9.4247800000000004e-01, -3.2220935353535353e+01, 0.0000000000000000e+00, 1.0000000000000000e+00, 1.1329199999999999e+00, 1.3213427397398316e+01, 0.0000000000000000e+00, 1.3213427397398316e+01, -1.3213427397398316e+01, 0.0000000000000000e+00, -0.0000000000000000e+00, -4.2574898997020404e+02, -0.0000000000000000e+00, -4.2574898997020404e+02, -4.2574898997020404e+02, -1.3213427397398316e+01, -0.0000000000000000e+00, -0.0000000000000000e+00
9.4247800000000004e-01, 3.1444527272727274e+01, 1.0000000000000000e+00, 9.4247800000000004e-01, -3.1444527272727274e+01, 0.0000000000000000e+00, 1.0000000000000000e+00, 1.1329199999999999e+00, 1.3213427397398316e+01, 0.0000000000000000e+00, 1.3213427397398316e+01, -1.3213427397398316e+01, 0.0000000000000000e+00, -0.0000000000000000e+00, -4.1548997816369314e+02, -0.0000000000000000e+00, -4.1548997816369314e+02, -4.1548997816369314e+02, -1.3213427397398316e+01, -0.0000000000000000e+00, -0.0000000000000000e+00
