jointAngle,jointVelocity,activation,fiberAngle,fiberAngularVelocity,passiveTorqueAngleMultiplier,activeTorqueAngleMultiplier,torqueVelocityMultiplier,activeTorque,passiveTorque,fiberTorque,jointTorque,fiberStiffness,jointStiffness,fiberActivePower,fiberPassivePower,fiberPower,jointPower,DjointTorqueDactivation,DjointTorqueDjointAngularVelocity,DjointTorqueDjointAngle
-2.8396170686444933e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, -2.8396170686444933e+00, 0.0000000000000000e+00, 7.1235281614396570e+01, 3.8540365861505066e-04, 1.0000146484375001e+00, 3.1217410044023226e-03, 5.7699203720830474e+02, 5.7699515894930914e+02, 5.7699515894930914e+02, -2.1343579559214362e+02, -2.1343579559214362e+02, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 3.1217410044023226e-03, -3.4694402460993037e+00, -2.1343579559214362e+02
-2.7319369042548169e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, -2.7319369042548169e+00, 0.0000000000000000e+00, 6.8397489168757289e+01, 9.0534566989850310e-04, 1.0000146484375001e+00, 7.3332326710037025e-03, 5.5400646591166753e+02, 5.5401379914433858e+02, 5.5401379914433858e+02, -2.1340703373327977e+02, -2.1340703373327977e+02, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 7.3332326710037025e-03, -3.3322877645503133e+00, -2.1340703373327977e+02
-2.6242567398651402e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, -2.6242567398651402e+00, 0.0000000000000000e+00, 6.5559696723117995e+01, 1.8892938773166388e-03, 1.0000146484375001e+00, 1.5303140056790527e-02, 5.3102089461503010e+02, 5.3103619775508685e+02, 5.3103619775508685e+02, -2.1336580604234859e+02, -2.1336580604234859e+02, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 1.5303140056790527e-02, -3.1960534614783449e+00, -2.1336580604234859e+02
-2.5165765754754639e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, -2.5165765754754639e+00, 0.0000000000000000e+00, 6.2721904277478707e+01, 3.5096106198422997e-03, 1.0000146484375001e+00, 2.8427585303207357e-02, 5.0803532331839284e+02, 5.0806375090369608e+02, 5.0806375090369608e+02, -2.1331116389128010e+02, -2.1331116389128010e+02, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 2.8427585303207357e-02, -3.0610784086001397e+00, -2.1331116389128010e+02
-2.4088964110857871e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, -2.4088964110857871e+00, 0.0000000000000000e+00, 5.9884111831839412e+01, 5.9490990410184588e-03, 1.0000146484375001e+00, 4.8187260293103530e-02, 4.8504975202175547e+02, 4.8509793928204857e+02, 4.8509793928204857e+02, -2.1324249519942015e+02, -2.1324249519942015e+02, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 4.8187260293103530e-02, -2.9277243379643898e+00, -2.1324249519942015e+02
-2.3012162466961108e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, -2.3012162466961108e+00, 0.0000000000000000e+00, 5.7046319386200132e+01, 9.3962296188745565e-03, 1.0000146484375001e+00, 7.6108761897660998e-02, 4.6206418072511821e+02, 4.6214028948701588e+02, 4.6214028948701588e+02, -2.1315956135530072e+02, -2.1315956135530072e+02, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 7.6108761897660998e-02, -2.7963641961781072e+00, -2.1315956135530072e+02
-2.1935360823064345e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, -2.1935360823064345e+00, 0.0000000000000000e+00, 5.4208526940560844e+01, 1.4040226304245540e-02, 1.0000146484375001e+00, 1.1372479006181327e-01, 4.3907860942848089e+02, 4.3919233421854273e+02, 4.3919233421854273e+02, -2.1306247979431396e+02, -2.1306247979431396e+02, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 1.1372479006181327e-01, -2.6673724208251866e+00, -2.1306247979431396e+02
-2.0858559179167577e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, -2.0858559179167577e+00, 0.0000000000000000e+00, 5.1370734494921557e+01, 2.0066773029409162e-02, 1.0000146484375001e+00, 1.6253937084315701e-01, 4.1609303813184357e+02, 4.1625557750268672e+02, 4.1625557750268672e+02, -2.1295164851562058e+02, -2.1295164851562058e+02, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 1.6253937084315701e-01, -2.5411164444777952e+00, -2.1295164851562058e+02
-1.9781757535270812e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, -1.9781757535270812e+00, 0.0000000000000000e+00, 4.8532942049282269e+01, 2.7655068017867712e-02, 1.0000146484375001e+00, 2.2400399654000977e-01, 3.9310746683520625e+02, 3.9333147083174629e+02, 3.9333147083174629e+02, -2.1282762119196312e+02, -2.1282762119196312e+02, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 2.2400399654000977e-01, -2.4179508657454143e+00, -2.1282762119196312e+02
-1.8704955891374047e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, -1.8704955891374047e+00, 0.0000000000000000e+00, 4.5695149603642975e+01, 3.6976768657846569e-02, 1.0000146484375001e+00, 2.9950907924513015e-01, 3.7012189553856882e+02, 3.7042140461781395e+02, 3.7042140461781395e+02, -2.1269095121635647e+02, -2.1269095121635647e+02, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 2.9950907924513015e-01, -2.2982153613836629e+00, -2.1269095121635647e+02
-1.7628154247477281e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, -1.7628154247477281e+00, 0.0000000000000000e+00, 4.2857357158003687e+01, 4.8197092966790339e-02, 1.0000146484375001e+00, 3.9039287262631223e-01, 3.4713632424193150e+02, 3.4752671711455781e+02, 3.4752671711455781e+02, -2.1254202688702702e+02, -2.1254202688702702e+02, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 3.9039287262631223e-01, -2.1822368658794051e+00, -2.1254202688702702e+02
-1.6551352603580516e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, -1.6551352603580516e+00, 0.0000000000000000e+00, 4.0019564712364399e+01, 6.1478057120916238e-02, 1.0000146484375001e+00, 4.9796769567526283e-01, 3.2415075294529419e+02, 3.2464872064096943e+02, 3.2464872064096943e+02, -2.1238091780151876e+02, -2.1238091780151876e+02, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 4.9796769567526283e-01, -2.0703359778952670e+00, -2.1238091780151876e+02
-1.5474550959683753e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, -1.5474550959683753e+00, 0.0000000000000000e+00, 3.7181772266725119e+01, 7.6983595672889760e-02, 1.0000146484375001e+00, 6.2356140609040955e-01, 3.0116518164865693e+02, 3.0178874305474733e+02, 3.0178874305474733e+02, -2.1220724724325152e+02, -2.1220724724325152e+02, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 6.2356140609040955e-01, -1.9628370921896650e+00, -2.1220724724325152e+02
-1.4397749315786987e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, -1.4397749315786987e+00, 0.0000000000000000e+00, 3.4343979821085838e+01, 9.4886144814516307e-02, 1.0000146484375001e+00, 7.6857072421565464e-01, 2.7817961035201967e+02, 2.7894818107623530e+02, 2.7894818107623530e+02, -2.1202010143492328e+02, -2.1202010143492328e+02, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 7.6857072421565464e-01, -1.8600814266198034e+00, -2.1202010143492328e+02
-1.3320947671890222e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, -1.3320947671890222e+00, 0.0000000000000000e+00, 3.1506187375446547e+01, 1.1537411784431954e-01, 1.0000146484375001e+00, 9.3452178377243056e-01, 2.5519403905538232e+02, 2.5612856083915477e+02, 2.5612856083915477e+02, -2.1181798902539470e+02, -2.1181798902539470e+02, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 9.3452178377243056e-01, -1.7624418146455163e+00, -2.1181798902539470e+02
