jointAngle,jointVelocity,activation,fiberAngle,fiberAngularVelocity,passiveTorqueAngleMultiplier,activeTorqueAngleMultiplier,torqueVelocityMultiplier,activeTorque,passiveTorque,fiberTorque,jointTorque,fiberStiffness,jointStiffness,fiberActivePower,fiberPassivePower,fiberPower,jointPower,DjointTorqueDactivation,DjointTorqueDjointAngularVelocity,DjointTorqueDjointAngle
-2.8396170686444933e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, -2.8396170686444933e+00, 0.0000000000000000e+00, 7.1241081719586958e+01, 2.6236791919924347e-04, 1.0000000000000000e+00, 2.1249493643999812e-03, 5.7699009765077994e+02, 5.7699222260014437e+02, 5.7699222260014437e+02, -2.1343514225637978e+02, -2.1343514225637978e+02, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 2.1249493643999812e-03, -3.4694670974886765e+00, -2.1343514225637978e+02
-2.7319369042548169e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, -2.7319369042548169e+00, 0.0000000000000000e+00, 6.8403058215765270e+01, 7.8131592789650647e-04, 1.0000000000000000e+00, 6.3279717636456007e-03, 5.5400460362009244e+02, 5.5401093159185609e+02, 5.5401093159185609e+02, -2.1340640932887561e+02, -2.1340640932887561e+02, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 6.3279717636456007e-03, -3.3323020046959591e+00, -2.1340640932887561e+02
-2.6242567398651402e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, -2.6242567398651402e+00, 0.0000000000000000e+00, 6.5565034711943568e+01, 1.7639317825978843e-03, 1.0000000000000000e+00, 1.4286295869236396e-02, 5.3101910958940493e+02, 5.3103339588527422e+02, 5.3103339588527422e+02, -2.1336521035766759e+02, -2.1336521035766759e+02, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 1.4286295869236396e-02, -3.1960545296452607e+00, -2.1336521035766759e+02
-2.5165765754754639e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, -2.5165765754754639e+00, 0.0000000000000000e+00, 6.2727011208121873e+01, 3.3826054965455090e-03, 1.0000000000000000e+00, 2.7396129152671912e-02, 5.0803361555871737e+02, 5.0806101168787006e+02, 5.0806101168787006e+02, -2.1331059553780955e+02, -2.1331059553780955e+02, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 2.7396129152671912e-02, -3.0610658392647219e+00, -2.1331059553780955e+02
-2.4088964110857871e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, -2.4088964110857871e+00, 0.0000000000000000e+00, 5.9888987704300170e+01, 5.8201848788111115e-03, 1.0000000000000000e+00, 4.7138378032902870e-02, 4.8504812152802975e+02, 4.8509525990606267e+02, 4.8509525990606267e+02, -2.1324195158942373e+02, -2.1324195158942373e+02, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 4.7138378032902870e-02, -2.9276977968906497e+00, -2.1324195158942373e+02
-2.3012162466961108e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, -2.3012162466961108e+00, 0.0000000000000000e+00, 5.7050964200478482e+01, 9.2652008998141480e-03, 1.0000000000000000e+00, 7.5039977536838193e-02, 4.6206262749734231e+02, 4.6213766747487915e+02, 4.6213766747487915e+02, -2.1315903882990335e+02, -2.1315903882990335e+02, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 7.5039977536838193e-02, -2.7963235130694586e+00, -2.1315903882990335e+02
-2.1935360823064345e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, -2.1935360823064345e+00, 0.0000000000000000e+00, 5.4212940696656787e+01, 1.3906950650217713e-02, 1.0000000000000000e+00, 1.1263406759147422e-01, 4.3907713346665480e+02, 4.3918976753424630e+02, 4.3918976753424630e+02, -2.1306197389622184e+02, -2.1306197389622184e+02, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 1.1263406759147422e-01, -2.6673176145310422e+00, -2.1306197389622184e+02
-2.0858559179167577e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, -2.0858559179167577e+00, 0.0000000000000000e+00, 5.1374917192835085e+01, 1.9931199042351994e-02, 1.0000000000000000e+00, 1.6142518058624566e-01, 4.1609163943596718e+02, 4.1625306461655344e+02, 4.1625306461655344e+02, -2.1295115436607048e+02, -2.1295115436607048e+02, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 1.6142518058624566e-01, -2.5410477376790617e+00, -2.1295115436607048e+02
-1.9781757535270812e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, -1.9781757535270812e+00, 0.0000000000000000e+00, 4.8536893689013390e+01, 2.7517227474011363e-02, 1.0000000000000000e+00, 2.2286533814580314e-01, 3.9310614540527968e+02, 3.9332901074342550e+02, 3.9332901074342550e+02, -2.1282713390714966e+02, -2.1282713390714966e+02, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 2.2286533814580314e-01, -2.4178686877751900e+00, -2.1282713390714966e+02
-1.8704955891374047e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, -1.8704955891374047e+00, 0.0000000000000000e+00, 4.5698870185191687e+01, 3.6836773191279829e-02, 1.0000000000000000e+00, 2.9834546090184511e-01, 3.7012065137459206e+02, 3.7041899683549389e+02, 3.7041899683549389e+02, -2.1269046629309730e+02, -2.1269046629309730e+02, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 2.9834546090184511e-01, -2.2981203398945063e+00, -2.1269046629309730e+02
-1.7628154247477281e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, -1.7628154247477281e+00, 0.0000000000000000e+00, 4.2860846681369992e+01, 4.8055126267770060e-02, 1.0000000000000000e+00, 3.8920425306004136e-01, 3.4713515734390455e+02, 3.4752436159696458e+02, 3.4752436159696458e+02, -2.1254154050059054e+02, -2.1254154050059054e+02, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 3.8920425306004136e-01, -2.1821298098925390e+00, -2.1254154050059054e+02
-1.6551352603580516e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, -1.6551352603580516e+00, 0.0000000000000000e+00, 4.0022823177548297e+01, 6.1334364280194696e-02, 1.0000000000000000e+00, 4.9675440042691182e-01, 3.2414966331321699e+02, 3.2464641771364393e+02, 3.2464641771364393e+02, -2.1238042698199928e+02, -2.1238042698199928e+02, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 4.9675440042691182e-01, -2.0702178559612925e+00, -2.1238042698199928e+02
-1.5474550959683753e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, -1.5474550959683753e+00, 0.0000000000000000e+00, 3.7184799673726609e+01, 7.6838471570379457e-02, 1.0000000000000000e+00, 6.2232403192918517e-01, 3.0116416928252954e+02, 3.0178649331445871e+02, 3.0178649331445871e+02, -2.1220674991899224e+02, -2.1220674991899224e+02, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 6.2232403192918517e-01, -1.9627090098593742e+00, -2.1220674991899224e+02
-1.4397749315786987e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, -1.4397749315786987e+00, 0.0000000000000000e+00, 3.4346776169904913e+01, 9.4739923472437523e-02, 1.0000000000000000e+00, 7.6731004606236741e-01, 2.7817867525184198e+02, 2.7894598529790437e+02, 2.7894598529790437e+02, -2.1201959634247140e+02, -2.1201959634247140e+02, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 7.6731004606236741e-01, -1.8599446073684354e+00, -2.1201959634247140e+02
