jointAngle,jointVelocity,activation,fiberAngle,fiberAngularVelocity,passiveTorqueAngleMultiplier,activeTorqueAngleMultiplier,torqueVelocityMultiplier,activeTorque,passiveTorque,fiberTorque,jointTorque,fiberStiffness,jointStiffness,fiberActivePower,fiberPassivePower,fiberPower,jointPower,DjointTorqueDactivation,DjointTorqueDjointAngularVelocity,DjointTorqueDjointAngle
1.0297400000000001e+00, -3.3267470852694053e+01, 1.0000000000000000e+00, 1.0297400000000001e+00, -3.3267470852694053e+01, 0.0000000000000000e+00, 1.0000000000000000e+00, 1.1200000000000001e+00, 1.0082853396906524e+01, 0.0000000000000000e+00, 1.0082853396906524e+01, 1.0082853396906524e+01, 0.0000000000000000e+00, 0.0000000000000000e+00, -3.3543103149357501e+02, -0.0000000000000000e+00, -3.3543103149357501e+02, -3.3543103149357501e+02, 1.0082853396906524e+01, 0.0000000000000000e+00, 0.0000000000000000e+00
1.0297400000000001e+00, -3.2595400734457812e+01, 1.0000000000000000e+00, 1.0297400000000001e+00, -3.2595400734457812e+01, 0.0000000000000000e+00, 1.0000000000000000e+00, 1.1200000000000001e+00, 1.0082853396906524e+01, 0.0000000000000000e+00, 1.0082853396906524e+01, 1.0082853396906524e+01, 0.0000000000000000e+00, 0.0000000000000000e+00, -3.2865464701895735e+02, -0.0000000000000000e+00, -3.2865464701895735e+02, -3.2865464701895735e+02, 1.0082853396906524e+01, 0.0000000000000000e+00, 0.0000000000000000e+00
1.0297400000000001e+00, -3.1923330616221566e+01, 1.0000000000000000e+00, 1.0297400000000001e+00, -3.1923330616221566e+01, 0.0000000000000000e+00, 1.0000000000000000e+00, 1.1200000000000001e+00, 1.0082853396906524e+01, 0.0000000000000000e+00, 1.0082853396906524e+01, 1.0082853396906524e+01, 0.0000000000000000e+00, 0.0000000000000000e+00, -3.2187826254433963e+02, -0.0000000000000000e+00, -3.2187826254433963e+02, -3.2187826254433963e+02, 1.0082853396906524e+01, 0.0000000000000000e+00, 0.0000000000000000e+00
1.0297400000000001e+00, -3.1251260497985324e+01, 1.0000000000000000e+00, 1.0297400000000001e+00, -3.1251260497985324e+01, 0.0000000000000000e+00, 1.0000000000000000e+00, 1.1200000000000001e+00, 1.0082853396906524e+01, 0.0000000000000000e+00, 1.0082853396906524e+01, 1.0082853396906524e+01, 0.0000000000000000e+00, 0.0000000000000000e+00, -3.1510187806972198e+02, -0.0000000000000000e+00, -3.1510187806972198e+02, -3.1510187806972198e+02, 1.0082853396906524e+01, 0.0000000000000000e+00, 0.0000000000000000e+00
1.0297400000000001e+00, -3.0579190379749079e+01, 1.0000000000000000e+00, 1.0297400000000001e+00, -3.0579190379749079e+01, 0.0000000000000000e+00, 1.0000000000000000e+00, 1.1200000000000001e+00, 1.0082853396906524e+01, 0.0000000000000000e+00, 1.0082853396906524e+01, 1.0082853396906524e+01, 0.0000000000000000e+00, 0.0000000000000000e+00, -3.0832549359510432e+02, -0.0000000000000000e+00, -3.0832549359510432e+02, -3.0832549359510432e+02, 1.0082853396906524e+01, 0.0000000000000000e+00, 0.0000000000000000e+00
1.0297400000000001e+00, -2.9907120261512837e+01, 1.0000000000000000e+00, 1.0297400000000001e+00, -2.9907120261512837e+01, 0.0000000000000000e+00, 1.0000000000000000e+00, 1.1200000000000001e+00, 1.0082853396906524e+01, 0.0000000000000000e+00, 1.0082853396906524e+01, 1.0082853396906524e+01, 0.0000000000000000e+00, 0.0000000000000000e+00, -3.0154910912048661e+02, -0.0000000000000000e+00, -3.0154910912048661e+02, -3.0154910912048661e+02, 1.0082853396906524e+01, 0.0000000000000000e+00, 0.0000000000000000e+00
1.0297400000000001e+00, -2.9235050143276592e+01, 1.0000000000000000e+00, 1.0297400000000001e+00, -2.9235050143276592e+01, 0.0000000000000000e+00, 1.0000000000000000e+00, 1.1200000000000001e+00, 1.0082853396906524e+01, 0.0000000000000000e+00, 1.0082853396906524e+01, 1.0082853396906524e+01, 0.0000000000000000e+00, 0.0000000000000000e+00, -2.9477272464586895e+02, -0.0000000000000000e+00, -2.9477272464586895e+02, -2.9477272464586895e+02, 1.0082853396906524e+01, 0.0000000000000000e+00, 0.0000000000000000e+00
1.0297400000000001e+00, -2.8562980025040350e+01, 1.0000000000000000e+00, 1.0297400000000001e+00, -2.8562980025040350e+01, 0.0000000000000000e+00, 1.0000000000000000e+00, 1.1200000000000001e+00, 1.0082853396906524e+01, 0.0000000000000000e+00, 1.0082853396906524e+01, 1.0082853396906524e+01, 0.0000000000000000e+00, 0.0000000000000000e+00, -2.8799634017125129e+02, -0.0000000000000000e+00, -2.8799634017125129e+02, -2.8799634017125129e+02, 1.0082853396906524e+01, 0.0000000000000000e+00, 0.0000000000000000e+00
1.0297400000000001e+00, -2.7890909906804104e+01, 1.0000000000000000e+00, 1.0297400000000001e+00, -2.7890909906804104e+01, 0.0000000000000000e+00, 1.0000000000000000e+00, 1.1200000000000001e+00, 1.0082853396906524e+01, 0.0000000000000000e+00, 1.0082853396906524e+01, 1.0082853396906524e+01, 0.0000000000000000e+00, 0.0000000000000000e+00, -2.8121995569663358e+02, -0.0000000000000000e+00, -2.8121995569663358e+02, -2.8121995569663358e+02, 1.0082853396906524e+01, 0.0000000000000000e+00, 0.0000000000000000e+00
1.0297400000000001e+00, -2.7218839788567863e+01, 1.0000000000000000e+00, 1.0297400000000001e+00, -2.7218839788567863e+01, 0.0000000000000000e+00, 1.0000000000000000e+00, 1.1200000000000001e+00, 1.0082853396906524e+01, 0.0000000000000000e+00, 1.0082853396906524e+01, 1.0082853396906524e+01, 0.0000000000000000e+00, 0.0000000000000000e+00, -2.7444357122201592e+02, -0.0000000000000000e+00, -2.7444357122201592e+02, -2.7444357122201592e+02, 1.0082853396906524e+01, 0.0000000000000000e+00, 0.0000000000000000e+00
1.0297400000000001e+00, -2.6546769670331617e+01, 1.0000000000000000e+00, 1.0297400000000001e+00, -2.6546769670331617e+01, 0.0000000000000000e+00, 1.0000000000000000e+00, 1.1200000000000001e+00, 1.0082853396906524e+01, 0.0000000000000000e+00, 1.0082853396906524e+01, 1.0082853396906524e+01, 0.0000000000000000e+00, 0.0000000000000000e+00, -2.6766718674739820e+02, -0.0000000000000000e+00, -2.6766718674739820e+02, -2.6766718674739820e+02, 1.0082853396906524e+01, 0.0000000000000000e+00, 0.0000000000000000e+00
1.0297400000000001e+00, -2.5874699552095375e+01, 1.0000000000000000e+00, 1.0297400000000001e+00, -2.5874699552095375e+01, 0.0000000000000000e+00, 1.0000000000000000e+00, 1.1200000000000001e+00, 1.0082853396906524e+01, 0.0000000000000000e+00, 1.0082853396906524e+01, 1.0082853396906524e+01, 0.0000000000000000e+00, 0.0000000000000000e+00, -2.6089080227278055e+02, -0.0000000000000000e+00, -2.6089080227278055e+02, -2.6089080227278055e+02, 1.0082853396906524e+01, 0.0000000000000000e+00, 0.0000000000000000e+00
1.0297400000000001e+00, -2.5202629433859130e+01, 1.0000000000000000e+00, 1.0297400000000001e+00, -2.5202629433859130e+01, 0.0000000000000000e+00, 1.0000000000000000e+00, 1.1200000000000001e+00, 1.0082853396906524e+01, 0.0000000000000000e+00, 1.0082853396906524e+01, 1.0082853396906524e+01, 0.0000000000000000e+00, 0.0000000000000000e+00, -2.5411441779816286e+02, -0.0000000000000000e+00, -2.5411441779816286e+02, -2.5411441779816286e+02, 1.0082853396906524e+01, 0.0000000000000000e+00, 0.0000000000000000e+00
1.0297400000000001e+00, -2.4530559315622888e+01, 1.0000000000000000e+00, 1.0297400000000001e+00, -2.4530559315622888e+01, 0.0000000000000000e+00, 1.0000000000000000e+00, 1.1200000000000001e+00, 1.0082853396906524e+01, 0.0000000000000000e+00, 1.0082853396906524e+01, 1.0082853396906524e+01, 0.0000000000000000e+00, 0.0000000000000000e+00, -2.4733803332354520e+02, -0.0000000000000000e+00, -2.4733803332354520e+02, -2.4733803332354520e+02, 1.0082853396906524e+01, 0.0000000000000000e+00, 0.0000000000000000e+00
1.0297400000000001e+00, -2.3858489197386646e+01, 1.0000000000000000e+00, 1.0297400000000001e+00, -2.3858489197386646e+01, 0.0000000000000000e+00, 1.0000000000000000e+00, 1.1200000000000001e+00, 1.0082853396906524e+01, 0.0000000000000000e+00, 1.0082853396906524e+01, 1.0082853396906524e+01, 0.0000000000000000e+00, 0.0000000000000000e+00, -2.4056164884892755e+02, -0.0000000000000000e+00, -2.4056164884892755e+02, -2.4056164884892755e+02, 1.0082853396906524e+01, 0.0000000000000000e+00, 0.0000000000000000e+00
