jointAngle,jointVelocity,activation,fiberAngle,fiberAngularVelocity,passiveTorqueAngleMultiplier,activeTorqueAngleMultiplier,torqueVelocityMultiplier,activeTorque,passiveTorque,fiberTorque,jointTorque,fiberStiffness,jointStiffness,fiberActivePower,fiberPassivePower,fiberPower,jointPower,DjointTorqueDactivation,DjointTorqueDjointAngularVelocity,DjointTorqueDjointAngle
-2.8396170686444933e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, -2.8396170686444933e+00, 0.0000000000000000e+00, 7.1237941435738193e+01, 3.8494585329728204e-04, 1.0000146484375001e+00, 3.4655441609773431e-03, 6.4132296410175070e+02, 6.4132642964591173e+02, 6.4132642964591173e+02, -2.3723255769366074e+02, -2.3723255769366074e+02, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 3.4655441609773431e-03, -3.8564025403663722e+00, -2.3723255769366074e+02
-2.7319369042548169e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, -2.7319369042548169e+00, 0.0000000000000000e+00, 6.8400043031074972e+01, 9.0440276950940130e-04, 1.0000146484375001e+00, 8.1420483171812698e-03, 6.1577464841466667e+02, 6.1578279046298383e+02, 6.1578279046298383e+02, -2.3720060534479256e+02, -2.3720060534479256e+02, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 8.1420483171812698e-03, -3.7039516742355496e+00, -2.3720060534479256e+02
-2.6242567398651402e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, -2.6242567398651402e+00, 0.0000000000000000e+00, 6.5562144626411737e+01, 1.8876847413642347e-03, 1.0000146484375001e+00, 1.6994220816164429e-02, 5.9022633272758242e+02, 5.9024332694839859e+02, 5.9024332694839859e+02, -2.3715479785614750e+02, -2.3715479785614750e+02, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 1.6994220816164429e-02, -3.5525209589252147e+00, -2.3715479785614750e+02
-2.5165765754754639e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, -2.5165765754754639e+00, 0.0000000000000000e+00, 6.2724246221748515e+01, 3.5071571541469529e-03, 1.0000146484375001e+00, 3.1573811987000572e-02, 5.6467801704049839e+02, 5.6470959085248535e+02, 5.6470959085248535e+02, -2.3709408028408589e+02, -2.3709408028408589e+02, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 3.1573811987000572e-02, -3.4024895000638455e+00, -2.3709408028408589e+02
-2.4088964110857871e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, -2.4088964110857871e+00, 0.0000000000000000e+00, 5.9886347817085280e+01, 5.9456334049229360e-03, 1.0000146484375001e+00, 5.3526632260745548e-02, 5.3912970135341413e+02, 5.3918322798567488e+02, 5.3918322798567488e+02, -2.3701777172608169e+02, -2.3701777172608169e+02, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 5.3526632260745548e-02, -3.2542593829522311e+00, -2.3701777172608169e+02
-2.3012162466961108e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, -2.3012162466961108e+00, 0.0000000000000000e+00, 5.7048449412422059e+01, 9.3916011650759541e-03, 1.0000146484375001e+00, 8.4549575741817151e-02, 5.1358138566633011e+02, 5.1366593524207190e+02, 5.1366593524207190e+02, -2.3692560643375623e+02, -2.3692560643375623e+02, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 8.4549575741817151e-02, -3.1082451730612872e+00, -2.3692560643375623e+02
-2.1935360823064345e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, -2.1935360823064345e+00, 0.0000000000000000e+00, 5.4210551007758831e+01, 1.4034307335148341e-02, 1.0000146484375001e+00, 1.2634637163145207e-01, 4.8803306997924597e+02, 4.8815941635087739e+02, 4.8815941635087739e+02, -2.3681771452271104e+02, -2.3681771452271104e+02, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 1.2634637163145207e-01, -2.9648631057334436e+00, -2.3681771452271104e+02
-2.0858559179167577e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, -2.0858559179167577e+00, 0.0000000000000000e+00, 5.1372652603095602e+01, 2.0059462589021627e-02, 1.0000146484375001e+00, 1.8058891361544688e-01, 4.6248475429216182e+02, 4.6266534320577728e+02, 4.6266534320577728e+02, -2.3669453813066426e+02, -2.3669453813066426e+02, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 1.8058891361544688e-01, -2.8245216386275276e+00, -2.3669453813066426e+02
-1.9781757535270812e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, -1.9781757535270812e+00, 0.0000000000000000e+00, 4.8534754198432374e+01, 2.7646293259439816e-02, 1.0000146484375001e+00, 2.4889071893425019e-01, 4.3693643860507768e+02, 4.3718532932401195e+02, 4.3718532932401195e+02, -2.3655669262952881e+02, -2.3655669262952881e+02, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 2.4889071893425019e-01, -2.6876149675468448e+00, -2.3655669262952881e+02
-1.8704955891374047e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, -1.8704955891374047e+00, 0.0000000000000000e+00, 4.5696855793769139e+01, 3.6966483743738197e-02, 1.0000146484375001e+00, 3.3279740720064616e-01, 4.1138812291799348e+02, 4.1172092032519413e+02, 4.1172092032519413e+02, -2.3640479327687595e+02, -2.3640479327687595e+02, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 3.3279740720064616e-01, -2.5545207003344288e+00, -2.3640479327687595e+02
