jointAngle,jointVelocity,activation,fiberAngle,fiberAngularVelocity,passiveTorqueAngleMultiplier,activeTorqueAngleMultiplier,torqueVelocityMultiplier,activeTorque,passiveTorque,fiberTorque,jointTorque,fiberStiffness,jointStiffness,fiberActivePower,fiberPassivePower,fiberPower,jointPower,DjointTorqueDactivation,DjointTorqueDjointAngularVelocity,DjointTorqueDjointAngle
-2.8396170686444933e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, -2.8396170686444933e+00, 0.0000000000000000e+00, 7.1241081719586958e+01, 2.6236791919924347e-04, 1.0000000000000000e+00, 2.3618687185773912e-03, 6.4132109941127760e+02, 6.4132346127999620e+02, 6.4132346127999620e+02, -2.3723190509191377e+02, -2.3723190509191377e+02, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 2.3618687185773912e-03, -3.8562922698187911e+00, -2.3723190509191377e+02
-2.7319369042548169e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, -2.7319369042548169e+00, 0.0000000000000000e+00, 6.8403058215765270e+01, 7.8131592789650647e-04, 1.0000000000000000e+00, 7.0335033911811742e-03, 6.1577285800767243e+02, 6.1577989151106362e+02, 6.1577989151106362e+02, -2.3719996861201352e+02, -2.3719996861201352e+02, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 7.0335033911811742e-03, -3.7038340760493775e+00, -2.3719996861201352e+02
-2.6242567398651402e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, -2.6242567398651402e+00, 0.0000000000000000e+00, 6.5565034711943568e+01, 1.7639317825978843e-03, 1.0000000000000000e+00, 1.5879133819933926e-02, 5.9022461660406714e+02, 5.9024049573788704e+02, 5.9024049573788704e+02, -2.3715417619786757e+02, -2.3715417619786757e+02, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 1.5879133819933926e-02, -3.5523958090023586e+00, -2.3715417619786757e+02
-2.5165765754754639e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, -2.5165765754754639e+00, 0.0000000000000000e+00, 6.2727011208121873e+01, 3.3826054965455090e-03, 1.0000000000000000e+00, 3.0450636396257315e-02, 5.6467637520046185e+02, 5.6470682583685812e+02, 5.6470682583685812e+02, -2.3709347214686545e+02, -2.3709347214686545e+02, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 3.0450636396257315e-02, -3.4023566737114570e+00, -2.3709347214686545e+02
-2.4088964110857871e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, -2.4088964110857871e+00, 0.0000000000000000e+00, 5.9888987704300170e+01, 5.8201848788111115e-03, 1.0000000000000000e+00, 5.2394029893425884e-02, 5.3912813379685656e+02, 5.3918052782674999e+02, 5.3918052782674999e+02, -2.3701717480203067e+02, -2.3701717480203067e+02, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 5.2394029893425884e-02, -3.2541188791463287e+00, -2.3701717480203067e+02
-2.3012162466961108e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, -2.3012162466961108e+00, 0.0000000000000000e+00, 5.7050964200478482e+01, 9.2652008998141480e-03, 1.0000000000000000e+00, 8.3406493611697760e-02, 5.1357989239325138e+02, 5.1366329888686312e+02, 5.1366329888686312e+02, -2.3692501775755565e+02, -2.3692501775755565e+02, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 8.3406493611697760e-02, -3.1080971354845000e+00, -2.3692501775755565e+02
-2.1935360823064345e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, -2.1935360823064345e+00, 0.0000000000000000e+00, 5.4212940696656787e+01, 1.3906950650217713e-02, 1.0000000000000000e+00, 1.2519210356127808e-01, 4.8803165098964615e+02, 4.8815684309320744e+02, 4.8815684309320744e+02, -2.3681713065475034e+02, -2.3681713065475034e+02, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 1.2519210356127808e-01, -2.9647078381325178e+00, -2.3681713065475034e+02
-2.0858559179167577e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, -2.0858559179167577e+00, 0.0000000000000000e+00, 5.1374917192835085e+01, 1.9931199042351994e-02, 1.0000000000000000e+00, 1.7942313864265524e-01, 4.6248340958604086e+02, 4.6266283272468354e+02, 4.6266283272468354e+02, -2.3669395539887978e+02, -2.3669395539887978e+02, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 1.7942313864265524e-01, -2.8243596127904409e+00, -2.3669395539887978e+02
-1.9781757535270812e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, -1.9781757535270812e+00, 0.0000000000000000e+00, 4.8536893689013390e+01, 2.7517227474011363e-02, 1.0000000000000000e+00, 2.4771351235015324e-01, 4.3693516818243563e+02, 4.3718288169478581e+02, 4.3718288169478581e+02, -2.3655610738833607e+02, -2.3655610738833607e+02, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 2.4771351235015324e-01, -2.6874468234194868e+00, -2.3655610738833607e+02
-1.8704955891374047e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, -1.8704955891374047e+00, 0.0000000000000000e+00, 4.5698870185191687e+01, 3.6836773191279829e-02, 1.0000000000000000e+00, 3.3160922478385446e-01, 4.1138692677883029e+02, 4.1171853600361413e+02, 4.1171853600361413e+02, -2.3640420213926015e+02, -2.3640420213926015e+02, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 3.3160922478385446e-01, -2.5543472391663000e+00, -2.3640420213926015e+02
-1.7628154247477281e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, -1.7628154247477281e+00, 0.0000000000000000e+00, 4.2860846681369992e+01, 4.8055126267770060e-02, 1.0000000000000000e+00, 4.3259823779347212e-01, 3.8583868537522505e+02, 3.8627128361301851e+02, 3.8627128361301851e+02, -2.3623867199694055e+02, -2.3623867199694055e+02, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 4.3259823779347212e-01, -2.4254244473800517e+00, -2.3623867199694055e+02
-1.6551352603580516e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, -1.6551352603580516e+00, 0.0000000000000000e+00, 4.0022823177548297e+01, 6.1334364280194696e-02, 1.0000000000000000e+00, 5.5213959393111689e-01, 3.6029044397161982e+02, 3.6084258356555097e+02, 3.6084258356555097e+02, -2.3605959526877197e+02, -2.3605959526877197e+02, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 5.5213959393111689e-01, -2.3010349689043044e+00, -2.3605959526877197e+02
-1.5474550959683753e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, -1.5474550959683753e+00, 0.0000000000000000e+00, 3.7184799673726609e+01, 7.6838471570379457e-02, 1.0000000000000000e+00, 6.9170950068616754e-01, 3.3474220256801465e+02, 3.3543391206870081e+02, 3.3543391206870081e+02, -2.3586655423488997e+02, -2.3586655423488997e+02, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 6.9170950068616754e-01, -2.1815395188797004e+00, -2.3586655423488997e+02
-1.4397749315786987e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, -1.4397749315786987e+00, 0.0000000000000000e+00, 3.4346776169904913e+01, 9.4739923472437523e-02, 1.0000000000000000e+00, 8.5286060251916396e-01, 3.0919396116440942e+02, 3.1004682176692859e+02, 3.1004682176692859e+02, -2.3565853413551255e+02, -2.3565853413551255e+02, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 8.5286060251916396e-01, -2.0673174900196480e+00, -2.3565853413551255e+02
