lambdaTA, lambdaPE, lambdaTV, tiso, angleScalingTA, omegaMax, anglePE, idx
1.220703125000000000e-04,6.907994637491427360e-05,1.220703125000000000e-04,2.393139017259135315e+01,1.223654476290709114e+00,1.363711735018690518e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.220703125000000000e-04,6.864522700451734718e-05,1.220703125000000000e-04,1.686604971362856631e+01,1.000074432450271278e+00,-1.921610000000000085e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.220703125000000000e-04,9.999999871621576553e-01,1.220703125000000000e-04,1.501487737406896095e+01,1.000028365617505077e+00,1.176459999999999972e+01,1.069250038180832509e-07,2.000000000000000000e+00
1.220703125000000000e-04,9.999997306837520306e-01,1.220703125000000000e-04,3.527993694321043705e+01,1.215500024732981688e+00,1.169703520000357599e+01,1.507458030058302946e-05,3.000000000000000000e+00
1.220703125000000000e-04,5.609391704536150939e-05,1.220703125000000000e-04,1.517421410301774820e+01,1.078392860520080543e+00,-1.921610000000000085e+01,0.000000000000000000e+00,4.000000000000000000e+00
1.220703125000000000e-04,9.999999931362147931e-01,1.220703125000000000e-04,1.463007042307512151e+01,1.001523222242483246e+00,1.232645140586465438e+01,5.338168274974830725e-08,5.000000000000000000e+00
1.220703125000000000e-04,6.581226107110243930e-05,1.220703125000000000e-04,1.999490281193242680e+01,1.037818459433467178e+00,-1.010692230701296879e+01,0.000000000000000000e+00,6.000000000000000000e+00
1.220703125000000000e-04,4.407967668321407677e-05,1.220703125000000000e-04,9.002547675809395855e+00,1.000044000586803650e+00,1.663373542634702673e+01,0.000000000000000000e+00,7.000000000000000000e+00
1.220703125000000000e-04,6.998282146799054938e-05,1.220703125000000000e-04,5.997256365127065614e+00,1.083299516774776317e+00,-1.844712202484571151e+01,0.000000000000000000e+00,8.000000000000000000e+00
1.220703125000000000e-04,7.701030606273034527e-05,1.220703125000000000e-04,2.739830522144534442e+01,1.009686692558202203e+00,-1.044452520182583655e+01,0.000000000000000000e+00,9.000000000000000000e+00
1.220703125000000000e-04,8.141517577208307868e-05,1.220703125000000000e-04,8.099807063747121560e+00,1.000081282478892275e+00,1.663435183689131946e+01,0.000000000000000000e+00,1.000000000000000000e+01
1.220703125000000000e-04,6.519229931390377612e-05,1.220703125000000000e-04,5.082314083654705605e+00,1.000059734097190178e+00,-1.727568831762004820e+01,0.000000000000000000e+00,1.100000000000000000e+01
