jointAngle,jointVelocity,activation,fiberAngle,fiberAngularVelocity,passiveTorqueAngleMultiplier,activeTorqueAngleMultiplier,torqueVelocityMultiplier,activeTorque,passiveTorque,fiberTorque,jointTorque,fiberStiffness,jointStiffness,fiberActivePower,fiberPassivePower,fiberPower,jointPower,DjointTorqueDactivation,DjointTorqueDjointAngularVelocity,DjointTorqueDjointAngle
-1.0687341770126910e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 1.0687341770126910e+00, 0.0000000000000000e+00, 2.7235805058632159e+00, 6.0654702014476070e-01, 1.0000000000000000e+00, 7.7371744436685830e+01, 3.4742265290841772e+02, 4.2479439734510356e+02, 4.2479439734510356e+02, 6.5888117803209980e+02, -6.5888117803209980e+02, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 7.7371744436685830e+01, -1.2394000932285095e+01, -6.5888117803209980e+02
-1.0653307394509770e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 1.0653307394509770e+00, 0.0000000000000000e+00, 2.7028768361231172e+00, 6.0967115401503391e-01, 1.0000000000000000e+00, 7.7770262077311742e+01, 3.4478167209270100e+02, 4.2255193417001271e+02, 4.2255193417001271e+02, 6.5888313337000682e+02, -6.5888313337000682e+02, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 7.7770262077311742e+01, -1.2420179420785034e+01, -6.5888313337000682e+02
-1.0619273018892630e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 1.0619273018892630e+00, 0.0000000000000000e+00, 2.6821731663830182e+00, 6.1279518342841788e-01, 1.0000000000000000e+00, 7.8168766393312424e+01, 3.4214069127698423e+02, 4.2030945767029664e+02, 4.2030945767029664e+02, 6.5888902447314945e+02, -6.5888902447314945e+02, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 7.8168766393312424e+01, -1.2446356283417376e+01, -6.5888902447314945e+02
-1.0585238643275490e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 1.0585238643275490e+00, 0.0000000000000000e+00, 2.6614694966429200e+00, 6.1591900206500516e-01, 1.0000000000000000e+00, 7.8567243822414127e+01, 3.3949971046126751e+02, 4.1806695428368164e+02, 4.1806695428368164e+02, 6.5889894963987001e+02, -6.5889894963987001e+02, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 7.8567243822414127e+01, -1.2472529865316725e+01, -6.5889894963987001e+02
-1.0551204267658350e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 1.0551204267658350e+00, 0.0000000000000000e+00, 2.6407658269028209e+00, 6.1904250097631608e-01, 1.0000000000000000e+00, 7.8965680467039860e+01, 3.3685872964555074e+02, 4.1582441011259061e+02, 4.1582441011259061e+02, 6.5891300759476587e+02, -6.5891300759476587e+02, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 7.8965680467039860e+01, -1.2498698470704035e+01, -6.5891300759476587e+02
-1.0517169892041209e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 1.0517169892041209e+00, 0.0000000000000000e+00, 2.6200621571627218e+00, 6.2216556857515193e-01, 1.0000000000000000e+00, 7.9364062093014965e+01, 3.3421774882983397e+02, 4.1358181092284894e+02, 4.1358181092284894e+02, 6.5893129739606786e+02, -6.5893129739606786e+02, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 7.9364062093014965e+01, -1.2524860362728715e+01, -6.5893129739606786e+02
-1.0483135516424069e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 1.0483135516424069e+00, 0.0000000000000000e+00, 2.5993584874226237e+00, 6.2528809062797386e-01, 1.0000000000000000e+00, 7.9762374128594985e+01, 3.3157676801411731e+02, 4.1133914214271226e+02, 4.1133914214271226e+02, 6.5895391833903375e+02, -6.5895391833903375e+02, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 7.9762374128594985e+01, -1.2551013763349987e+01, -6.5895391833903375e+02
-1.0449101140806929e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 1.0449101140806929e+00, 0.0000000000000000e+00, 2.5786548176825246e+00, 6.2840995024991120e-01, 1.0000000000000000e+00, 8.0160601663828928e+01, 3.2893578719840053e+02, 4.0909638886222945e+02, 4.0909638886222945e+02, 6.5898096985542304e+02, -6.5898096985542304e+02, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 8.0160601663828928e+01, -1.2577156853259185e+01, -6.5898096985542304e+02
-1.0415066765189789e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 1.0415066765189789e+00, 0.0000000000000000e+00, 2.5579511479424260e+00, 6.3153102790250171e-01, 1.0000000000000000e+00, 8.0558729450271031e+01, 3.2629480638268382e+02, 4.0685353583295483e+02, 4.0685353583295483e+02, 6.5901255140928822e+02, -6.5901255140928822e+02, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 8.0558729450271031e+01, -1.2603287771844585e+01, -6.5901255140928822e+02
-1.0381032389572651e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 1.0381032389572651e+00, 0.0000000000000000e+00, 2.5372474782023282e+00, 6.3465120139426012e-01, 1.0000000000000000e+00, 8.0956741901053221e+01, 3.2365382556696721e+02, 4.0461056746802046e+02, 4.0461056746802046e+02, 6.5904876238910606e+02, -6.5904876238910606e+02, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 8.0956741901053221e+01, -1.2629404617200272e+01, -6.5904876238910606e+02
