jointAngle,jointVelocity,activation,fiberAngle,fiberAngularVelocity,passiveTorqueAngleMultiplier,activeTorqueAngleMultiplier,torqueVelocityMultiplier,activeTorque,passiveTorque,fiberTorque,jointTorque,fiberStiffness,jointStiffness,fiberActivePower,fiberPassivePower,fiberPower,jointPower,DjointTorqueDactivation,DjointTorqueDjointAngularVelocity,DjointTorqueDjointAngle
-3.2016248376906145e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 3.2016248376906145e+00, 0.0000000000000000e+00, 6.1275239278382454e+00, 4.9169314743997039e-01, 1.0000000000000000e+00, 3.4355976952443562e+01, 4.2814725390505612e+02, 4.6250323085749966e+02, 4.6250323085749966e+02, 5.8259905362669519e+02, -5.8259905362669519e+02, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 3.4355976952443562e+01, -1.0275802371301268e+01, -5.8259905362669519e+02
-3.1946142090096461e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 3.1946142090096461e+00, 0.0000000000000000e+00, 6.0659320488251733e+00, 4.9483371646708474e-01, 1.0000000000000000e+00, 3.4575417303961316e+01, 4.2384365686115154e+02, 4.5841907416511287e+02, 4.5841907416511287e+02, 5.8253406366364743e+02, -5.8253406366364743e+02, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 3.4575417303961316e+01, -1.0303288659604659e+01, -5.8253406366364743e+02
-3.1876035803286777e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 3.1876035803286777e+00, 0.0000000000000000e+00, 6.0043401698121013e+00, 4.9798070882852880e-01, 1.0000000000000000e+00, 3.4795306471834024e+01, 4.1954005981724697e+02, 4.5433536628908098e+02, 4.5433536628908098e+02, 5.8247101628912242e+02, -5.8247101628912242e+02, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 3.4795306471834024e+01, -1.0330878872570679e+01, -5.8247101628912242e+02
-3.1805929516477094e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 3.1805929516477094e+00, 0.0000000000000000e+00, 5.9427482907990292e+00, 5.0113392918938160e-01, 1.0000000000000000e+00, 3.5015630807463822e+01, 4.1523646277334240e+02, 4.5025209358080622e+02, 4.5025209358080622e+02, 5.8240991978419652e+02, -5.8240991978419652e+02, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 3.5015630807463822e+01, -1.0358569849828923e+01, -5.8240991978419652e+02
-3.1735823229667410e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 3.1735823229667410e+00, 0.0000000000000000e+00, 5.8811564117859572e+00, 5.0429318145287894e-01, 1.0000000000000000e+00, 3.5236376609020716e+01, 4.1093286572943782e+02, 4.4616924233845856e+02, 4.4616924233845856e+02, 5.8235078105349021e+02, -5.8235078105349021e+02, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 3.5236376609020716e+01, -1.0386358418682928e+01, -5.8235078105349021e+02
-3.1665716942857727e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 3.1665716942857727e+00, 0.0000000000000000e+00, 5.8195645327728851e+00, 5.0745826889860202e-01, 1.0000000000000000e+00, 3.5457530131098238e+01, 4.0662926868553325e+02, 4.4208679881663147e+02, 4.4208679881663147e+02, 5.8229360562391457e+02, -5.8229360562391457e+02, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 3.5457530131098238e+01, -1.0414241396345988e+01, -5.8229360562391457e+02
-3.1595610656048043e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 3.1595610656048043e+00, 0.0000000000000000e+00, 5.7579726537598130e+00, 5.1062899432065911e-01, 1.0000000000000000e+00, 3.5679077594368550e+01, 4.0232567164162867e+02, 4.3800474923599722e+02, 4.3800474923599722e+02, 5.8223839764618981e+02, -5.8223839764618981e+02, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 3.5679077594368550e+01, -1.0442215592176805e+01, -5.8223839764618981e+02
-3.1525504369238360e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 3.1525504369238360e+00, 0.0000000000000000e+00, 5.6963807747467410e+00, 5.1380516016557265e-01, 1.0000000000000000e+00, 3.5901005195217024e+01, 3.9802207459772410e+02, 4.3392307979294111e+02, 4.3392307979294111e+02, 5.8218515989910588e+02, -5.8218515989910588e+02, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 3.5901005195217024e+01, -1.0470277809910407e+01, -5.8218515989910588e+02
-3.1455398082428676e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 3.1455398082428676e+00, 0.0000000000000000e+00, 5.6347888957336689e+00, 5.1698656866960235e-01, 1.0000000000000000e+00, 3.6123299115337389e+01, 3.9371847755381947e+02, 4.2984177666915684e+02, 4.2984177666915684e+02, 5.8213389379648640e+02, -5.8213389379648640e+02, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 3.6123299115337389e+01, -1.0498424849879934e+01, -5.8213389379648640e+02
-3.1385291795618993e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 3.1385291795618993e+00, 0.0000000000000000e+00, 5.5731970167205969e+00, 5.2017302199523918e-01, 1.0000000000000000e+00, 3.6345945531268946e+01, 3.8941488050991489e+02, 4.2576082604118386e+02, 4.2576082604118386e+02, 5.8208459939680642e+02, -5.8208459939680642e+02, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 3.6345945531268946e+01, -1.0526653511225005e+01, -5.8208459939680642e+02
