jointAngle,jointVelocity,activation,fiberAngle,fiberAngularVelocity,passiveTorqueAngleMultiplier,activeTorqueAngleMultiplier,torqueVelocityMultiplier,activeTorque,passiveTorque,fiberTorque,jointTorque,fiberStiffness,jointStiffness,fiberActivePower,fiberPassivePower,fiberPower,jointPower,DjointTorqueDactivation,DjointTorqueDjointAngularVelocity,DjointTorqueDjointAngle
-2.0151894536089405e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 2.0151894536089405e+00, 0.0000000000000000e+00, 3.6233816978531435e+00, 6.6870804954085272e-01, 1.0000000000000000e+00, 1.1752276487460671e+02, 6.3679483987089861e+02, 7.5431760474550538e+02, 7.5431760474550538e+02, 9.3763902718898066e+02, -9.3763902718898066e+02, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 1.1752276487460671e+02, -7.3522511085655623e+01, -9.3763902718898066e+02
-2.0098514421541784e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 2.0098514421541784e+00, 0.0000000000000000e+00, 3.5918696053864387e+00, 6.7173956357092313e-01, 1.0000000000000000e+00, 1.1805554133933546e+02, 6.3125671566824508e+02, 7.4931225700758057e+02, 7.4931225700758057e+02, 9.3772220272456275e+02, -9.3772220272456275e+02, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 1.1805554133933546e+02, -7.3762448799995894e+01, -9.3772220272456275e+02
-2.0045134306994163e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 2.0045134306994163e+00, 0.0000000000000000e+00, 3.5603575129197340e+00, 6.7476847835010789e-01, 1.0000000000000000e+00, 1.1858786099611807e+02, 6.2571859146559166e+02, 7.4430645246170968e+02, 7.4430645246170968e+02, 9.3781019165601856e+02, -9.3781019165601856e+02, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 1.1858786099611807e+02, -7.4002128165347983e+01, -9.3781019165601856e+02
-1.9991754192446545e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 1.9991754192446545e+00, 0.0000000000000000e+00, 3.5288454204530306e+00, 6.7779464662812638e-01, 1.0000000000000000e+00, 1.1911969796630670e+02, 6.2018046726293835e+02, 7.3930016522924507e+02, 7.3930016522924507e+02, 9.3790306293394656e+02, -9.3790306293394656e+02, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 1.1911969796630670e+02, -7.4241534545971589e+01, -9.3790306293394656e+02
-1.9938374077898924e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 1.9938374077898924e+00, 0.0000000000000000e+00, 3.4973333279863259e+00, 6.8081791908331701e-01, 1.0000000000000000e+00, 1.1965102600721664e+02, 6.1464234306028482e+02, 7.3429336906750143e+02, 7.3429336906750143e+02, 9.3800088398576429e+02, -9.3800088398576429e+02, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 1.1965102600721664e+02, -7.4480653100244282e+01, -9.3800088398576429e+02
-1.9884993963351303e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 1.9884993963351303e+00, 0.0000000000000000e+00, 3.4658212355196212e+00, 6.8383814437037116e-01, 1.0000000000000000e+00, 1.2018181852051525e+02, 6.0910421885763139e+02, 7.2928603737814660e+02, 7.2928603737814660e+02, 9.3810372061920918e+02, -9.3810372061920918e+02, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 1.2018181852051525e+02, -7.4719468785406050e+01, -9.3810372061920918e+02
-1.9831613848803682e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 1.9831613848803682e+00, 0.0000000000000000e+00, 3.4343091430529165e+00, 6.8685516917096956e-01, 1.0000000000000000e+00, 1.2071204856112122e+02, 6.0356609465497786e+02, 7.2427814321609912e+02, 7.2427814321609912e+02, 9.3821163692776770e+02, -9.3821163692776770e+02, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 1.2071204856112122e+02, -7.4957966362592131e+01, -9.3821163692776770e+02
-1.9778233734256061e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 1.9778233734256061e+00, 0.0000000000000000e+00, 3.4027970505862117e+00, 6.8986883824725775e-01, 1.0000000000000000e+00, 1.2124168884660257e+02, 5.9802797045232444e+02, 7.1926965929892697e+02, 7.1926965929892697e+02, 9.3832469519841925e+02, -9.3832469519841925e+02, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 1.2124168884660257e+02, -7.5196130402148242e+01, -9.3832469519841925e+02
-1.9724853619708442e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 1.9724853619708442e+00, 0.0000000000000000e+00, 3.3712849581195083e+00, 6.9287899449808243e-01, 1.0000000000000000e+00, 1.2177071176706001e+02, 5.9248984624967113e+02, 7.1426055801673112e+02, 7.1426055801673112e+02, 9.3844295582204757e+02, -9.3844295582204757e+02, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 1.2177071176706001e+02, -7.5433945289220034e+01, -9.3844295582204757e+02
-1.9671473505160821e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 1.9671473505160821e+00, 0.0000000000000000e+00, 3.3397728656528036e+00, 6.9588547901790698e-01, 1.0000000000000000e+00, 1.2229908939548109e+02, 5.8695172204701771e+02, 7.0925081144249884e+02, 7.0925081144249884e+02, 9.3856647720699459e+02, -9.3856647720699459e+02, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 1.2229908939548109e+02, -7.5671395229608905e+01, -9.3856647720699459e+02
-1.9618093390613200e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 1.9618093390613200e+00, 0.0000000000000000e+00, 3.3082607731860989e+00, 6.9888813115829374e-01, 1.0000000000000000e+00, 1.2282679349854550e+02, 5.8141359784436418e+02, 7.0424039134290967e+02, 7.0424039134290967e+02, 9.3869531569609546e+02, -9.3869531569609546e+02, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 1.2282679349854550e+02, -7.5908464255883075e+01, -9.3869531569609546e+02
-1.9564713276065580e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 1.9564713276065580e+00, 0.0000000000000000e+00, 3.2767486807193946e+00, 7.0188678859185294e-01, 1.0000000000000000e+00, 1.2335379554786380e+02, 5.7587547364171076e+02, 6.9922926918957455e+02, 6.9922926918957455e+02, 9.3882952548764626e+02, -9.3882952548764626e+02, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 1.2335379554786380e+02, -7.6145136233733552e+01, -9.3882952548764626e+02
-1.9511333161517959e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 1.9511333161517959e+00, 0.0000000000000000e+00, 3.2452365882526899e+00, 7.0488128737852684e-01, 1.0000000000000000e+00, 1.2388006673162658e+02, 5.7033734943905722e+02, 6.9421741617068380e+02, 6.9421741617068380e+02, 9.3896915856066914e+02, -9.3896915856066914e+02, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 1.2388006673162658e+02, -7.6381394868562424e+01, -9.3896915856066914e+02
-1.9457953046970340e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 1.9457953046970340e+00, 0.0000000000000000e+00, 3.2137244957859865e+00, 7.0787146203407048e-01, 1.0000000000000000e+00, 1.2440557796663975e+02, 5.6479922523640403e+02, 6.8920480320304375e+02, 6.8920480320304375e+02, 9.3911426460489758e+02, -9.3911426460489758e+02, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 1.2440557796663975e+02, -7.6617223712289402e+01, -9.3911426460489758e+02
-1.9404572932422719e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 1.9404572932422719e+00, 0.0000000000000000e+00, 3.1822124033192818e+00, 7.1085714560058599e-01, 1.0000000000000000e+00, 1.2493029991072059e+02, 5.5926110103375049e+02, 6.8419140094447107e+02, 6.8419140094447107e+02, 9.3926489095586442e+02, -9.3926489095586442e+02, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 1.2493029991072059e+02, -7.6852606170362506e+01, -9.3926489095586442e+02
