jointAngle,jointVelocity,activation,fiberAngle,fiberAngularVelocity,passiveTorqueAngleMultiplier,activeTorqueAngleMultiplier,torqueVelocityMultiplier,activeTorque,passiveTorque,fiberTorque,jointTorque,fiberStiffness,jointStiffness,fiberActivePower,fiberPassivePower,fiberPower,jointPower,DjointTorqueDactivation,DjointTorqueDjointAngularVelocity,DjointTorqueDjointAngle
-7.0754981372889869e-01, 0.0000000000000000e+00, 1.0000000000000000e+00, -7.0754981372889869e-01, 0.0000000000000000e+00, 1.5048216343917389e+01, 2.9762397103427712e-01, 1.0000000000000000e+00, 2.9392718369006040e+01, 1.4861302448709591e+03, 1.5155229632399651e+03, 1.5155229632399651e+03, -2.5637744170264514e+03, -2.5637744170264514e+03, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 2.9392718369006040e+01, -1.6117017029240781e+01, -2.5637744170264514e+03
-7.0114720935978281e-01, 0.0000000000000000e+00, 1.0000000000000000e+00, -7.0114720935978281e-01, 0.0000000000000000e+00, 1.4879469000446910e+01, 3.0016607499637704e-01, 1.0000000000000000e+00, 2.9643771217884705e+01, 1.4694651115992360e+03, 1.4991088828171207e+03, 1.4991088828171207e+03, -2.5635392030077755e+03, -2.5635392030077755e+03, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 2.9643771217884705e+01, -1.6078169256148321e+01, -2.5635392030077755e+03
-6.9474460499066693e-01, 0.0000000000000000e+00, 1.0000000000000000e+00, -6.9474460499066693e-01, 0.0000000000000000e+00, 1.4710721656976432e+01, 3.0272343562329834e-01, 1.0000000000000000e+00, 2.9896330782942137e+01, 1.4527999783275129e+03, 1.4826963091104551e+03, 1.4826963091104551e+03, -2.5633037671089091e+03, -2.5633037671089091e+03, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 2.9896330782942137e+01, -1.6039689653074131e+01, -2.5633037671089091e+03
-6.8834200062155104e-01, 0.0000000000000000e+00, 1.0000000000000000e+00, -6.8834200062155104e-01, 0.0000000000000000e+00, 1.4541974313505953e+01, 3.0529606585150626e-01, 1.0000000000000000e+00, 3.0150398341756471e+01, 1.4361348450557896e+03, 1.4662852433975461e+03, 1.4662852433975461e+03, -2.5630681542619996e+03, -2.5630681542619996e+03, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 3.0150398341756471e+01, -1.6001578532197748e+01, -2.5630681542619996e+03
-6.8193939625243505e-01, 0.0000000000000000e+00, 1.0000000000000000e+00, -6.8193939625243505e-01, 0.0000000000000000e+00, 1.4373226970035475e+01, 3.0788397565527353e-01, 1.0000000000000000e+00, 3.0405974879365939e+01, 1.4194697117840665e+03, 1.4498756866634324e+03, 1.4498756866634324e+03, -2.5628324109173795e+03, -2.5628324109173795e+03, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 3.0405974879365939e+01, -1.5963836134215828e+01, -2.5628324109173795e+03
-6.7553679188331917e-01, 0.0000000000000000e+00, 1.0000000000000000e+00, -6.7553679188331917e-01, 0.0000000000000000e+00, 1.4204479626564996e+01, 3.1048717194810005e-01, 1.0000000000000000e+00, 3.0663061078533271e+01, 1.4028045785123434e+03, 1.4334676395908766e+03, 1.4334676395908766e+03, -2.5625965850478583e+03, -2.5625965850478583e+03, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 3.0663061078533271e+01, -1.5926462625963218e+01, -2.5625965850478583e+03
-6.6913418751420328e-01, 0.0000000000000000e+00, 1.0000000000000000e+00, -6.6913418751420328e-01, 0.0000000000000000e+00, 1.4035732283094516e+01, 3.1310565848394134e-01, 1.0000000000000000e+00, 3.0921657309991232e+01, 1.3861394452406200e+03, 1.4170611025506112e+03, 1.4170611025506112e+03, -2.5623607261504076e+03, -2.5623607261504076e+03, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 3.0921657309991232e+01, -1.5889458098029444e+01, -2.5623607261504076e+03
-6.6273158314508740e-01, 0.0000000000000000e+00, 1.0000000000000000e+00, -6.6273158314508740e-01, 0.0000000000000000e+00, 1.3866984939624038e+01, 3.1573943575841307e-01, 1.0000000000000000e+00, 3.1181763622685782e+01, 1.3694743119688969e+03, 1.4006560755915827e+03, 1.4006560755915827e+03, -2.5621248852451004e+03, -2.5621248852451004e+03, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 3.1181763622685782e+01, -1.5852822562374568e+01, -2.5621248852451004e+03
-6.5632897877597152e-01, 0.0000000000000000e+00, 1.0000000000000000e+00, -6.5632897877597152e-01, 0.0000000000000000e+00, 1.3698237596153559e+01, 3.1838850091015980e-01, 1.0000000000000000e+00, 3.1443379734035471e+01, 1.3528091786971736e+03, 1.3842525584312091e+03, 1.3842525584312091e+03, -2.5618891148711464e+03, -2.5618891148711464e+03, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 3.1443379734035471e+01, -1.5816555949949079e+01, -2.5618891148711464e+03
-6.4992637440685563e-01, 0.0000000000000000e+00, 1.0000000000000000e+00, -6.4992637440685563e-01, 0.0000000000000000e+00, 1.3529490252683079e+01, 3.2105284762257624e-01, 1.0000000000000000e+00, 3.1706505020225624e+01, 1.3361440454254503e+03, 1.3678505504456759e+03, 1.3678505504456759e+03, -2.5616534690798885e+03, -2.5616534690798885e+03, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 3.1706505020225624e+01, -1.5780658108322241e+01, -2.5616534690798885e+03
