jointAngle,jointVelocity,activation,fiberAngle,fiberAngularVelocity,passiveTorqueAngleMultiplier,activeTorqueAngleMultiplier,torqueVelocityMultiplier,activeTorque,passiveTorque,fiberTorque,jointTorque,fiberStiffness,jointStiffness,fiberActivePower,fiberPassivePower,fiberPower,jointPower,DjointTorqueDactivation,DjointTorqueDjointAngularVelocity,DjointTorqueDjointAngle
1.5506000000000000e+00, 9.5843400000000010e+00, 1.0000000000000000e+00, 1.5506000000000000e+00, -9.5843400000000010e+00, 1.8661483942371868e+00, 1.0000000000000000e+00, 1.1000000000000001e+00, 7.5665040000000010e+02, 1.4376950549399967e+03, 2.1943454549399967e+03, -2.1943454549399967e+03, 3.3841534381782976e+03, -3.3841534381782976e+03, -7.2519946947360013e+03, -1.3779358222863610e+04, -2.1031352917599612e+04, -2.1031352917599608e+04, -7.5665040000000010e+02, -1.6071921059397752e+01, -3.3841534381782976e+03
1.5506000000000000e+00, 9.5651521321321322e+00, 1.0000000000000000e+00, 1.5506000000000000e+00, -9.5651521321321322e+00, 1.8661483942371868e+00, 1.0000000000000000e+00, 1.1000000000000001e+00, 7.5665040000000010e+02, 1.4373866690423260e+03, 2.1940370690423260e+03, -2.1940370690423260e+03, 3.3834275365399071e+03, -3.3834275365399071e+03, -7.2374761868386313e+03, -1.3748822162088509e+04, -2.0986298348927139e+04, -2.0986298348927139e+04, -7.5665040000000010e+02, -1.6071921059397752e+01, -3.3834275365399071e+03
1.5506000000000000e+00, 9.5459642642642653e+00, 1.0000000000000000e+00, 1.5506000000000000e+00, -9.5459642642642653e+00, 1.8661483942371868e+00, 1.0000000000000000e+00, 1.1000000000000001e+00, 7.5665040000000010e+02, 1.4370782831446554e+03, 2.1937286831446554e+03, -2.1937286831446554e+03, 3.3827016349015162e+03, -3.3827016349015162e+03, -7.2229576789412631e+03, -1.3718297935849125e+04, -2.0941255614790389e+04, -2.0941255614790385e+04, -7.5665040000000010e+02, -1.6071921059397752e+01, -3.3827016349015162e+03
1.5506000000000000e+00, 9.5267763963963965e+00, 1.0000000000000000e+00, 1.5506000000000000e+00, -9.5267763963963965e+00, 1.8661483942371868e+00, 1.0000000000000000e+00, 1.1000000000000001e+00, 7.5665040000000010e+02, 1.4367698972469850e+03, 2.1934202972469852e+03, -2.1934202972469852e+03, 3.3819757332631257e+03, -3.3819757332631257e+03, -7.2084391710438931e+03, -1.3687785544145452e+04, -2.0896224715189346e+04, -2.0896224715189346e+04, -7.5665040000000010e+02, -1.6071921059397752e+01, -3.3819757332631257e+03
1.5506000000000000e+00, 9.5075885285285295e+00, 1.0000000000000000e+00, 1.5506000000000000e+00, -9.5075885285285295e+00, 1.8661483942371868e+00, 1.0000000000000000e+00, 1.1000000000000001e+00, 7.5665040000000010e+02, 1.4364615113493144e+03, 2.1931119113493146e+03, -2.1931119113493146e+03, 3.3812498316247347e+03, -3.3812498316247347e+03, -7.1939206631465240e+03, -1.3657284986977496e+04, -2.0851205650124022e+04, -2.0851205650124022e+04, -7.5665040000000010e+02, -1.6071921059397752e+01, -3.3812498316247347e+03
1.5506000000000000e+00, 9.4884006606606608e+00, 1.0000000000000000e+00, 1.5506000000000000e+00, -9.4884006606606608e+00, 1.8661483942371868e+00, 1.0000000000000000e+00, 1.1000000000000001e+00, 7.5665040000000010e+02, 1.4361531254516437e+03, 2.1928035254516440e+03, -2.1928035254516440e+03, 3.3805239299863433e+03, -3.3805239299863433e+03, -7.1794021552491540e+03, -1.3626796264345250e+04, -2.0806198419594402e+04, -2.0806198419594406e+04, -7.5665040000000010e+02, -1.6071921059397752e+01, -3.3805239299863433e+03
1.5506000000000000e+00, 9.4692127927927938e+00, 1.0000000000000000e+00, 1.5506000000000000e+00, -9.4692127927927938e+00, 1.8661483942371868e+00, 1.0000000000000000e+00, 1.1000000000000001e+00, 7.5665040000000010e+02, 1.4358447395539736e+03, 2.1924951395539738e+03, -2.1924951395539738e+03, 3.3797980283479528e+03, -3.3797980283479528e+03, -7.1648836473517858e+03, -1.3596319376248724e+04, -2.0761203023600508e+04, -2.0761203023600512e+04, -7.5665040000000010e+02, -1.6071921059397752e+01, -3.3797980283479528e+03
1.5506000000000000e+00, 9.4500249249249251e+00, 1.0000000000000000e+00, 1.5506000000000000e+00, -9.4500249249249251e+00, 1.8661483942371868e+00, 1.0000000000000000e+00, 1.1000000000000001e+00, 7.5665040000000010e+02, 1.4355363536563029e+03, 2.1921867536563032e+03, -2.1921867536563032e+03, 3.3790721267095619e+03, -3.3790721267095619e+03, -7.1503651394544158e+03, -1.3565854322687905e+04, -2.0716219462142319e+04, -2.0716219462142322e+04, -7.5665040000000010e+02, -1.6071921059397752e+01, -3.3790721267095619e+03
1.5506000000000000e+00, 9.4308370570570581e+00, 1.0000000000000000e+00, 1.5506000000000000e+00, -9.4308370570570581e+00, 1.8661483942371868e+00, 1.0000000000000000e+00, 1.1000000000000001e+00, 7.5665040000000010e+02, 1.4352279677586323e+03, 2.1918783677586325e+03, -2.1918783677586325e+03, 3.3783462250711705e+03, -3.3783462250711705e+03, -7.1358466315570467e+03, -1.3535401103662802e+04, -2.0671247735219848e+04, -2.0671247735219851e+04, -7.5665040000000010e+02, -1.6071921059397752e+01, -3.3783462250711705e+03
1.5506000000000000e+00, 9.4116491891891894e+00, 1.0000000000000000e+00, 1.5506000000000000e+00, -9.4116491891891894e+00, 1.8661483942371868e+00, 1.0000000000000000e+00, 1.1000000000000001e+00, 7.5665040000000010e+02, 1.4349195818609619e+03, 2.1915699818609619e+03, -2.1915699818609619e+03, 3.3776203234327800e+03, -3.3776203234327800e+03, -7.1213281236596767e+03, -1.3504959719173412e+04, -2.0626287842833088e+04, -2.0626287842833088e+04, -7.5665040000000010e+02, -1.6071921059397752e+01, -3.3776203234327800e+03
