jointAngle,jointVelocity,activation,fiberAngle,fiberAngularVelocity,passiveTorqueAngleMultiplier,activeTorqueAngleMultiplier,torqueVelocityMultiplier,activeTorque,passiveTorque,fiberTorque,jointTorque,fiberStiffness,jointStiffness,fiberActivePower,fiberPassivePower,fiberPower,jointPower,DjointTorqueDactivation,DjointTorqueDjointAngularVelocity,DjointTorqueDjointAngle
-1.1685021286992598e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, -1.1685021286992598e+00, 0.0000000000000000e+00, 6.6656991171041096e+00, 5.5739186932855567e-01, 1.0000000000000000e+00, 1.7514200100481077e+01, 2.0944759794791020e+02, 2.2696179804839127e+02, 2.2696179804839127e+02, -2.6323588251303494e+02, -2.6323588251303494e+02, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 1.7514200100481077e+01, -5.1262157881841670e+00, -2.6323588251303494e+02
-1.1607555445707403e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, -1.1607555445707403e+00, 0.0000000000000000e+00, 6.5976426712530092e+00, 5.6055237538376090e-01, 1.0000000000000000e+00, 1.7613508573595922e+01, 2.0730914872331070e+02, 2.2492265729690661e+02, 2.2492265729690661e+02, -2.6322614856898258e+02, -2.6322614856898258e+02, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 1.7613508573595922e+01, -5.1368247366748250e+00, -2.6322614856898258e+02
-1.1530089604422207e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, -1.1530089604422207e+00, 0.0000000000000000e+00, 6.5295862254019097e+00, 5.6371519445482199e-01, 1.0000000000000000e+00, 1.7712889725601080e+01, 2.0517069949871120e+02, 2.2288358922431229e+02, 2.2288358922431229e+02, -2.6321711736708676e+02, -2.6321711736708676e+02, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 1.7712889725601080e+01, -5.1474501342490955e+00, -2.6321711736708676e+02
-1.1452623763137009e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, -1.1452623763137009e+00, 0.0000000000000000e+00, 6.4615297795508075e+00, 5.6688015406861325e-01, 1.0000000000000000e+00, 1.7812338137097747e+01, 2.0303225027411162e+02, 2.2084458841120937e+02, 2.2084458841120937e+02, -2.6320878253675903e+02, -2.6320878253675903e+02, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 1.7812338137097747e+01, -5.1580907543590229e+00, -2.6320878253675903e+02
-1.1375157921851813e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, -1.1375157921851813e+00, 0.0000000000000000e+00, 6.3934733336997072e+00, 5.7004708336455512e-01, 1.0000000000000000e+00, 1.7911848439356042e+01, 2.0089380104951209e+02, 2.1880564948886814e+02, 2.1880564948886814e+02, -2.6320113736926328e+02, -2.6320113736926328e+02, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 1.7911848439356042e+01, -5.1687453819243254e+00, -2.6320113736926328e+02
-1.1297692080566617e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, -1.1297692080566617e+00, 0.0000000000000000e+00, 6.3254168878486077e+00, 5.7321581317626058e-01, 1.0000000000000000e+00, 1.8011415316880509e+01, 1.9875535182491259e+02, 2.1676676714179311e+02, 2.1676676714179311e+02, -2.6319417483173845e+02, -2.6319417483173845e+02, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 1.8011415316880509e+01, -5.1794128139130242e+00, -2.6319417483173845e+02
-1.1220226239281421e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, -1.1220226239281421e+00, 0.0000000000000000e+00, 6.2573604419975073e+00, 5.7638617610968668e-01, 1.0000000000000000e+00, 1.8111033509865742e+01, 1.9661690260031310e+02, 2.1472793611017883e+02, 2.1472793611017883e+02, -2.6318788758147139e+02, -2.6318788758147139e+02, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 1.8111033509865742e+01, -5.1900918598972181e+00, -2.6318788758147139e+02
-1.1142760397996223e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, -1.1142760397996223e+00, 0.0000000000000000e+00, 6.1893039961464060e+00, 5.7955800661774337e-01, 1.0000000000000000e+00, 1.8210697816540748e+01, 1.9447845337571354e+02, 2.1268915119225429e+02, 2.1268915119225429e+02, -2.6318226798038165e+02, -2.6318226798038165e+02, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 1.8210697816540748e+01, -5.2007813425836691e+00, -2.6318226798038165e+02
-1.1065294556711027e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, -1.1065294556711027e+00, 0.0000000000000000e+00, 6.1212475502953057e+00, 5.8273114107130919e-01, 1.0000000000000000e+00, 1.8310403095400357e+01, 1.9234000415111402e+02, 2.1065040724651436e+02, 2.1065040724651436e+02, -2.6317730810966975e+02, -2.6317730810966975e+02, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 1.8310403095400357e+01, -5.2114800983188321e+00, -2.6317730810966975e+02
-1.0987828715425831e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, -1.0987828715425831e+00, 0.0000000000000000e+00, 6.0531911044442062e+00, 5.8590541782662031e-01, 1.0000000000000000e+00, 1.8410144267322718e+01, 1.9020155492651452e+02, 2.0861169919383724e+02, 2.0861169919383724e+02, -2.6317299978459010e+02, -2.6317299978459010e+02, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 1.8410144267322718e+01, -5.2221869775680956e+00, -2.6317299978459010e+02
