jointAngle,jointVelocity,activation,fiberAngle,fiberAngularVelocity,passiveTorqueAngleMultiplier,activeTorqueAngleMultiplier,torqueVelocityMultiplier,activeTorque,passiveTorque,fiberTorque,jointTorque,fiberStiffness,jointStiffness,fiberActivePower,fiberPassivePower,fiberPower,jointPower,DjointTorqueDactivation,DjointTorqueDjointAngularVelocity,DjointTorqueDjointAngle
-1.0646500000000001e+00, -1.8046700000000001e+01, 1.0000000000000000e+00, 1.0646500000000001e+00, -1.8046700000000001e+01, 2.8801122102971883e-02, 1.0000000000000000e+00, 1.1000000000000001e+00, 1.9332060000000001e+02, 6.0740184061306763e+00, 1.9939461840613069e+02, 1.9939461840613069e+02, 5.3230442920531758e+01, -5.3230442920531758e+01, -3.4887988720200005e+03, -1.0961598796991848e+02, -3.5984148599899190e+03, -3.5984148599899190e+03, 1.9332060000000001e+02, -5.6095374834278809e-02, -5.3230442920531758e+01
-1.0646500000000001e+00, -1.8010570470470473e+01, 1.0000000000000000e+00, 1.0646500000000001e+00, -1.8010570470470473e+01, 2.8801122102971883e-02, 1.0000000000000000e+00, 1.1000000000000001e+00, 1.9332060000000001e+02, 6.0719917066291318e+00, 1.9939259170662913e+02, 1.9939259170662913e+02, 5.3212681678316038e+01, -5.3212681678316038e+01, -3.4818142896936342e+03, -1.0936003452835625e+02, -3.5911743242219904e+03, -3.5911743242219904e+03, 1.9332060000000001e+02, -5.6095374834278809e-02, -5.3212681678316038e+01
-1.0646500000000001e+00, -1.7974440940940941e+01, 1.0000000000000000e+00, 1.0646500000000001e+00, -1.7974440940940941e+01, 2.8801122102971883e-02, 1.0000000000000000e+00, 1.1000000000000001e+00, 1.9332060000000001e+02, 6.0699650071275855e+00, 1.9939056500712761e+02, 1.9939056500712761e+02, 5.3194920436100311e+01, -5.3194920436100311e+01, -3.4748297073672675e+03, -1.0910422753419294e+02, -3.5839339349014604e+03, -3.5839339349014604e+03, 1.9332060000000001e+02, -5.6095374834278809e-02, -5.3194920436100311e+01
-1.0646500000000001e+00, -1.7938311411411412e+01, 1.0000000000000000e+00, 1.0646500000000001e+00, -1.7938311411411412e+01, 2.8801122102971883e-02, 1.0000000000000000e+00, 1.1000000000000001e+00, 1.9332060000000001e+02, 6.0679383076260409e+00, 1.9938853830762605e+02, 1.9938853830762605e+02, 5.3177159193884584e+01, -5.3177159193884584e+01, -3.4678451250409012e+03, -1.0884856698742867e+02, -3.5766936920283297e+03, -3.5766936920283297e+03, 1.9332060000000001e+02, -5.6095374834278809e-02, -5.3177159193884584e+01
-1.0646500000000001e+00, -1.7902181881881884e+01, 1.0000000000000000e+00, 1.0646500000000001e+00, -1.7902181881881884e+01, 2.8801122102971883e-02, 1.0000000000000000e+00, 1.1000000000000001e+00, 1.9332060000000001e+02, 6.0659116081244955e+00, 1.9938651160812452e+02, 1.9938651160812452e+02, 5.3159397951668858e+01, -5.3159397951668858e+01, -3.4608605427145353e+03, -1.0859305288806334e+02, -3.5694535956025989e+03, -3.5694535956025989e+03, 1.9332060000000001e+02, -5.6095374834278809e-02, -5.3159397951668858e+01
-1.0646500000000001e+00, -1.7866052352352355e+01, 1.0000000000000000e+00, 1.0646500000000001e+00, -1.7866052352352355e+01, 2.8801122102971883e-02, 1.0000000000000000e+00, 1.1000000000000001e+00, 1.9332060000000001e+02, 6.0638849086229509e+00, 1.9938448490862297e+02, 1.9938448490862297e+02, 5.3141636709453138e+01, -5.3141636709453138e+01, -3.4538759603881690e+03, -1.0833768523609702e+02, -3.5622136456242661e+03, -3.5622136456242661e+03, 1.9332060000000001e+02, -5.6095374834278809e-02, -5.3141636709453138e+01
-1.0646500000000001e+00, -1.7829922822822823e+01, 1.0000000000000000e+00, 1.0646500000000001e+00, -1.7829922822822823e+01, 2.8801122102971883e-02, 1.0000000000000000e+00, 1.1000000000000001e+00, 1.9332060000000001e+02, 6.0618582091214064e+00, 1.9938245820912141e+02, 1.9938245820912141e+02, 5.3123875467237411e+01, -5.3123875467237411e+01, -3.4468913780618022e+03, -1.0808246403152965e+02, -3.5549738420933318e+03, -3.5549738420933318e+03, 1.9332060000000001e+02, -5.6095374834278809e-02, -5.3123875467237411e+01
-1.0646500000000001e+00, -1.7793793293293295e+01, 1.0000000000000000e+00, 1.0646500000000001e+00, -1.7793793293293295e+01, 2.8801122102971883e-02, 1.0000000000000000e+00, 1.1000000000000001e+00, 1.9332060000000001e+02, 6.0598315096198601e+00, 1.9938043150961988e+02, 1.9938043150961988e+02, 5.3106114225021685e+01, -5.3106114225021685e+01, -3.4399067957354359e+03, -1.0782738927436125e+02, -3.5477341850097973e+03, -3.5477341850097973e+03, 1.9332060000000001e+02, -5.6095374834278809e-02, -5.3106114225021685e+01
-1.0646500000000001e+00, -1.7757663763763766e+01, 1.0000000000000000e+00, 1.0646500000000001e+00, -1.7757663763763766e+01, 2.8801122102971883e-02, 1.0000000000000000e+00, 1.1000000000000001e+00, 1.9332060000000001e+02, 6.0578048101183155e+00, 1.9937840481011833e+02, 1.9937840481011833e+02, 5.3088352982805958e+01, -5.3088352982805958e+01, -3.4329222134090696e+03, -1.0757246096459185e+02, -3.5404946743736614e+03, -3.5404946743736614e+03, 1.9332060000000001e+02, -5.6095374834278809e-02, -5.3088352982805958e+01
-1.0646500000000001e+00, -1.7721534234234234e+01, 1.0000000000000000e+00, 1.0646500000000001e+00, -1.7721534234234234e+01, 2.8801122102971883e-02, 1.0000000000000000e+00, 1.1000000000000001e+00, 1.9332060000000001e+02, 6.0557781106167701e+00, 1.9937637811061677e+02, 1.9937637811061677e+02, 5.3070591740590224e+01, -5.3070591740590224e+01, -3.4259376310827029e+03, -1.0731767910222140e+02, -3.5332553101849244e+03, -3.5332553101849239e+03, 1.9332060000000001e+02, -5.6095374834278809e-02, -5.3070591740590224e+01
