jointAngle,jointVelocity,activation,fiberAngle,fiberAngularVelocity,passiveTorqueAngleMultiplier,activeTorqueAngleMultiplier,torqueVelocityMultiplier,activeTorque,passiveTorque,fiberTorque,jointTorque,fiberStiffness,jointStiffness,fiberActivePower,fiberPassivePower,fiberPower,jointPower,DjointTorqueDactivation,DjointTorqueDjointAngularVelocity,DjointTorqueDjointAngle
-3.7927472680447032e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 3.7927472680447032e+00, 0.0000000000000000e+00, 1.4116908489265718e+01, 4.0955772688337874e-02, 1.0000000000000000e+00, 7.1978132268846284e+00, 2.4809901993544931e+03, 2.4881880125813777e+03, 2.4881880125813777e+03, 1.0186926207213720e+03, -1.0186926207213720e+03, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 7.1978132268846284e+00, -3.1565965975198001e+01, -1.0186926207213720e+03
-3.7838505822867665e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 3.7838505822867665e+00, 0.0000000000000000e+00, 1.4064388335154545e+01, 4.1914622307818089e-02, 1.0000000000000000e+00, 7.3663272121097982e+00, 2.4717599923500707e+03, 2.4791263195621805e+03, 2.4791263195621805e+03, 1.0184011310522831e+03, -1.0184011310522831e+03, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 7.3663272121097982e+00, -3.1558977058728239e+01, -1.0184011310522831e+03
-3.7749538965288298e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 3.7749538965288298e+00, 0.0000000000000000e+00, 1.4011868181043370e+01, 4.2888280218551691e-02, 1.0000000000000000e+00, 7.5374436952895856e+00, 2.4625297853456482e+03, 2.4700672290409379e+03, 2.4700672290409379e+03, 1.0181075720929847e+03, -1.0181075720929847e+03, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 7.5374436952895856e+00, -3.1553459992122203e+01, -1.0181075720929847e+03
-3.7660572107708927e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 3.7660572107708927e+00, 0.0000000000000000e+00, 1.3959348026932197e+01, 4.3876851141206541e-02, 1.0000000000000000e+00, 7.7111810806624854e+00, 2.4532995783412262e+03, 2.4610107594218885e+03, 2.4610107594218885e+03, 1.0178119450154198e+03, -1.0178119450154198e+03, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 7.7111810806624854e+00, -3.1549425183947520e+01, -1.0178119450154198e+03
-3.7571605250129561e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 3.7571605250129561e+00, 0.0000000000000000e+00, 1.3906827872821024e+01, 4.4880439749978358e-02, 1.0000000000000000e+00, 7.8875577642996966e+00, 2.4440693713368037e+03, 2.4519569291011035e+03, 2.4519569291011035e+03, 1.0175142504813351e+03, -1.0175142504813351e+03, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 7.8875577642996966e+00, -3.1546883038152753e+01, -1.0175142504813351e+03
-3.7482638392550194e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 3.7482638392550194e+00, 0.0000000000000000e+00, 1.3854307718709849e+01, 4.5899150698772442e-02, 1.0000000000000000e+00, 8.0665921387064614e+00, 2.4348391643323812e+03, 2.4429057564710874e+03, 2.4429057564710874e+03, 1.0172144886283176e+03, -1.0172144886283176e+03, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 8.0665921387064614e+00, -3.1545843956669746e+01, -1.0172144886283176e+03
-3.7393671534970827e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 3.7393671534970827e+00, 0.0000000000000000e+00, 1.3801787564598676e+01, 4.6933088648084403e-02, 1.0000000000000000e+00, 8.2483025975462425e+00, 2.4256089573279592e+03, 2.4338572599255053e+03, 2.4338572599255053e+03, 1.0169126590561497e+03, -1.0169126590561497e+03, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 8.2483025975462425e+00, -3.1546318342085371e+01, -1.0169126590561497e+03
-3.7304704677391460e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 3.7304704677391460e+00, 0.0000000000000000e+00, 1.3749267410487503e+01, 4.7982358292564413e-02, 1.0000000000000000e+00, 8.4327075404850262e+00, 2.4163787503235367e+03, 2.4248114578640216e+03, 2.4248114578640216e+03, 1.0166087608134974e+03, -1.0166087608134974e+03, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 8.4327075404850262e+00, -3.1548316600381249e+01, -1.0166087608134974e+03
-3.7215737819812094e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 3.7215737819812094e+00, 0.0000000000000000e+00, 1.3696747256376328e+01, 4.9047064389244749e-02, 1.0000000000000000e+00, 8.6198253781522087e+00, 2.4071485433191142e+03, 2.4157683686972664e+03, 2.4157683686972664e+03, 1.0163027923849271e+03, -1.0163027923849271e+03, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 8.6198253781522087e+00, -3.1551849143739375e+01, -1.0163027923849271e+03
-3.7126770962232722e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 3.7126770962232722e+00, 0.0000000000000000e+00, 1.3644227102265150e+01, 5.0127311786418619e-02, 1.0000000000000000e+00, 8.8096745372159262e+00, 2.3979183363146913e+03, 2.4067280108519071e+03, 2.4067280108519071e+03, 1.0159947516782699e+03, -1.0159947516782699e+03, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 8.8096745372159262e+00, -3.1556926393412507e+01, -1.0159947516782699e+03
-3.7037804104653356e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 3.7037804104653356e+00, 0.0000000000000000e+00, 1.3591706948153977e+01, 5.1223205453146681e-02, 1.0000000000000000e+00, 9.0022734655687167e+00, 2.3886881293102688e+03, 2.3976904027758374e+03, 2.3976904027758374e+03, 1.0156846360123321e+03, -1.0156846360123321e+03, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 9.0022734655687167e+00, -3.1563558782656933e+01, -1.0156846360123321e+03
-3.6948837247073989e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 3.6948837247073989e+00, 0.0000000000000000e+00, 1.3539186794042804e+01, 5.2334850509380818e-02, 1.0000000000000000e+00, 9.1976406376216424e+00, 2.3794579223058468e+03, 2.3886555629434683e+03, 2.3886555629434683e+03, 1.0153724421049620e+03, -1.0153724421049620e+03, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 9.1976406376216424e+00, -3.1571756759726551e+01, -1.0153724421049620e+03
-3.6859870389494622e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 3.6859870389494622e+00, 0.0000000000000000e+00, 1.3486666639931629e+01, 5.3462352256677642e-02, 1.0000000000000000e+00, 9.3957945597020700e+00, 2.3702277153014243e+03, 2.3796235098611264e+03, 2.3796235098611264e+03, 1.0150581660614827e+03, -1.0150581660614827e+03, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 9.3957945597020700e+00, -3.1581530790925601e+01, -1.0150581660614827e+03
-3.6770903531915256e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 3.6770903531915256e+00, 0.0000000000000000e+00, 1.3434146485820456e+01, 5.4605816209493632e-02, 1.0000000000000000e+00, 9.5967537755536689e+00, 2.3609975082970018e+03, 2.3705942620725555e+03, 2.3705942620725555e+03, 1.0147418033634901e+03, -1.0147418033634901e+03, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 9.5967537755536689e+00, -3.1592891363719250e+01, -1.0147418033634901e+03
-3.6681936674335889e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 3.6681936674335889e+00, 0.0000000000000000e+00, 1.3381626331709283e+01, 5.5765348127033425e-02, 1.0000000000000000e+00, 9.8005368719336161e+00, 2.3517673012925798e+03, 2.3615678381645134e+03, 2.3615678381645134e+03, 1.0144233488580345e+03, -1.0144233488580345e+03, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 9.8005368719336161e+00, -3.1605848989899034e+01, -1.0144233488580345e+03
-3.6592969816756518e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 3.6592969816756518e+00, 0.0000000000000000e+00, 1.3329106177598108e+01, 5.6941054045638734e-02, 1.0000000000000000e+00, 1.0007162484304825e+01, 2.3425370942881573e+03, 2.3525442567724622e+03, 2.3525442567724622e+03, 1.0141027967471844e+03, -1.0141027967471844e+03, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 1.0007162484304825e+01, -3.1620414208802170e+01, -1.0141027967471844e+03
-3.6504002959177151e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 3.6504002959177151e+00, 0.0000000000000000e+00, 1.3276586023486935e+01, 5.8133040311694216e-02, 1.0000000000000000e+00, 1.0216649302619013e+01, 2.3333068872837348e+03, 2.3435235365863537e+03, 2.3435235365863537e+03, 1.0137801405779855e+03, -1.0137801405779855e+03, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 1.0216649302619013e+01, -3.1636597590582184e+01, -1.0137801405779855e+03
-3.6415036101597784e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 3.6415036101597784e+00, 0.0000000000000000e+00, 1.3224065869375762e+01, 5.9341413615032396e-02, 1.0000000000000000e+00, 1.0429016077187484e+01, 2.3240766802793128e+03, 2.3345056963565003e+03, 2.3345056963565003e+03, 1.0134553732328235e+03, -1.0134553732328235e+03, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 1.0429016077187484e+01, -3.1654409739529100e+01, -1.0134553732328235e+03
-3.6326069244018417e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 3.6326069244018417e+00, 0.0000000000000000e+00, 1.3171545715264587e+01, 6.0566281022815131e-02, 1.0000000000000000e+00, 1.0644281624635669e+01, 2.3148464732748903e+03, 2.3254907548995261e+03, 2.3254907548995261e+03, 1.0131284869201951e+03, -1.0131284869201951e+03, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 1.0644281624635669e+01, -3.1673861297437096e+01, -1.0131284869201951e+03
-3.6237102386439051e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 3.6237102386439051e+00, 0.0000000000000000e+00, 1.3119025561153414e+01, 6.1807750013872870e-02, 1.0000000000000000e+00, 1.0862464833938102e+01, 2.3056162662704683e+03, 2.3164787311044065e+03, 2.3164787311044065e+03, 1.0127994731659056e+03, -1.0127994731659056e+03, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 1.0862464833938102e+01, -3.1694962947017594e+01, -1.0127994731659056e+03
-3.6148135528859680e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 3.6148135528859680e+00, 0.0000000000000000e+00, 1.3066505407042236e+01, 6.3065928513477407e-02, 1.0000000000000000e+00, 1.1083584672529600e+01, 2.2963860592660449e+03, 2.3074696439385743e+03, 2.3074696439385743e+03, 1.0124683228046931e+03, -1.0124683228046931e+03, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 1.1083584672529600e+01, -3.1717725415355407e+01, -1.0124683228046931e+03
