jointAngle,jointVelocity,activation,fiberAngle,fiberAngularVelocity,passiveTorqueAngleMultiplier,activeTorqueAngleMultiplier,torqueVelocityMultiplier,activeTorque,passiveTorque,fiberTorque,jointTorque,fiberStiffness,jointStiffness,fiberActivePower,fiberPassivePower,fiberPower,jointPower,DjointTorqueDactivation,DjointTorqueDjointAngularVelocity,DjointTorqueDjointAngle
-3.7927472680447032e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 3.7927472680447032e+00, 0.0000000000000000e+00, 1.1862080730522895e+00, 5.2117630884223221e-02, 1.0000122070312500e+00, 1.0221588338557295e+01, 2.3264262771169186e+02, 2.4286421605024915e+02, 2.4286421605024915e+02, 7.0860547694069695e+01, -7.0860547694069695e+01, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 1.0221588338557295e+01, -7.4972701962363075e+00, -7.0860547694069695e+01
-3.7838505822867665e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 3.7838505822867665e+00, 0.0000000000000000e+00, 1.1819178319867714e+00, 5.3200810973994060e-02, 1.0000122070312500e+00, 1.0434027407377490e+01, 2.3180121297369357e+02, 2.4223524038107107e+02, 2.4223524038107107e+02, 7.0534604925710525e+01, -7.0534604925710525e+01, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 1.0434027407377490e+01, -7.5966601808674872e+00, -7.0534604925710525e+01
-3.7749538965288298e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 3.7749538965288298e+00, 0.0000000000000000e+00, 1.1776275909212535e+00, 5.4298823977140399e-02, 1.0000122070312500e+00, 1.0649375586451040e+01, 2.3095979823569530e+02, 2.4160917382214635e+02, 2.4160917382214635e+02, 7.0206570774937759e+01, -7.0206570774937759e+01, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 1.0649375586451040e+01, -7.6975257367246570e+00, -7.0206570774937759e+01
-3.7660572107708927e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 3.7660572107708927e+00, 0.0000000000000000e+00, 1.1733373498557356e+00, 5.5411764869442361e-02, 1.0000122070312500e+00, 1.0867651502935590e+01, 2.3011838349769707e+02, 2.4098603500063265e+02, 2.4098603500063265e+02, 6.9876440470073334e+01, -6.9876440470073334e+01, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 1.0867651502935590e+01, -7.7998763119536232e+00, -6.9876440470073334e+01
-3.7571605250129561e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 3.7571605250129561e+00, 0.0000000000000000e+00, 1.1690471087902177e+00, 5.6539728856684610e-02, 1.0000122070312500e+00, 1.1088873829098503e+01, 2.2927696875969883e+02, 2.4036584258879734e+02, 2.4036584258879734e+02, 6.9544208640414311e+01, -6.9544208640414311e+01, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 1.1088873829098503e+01, -7.9037213775809390e+00, -6.9544208640414311e+01
-3.7482638392550194e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 3.7482638392550194e+00, 0.0000000000000000e+00, 1.1647568677246998e+00, 5.7682811402040256e-02, 1.0000122070312500e+00, 1.1313061287687542e+01, 2.2843555402170060e+02, 2.3974861530938813e+02, 2.3974861530938813e+02, 6.9209869307043377e+01, -6.9209869307043377e+01, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 1.1313061287687542e+01, -8.0090704302380331e+00, -6.9209869307043377e+01
-3.7393671534970827e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 3.7393671534970827e+00, 0.0000000000000000e+00, 1.1604666266591819e+00, 5.8841108253862136e-02, 1.0000122070312500e+00, 1.1540232657381445e+01, 2.2759413928370233e+02, 2.3913437194108377e+02, 2.3913437194108377e+02, 6.8873415873982566e+01, -6.8873415873982566e+01, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 1.1540232657381445e+01, -8.1159329949258847e+00, -6.8873415873982566e+01
-3.7304704677391460e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 3.7304704677391460e+00, 0.0000000000000000e+00, 1.1561763855936640e+00, 6.0014715473868135e-02, 1.0000122070312500e+00, 1.1770406778317771e+01, 2.2675272454570410e+02, 2.3852313132402188e+02, 2.3852313132402188e+02, 6.8534841119707067e+01, -6.8534841119707067e+01, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 1.1770406778317771e+01, -8.2243186278188727e+00, -6.8534841119707067e+01
-3.7215737819812094e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 3.7215737819812094e+00, 0.0000000000000000e+00, 1.1518861445281459e+00, 6.1203729465703502e-02, 1.0000122070312500e+00, 1.2003602557694705e+01, 2.2591130980770581e+02, 2.3791491236540051e+02, 2.3791491236540051e+02, 6.8194137189016260e+01, -6.8194137189016260e+01, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 1.2003602557694705e+01, -8.3342369191061554e+00, -6.8194137189016260e+01
-3.7126770962232722e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 3.7126770962232722e+00, 0.0000000000000000e+00, 1.1475959034626275e+00, 6.2408247003862508e-02, 1.0000122070312500e+00, 1.2239838975443327e+01, 2.2506989506970748e+02, 2.3730973404515080e+02, 2.3730973404515080e+02, 6.7851295585279260e+01, -6.7851295585279260e+01, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 1.2239838975443327e+01, -8.4456974958687780e+00, -6.7851295585279260e+01
-3.7037804104653356e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 3.7037804104653356e+00, 0.0000000000000000e+00, 1.1433056623971096e+00, 6.3628365262954095e-02, 1.0000122070312500e+00, 1.2479135089967343e+01, 2.2422848033170925e+02, 2.3670761542167659e+02, 2.3670761542167659e+02, 6.7506307163060328e+01, -6.7506307163060328e+01, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 1.2479135089967343e+01, -8.5587100249909973e+00, -6.7506307163060328e+01
-3.6948837247073989e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 3.6948837247073989e+00, 0.0000000000000000e+00, 1.1390154213315917e+00, 6.4864181847292882e-02, 1.0000122070312500e+00, 1.2721510043946628e+01, 2.2338706559371101e+02, 2.3610857563765765e+02, 2.3610857563765765e+02, 6.7159162121131601e+01, -6.7159162121131601e+01, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 1.2721510043946628e+01, -8.6732842161039923e+00, -6.7159162121131601e+01
-3.6859870389494622e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 3.6859870389494622e+00, 0.0000000000000000e+00, 1.1347251802660738e+00, 6.6115794820799434e-02, 1.0000122070312500e+00, 1.2966983070201440e+01, 2.2254565085571275e+02, 2.3551263392591420e+02, 2.3551263392591420e+02, 6.6809849995887518e+01, -6.6809849995887518e+01, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 1.2966983070201440e+01, -8.7894298245603277e+00, -6.6809849995887518e+01
