lambdaTA, lambdaPE, lambdaTV, tiso, angleScalingTA, omegaMax, anglePE, idx
0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 1.7574600000000001e+02, 1.0000000000000000e+00, 9.0233500000000006e+00, 0.0000000000000000e+00, 0.0000000000000000e+00
0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 1.5729300000000001e+02, 1.0000000000000000e+00, 9.1804299999999994e+00, 0.0000000000000000e+00, 1.0000000000000000e+00
0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 2.8561900000000003e+02, 1.0000000000000000e+00, 1.9216100000000001e+01, 0.0000000000000000e+00, 2.0000000000000000e+00
0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 9.8757900000000006e+01, 1.0000000000000000e+00, 1.6632999999999999e+01, 0.0000000000000000e+00, 3.0000000000000000e+00
0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 1.2756100000000001e+02, 1.0000000000000000e+00, 1.1764600000000000e+01, 0.0000000000000000e+00, 4.0000000000000000e+00
0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 4.4310600000000001e+01, 1.0000000000000000e+00, 1.7274600000000000e+01, 0.0000000000000000e+00, 5.0000000000000000e+00
0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 1.7574600000000001e+02, 1.0000000000000000e+00, 9.0233500000000006e+00, 0.0000000000000000e+00, 6.0000000000000000e+00
0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 1.5729300000000001e+02, 1.0000000000000000e+00, 9.1804299999999994e+00, 0.0000000000000000e+00, 7.0000000000000000e+00
0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 2.8561900000000003e+02, 1.0000000000000000e+00, 1.9216100000000001e+01, 0.0000000000000000e+00, 8.0000000000000000e+00
0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 9.8757900000000006e+01, 1.0000000000000000e+00, 1.6632999999999999e+01, 0.0000000000000000e+00, 9.0000000000000000e+00
0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 1.2756100000000001e+02, 1.0000000000000000e+00, 1.1764600000000000e+01, 0.0000000000000000e+00, 1.0000000000000000e+01
